,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2019-09-30,162.54300,336.82700,5854.25000,269.49400,6123.74400,6607.56500,221.78100,3348.97600,267.37300,3738.63100,4034.44400,0.75800,-857.15200,-1.13500,2573.12100,6607.56500
2019-06-30,105.90300,275.20200,5726.36900,234.29800,5960.66700,6383.74100,177.07800,3229.85100,256.92000,3621.48100,3873.09500,0.75200,-841.50500,-1.02400,2510.64600,6383.74100
2019-03-31,43.00300,211.21100,5739.00900,252.37900,5991.38800,6351.36600,156.02900,3228.63000,255.37900,3618.71700,3849.80300,0.75200,-843.94700,-0.62500,2501.56300,6351.36600
2018-12-31,64.08700,236.75300,5760.32900,292.56200,6052.89100,6289.64400,177.92200,3229.20400,278.98000,3644.39200,3822.31400,0.74500,-818.87700,-0.41600,2467.33000,6289.64400
2018-09-30,41.87200,223.70400,5742.23300,319.72700,6061.96000,6285.66400,184.68300,3256.63400,269.46000,3667.54200,3852.22500,0.74100,-795.64900,0.12700,2433.43900,6285.66400
2018-06-30,56.11600,236.40600,5774.93700,291.36000,6066.29700,6302.70300,178.66500,3320.48400,274.54500,3736.44600,3915.11100,0.73700,-780.97300,0.41200,2387.59200,6302.70300
2018-03-31,64.40700,237.98400,5799.84700,255.79400,6055.64100,6293.62500,181.36100,3335.41400,262.19900,3739.15400,3920.51500,0.73500,-769.31100,0.48900,2373.11000,6293.62500
2017-12-31,15.18800,255.49400,5758.51700,261.74400,6020.26100,6275.75500,196.33200,3284.76600,261.98600,3687.90900,3884.24100,0.73300,-749.36700,0.02200,2391.51400,6275.75500
2017-09-30,22.85000,254.15700,5699.76500,267.21500,5966.98000,6221.13700,206.44100,3263.46200,265.62800,3680.90500,3887.34600,0.72800,-724.91900,-0.74200,2333.79100,6221.13700
2017-06-30,96.32600,295.75100,5283.10100,224.65100,5507.75200,5803.50300,190.45900,3142.98800,231.33400,3526.36700,3716.82600,0.72500,-759.05800,-1.10000,2086.67700,5803.50300
2017-03-31,20.11200,165.79100,5249.11500,241.29400,5490.40900,5656.20000,191.90100,3013.36900,233.12500,3387.49700,3579.39800,0.72500,-764.45800,-1.49300,2076.80200,5656.20000
2016-12-31,23.36800,170.02100,5029.83900,223.41900,5253.25800,5423.27900,201.75600,2798.45200,203.54200,3145.68800,3347.44400,0.72200,-749.73400,-2.57700,2075.83500,5423.27900
2016-09-30,101.28100,251.32000,4915.82200,230.19500,5146.01700,5397.33700,184.00700,2809.56400,206.69000,3142.11500,3326.12200,0.72100,-737.12400,-5.39400,2071.21500,5397.33700
2016-06-30,18.62200,174.67100,4806.84000,206.95700,5013.79700,5188.46800,171.98200,2664.95300,202.44500,2993.50000,3165.48200,0.71600,-725.66500,-7.29300,2022.98600,5188.46800
2016-03-31,19.71600,175.08300,4741.76700,208.60700,4950.37400,5125.45700,165.40700,2659.32200,205.55510,2991.10900,3156.51600,0.71000,-714.45200,-6.88500,1968.94100,5125.45700
2015-12-31,21.04600,173.06600,4490.36500,233.12800,4723.49300,4896.55900,146.53200,2627.21600,203.56400,2968.09600,3114.62800,0.69600,-724.70100,-4.11000,1781.93100,4896.55900
2015-09-30,12.86400,166.38100,4370.67000,246.75200,4617.42200,4783.80300,154.76300,2532.82500,197.46800,2851.46500,3006.22800,0.69600,-727.20300,-7.13000,1777.57500,4783.80300
2015-06-30,22.17500,179.07000,4335.78200,218.98600,4554.76800,4733.83800,137.94400,2539.50500,194.46300,2854.32800,2992.27200,0.69200,-714.23900,-4.90900,1741.56600,4733.83800
2015-03-31,171.43700,323.32900,4236.38400,221.03700,4457.42100,4780.75000,149.37900,2636.73300,183.56700,2939.44500,3088.82400,0.68800,-697.69200,-5.97600,1691.92600,4780.75000
2014-12-31,47.95100,192.23000,4141.94800,212.69200,4354.64000,4546.87000,145.68500,2409.67700,179.89900,2708.62900,2854.31400,0.68700,-683.99100,-3.51500,1692.55600,4546.87000
2014-09-30,23.91700,179.85400,4105.32600,194.21800,4299.54400,4479.39800,160.20500,2364.93600,181.79300,2657.59400,2817.79900,0.68200,-659.33400,-1.76000,1661.59900,4479.39800
2014-06-30,41.31200,193.98500,4060.18700,177.31300,4237.50000,4431.48500,168.61500,2357.75100,176.37500,2644.81400,2813.42900,0.67800,-647.00600,-4.06000,1618.05600,4431.48500
2014-03-31,75.69900,223.75500,4005.13300,176.75900,4181.89200,4405.64700,157.35700,2391.93700,171.71700,2674.02200,2831.37900,0.67300,-637.63800,-1.96000,1574.26800,4405.64700
2013-12-31,88.92700,228.92000,3798.99200,191.38200,3990.37400,4219.29400,156.27000,2321.86200,165.44000,2591.72700,2747.99700,0.66700,-623.79500,-1.41700,1471.29700,4219.29400
2013-09-30,127.83100,270.31300,3710.72400,178.43900,3889.16300,4159.47600,160.63400,2306.19800,167.71400,2567.73200,2728.36600,0.66000,-600.09100,-3.53900,1431.11000,4159.47600
2013-06-30,108.36600,247.96300,3664.99600,172.24400,3837.24000,4085.20300,138.93200,2309.97800,158.35600,2562.48400,2701.41600,0.65700,-610.56900,-2.36800,1383.78700,4085.20300
2013-03-31,31.27400,164.12100,3567.38500,174.42600,3741.81100,3905.93200,126.71500,2195.89500,155.54300,2445.68700,2572.40200,0.65300,-600.02400,-10.77300,1333.53000,3905.93200
2012-12-31,36.98800,166.49700,3555.37900,176.68900,3732.06800,3898.56500,120.92900,2208.60200,164.02100,2467.04300,2587.97200,0.64800,-586.97000,-12.38800,1310.59300,3898.56500
2012-09-30,147.68000,285.49300,3345.79200,173.05400,3518.84600,3804.33900,121.23300,2178.41500,110.91800,2371.18400,2492.41700,0.64700,-577.21400,-13.22700,1311.92200,3804.33900
2012-06-30,82.77400,215.26200,3306.97400,158.69300,3465.66700,3680.92900,110.78600,2110.32100,111.50600,2303.68500,2414.47100,0.64100,-568.54100,-10.37500,1266.45800,3680.92900
2012-03-31,69.18200,201.12900,3301.61300,166.10600,3467.71900,3668.84800,92.35200,2115.27400,112.68400,2310.21000,2402.56200,0.63900,-556.78300,-2.58200,1266.28600,3668.84800
2011-12-31,67.80600,199.69400,3298.85600,167.66000,3466.51600,3666.21000,104.66000,2110.41000,125.21100,2320.94600,2425.60600,0.63600,-555.54100,-3.94000,1240.60400,3666.21000
2011-09-30,22.07000,156.64900,2921.62600,176.57300,3098.19900,3254.84800,89.62300,1730.87500,111.22300,1842.09800,1931.72100,0.63500,-542.48000,,1323.12700,3254.84800
2011-06-30,19.84800,150.38400,2908.19100,162.09300,3070.28400,3220.66800,86.55200,1760.29200,109.92800,1870.22000,1956.77200,0.62800,-545.58900,,1263.89600,3220.66800
2011-03-31,10.00100,126.33400,2927.85100,163.27600,3091.12700,3217.46100,80.53700,1804.05500,111.20000,1915.25500,1995.79200,0.62200,-538.20000,,1221.66900,3217.46100
2010-12-31,15.79700,129.60700,2860.73800,169.20800,3029.94600,3159.55300,102.57400,1767.14900,108.70000,1941.21100,2043.78500,0.61500,-527.58200,,1115.76800,3159.55300
2010-09-30,9.17400,127.44500,2834.89000,164.82400,2999.71400,3127.15900,112.49000,1721.18900,106.60400,1827.79300,1940.28300,0.61500,-519.05000,,1186.87600,3127.15900
2010-06-30,23.55700,138.66000,2818.21000,146.77500,2964.98500,3103.64500,106.77100,1697.13800,105.33100,1802.46900,1909.24000,0.61400,-507.38900,,1194.40500,3103.64500
2010-03-31,22.59400,135.30900,2825.70800,135.32700,2961.03500,3096.34400,97.05200,1690.68700,108.04400,1798.73100,1895.78300,0.61300,-497.84300,,1200.56100,3096.34400
2009-12-31,135.38900,255.91600,2821.14700,145.24600,2966.39300,3222.30900,109.06100,1793.84800,110.33700,1904.18500,2013.24600,0.61200,-486.44900,,1209.06300,3222.30900
2009-09-30,408.42800,529.01700,2813.82500,137.44300,2951.26800,3480.28500,110.39700,2042.21700,113.40600,2155.62300,2266.02000,0.61200,-477.86800,,1214.26500,3480.28500
2009-06-30,170.05900,287.24900,2818.66200,129.04500,2947.70700,3234.95600,109.82000,1896.23300,114.17400,2010.40700,2120.22700,0.59200,-464.79200,,1114.72900,3234.95600
2009-03-31,22.46000,140.73600,2827.55700,122.66900,2950.22600,3090.96200,107.13200,1750.61900,111.58400,1862.20300,1969.33500,0.59100,-454.62900,,1121.62700,3090.96200
