,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2019-06-30,298558.00000,174282.00000,472840.00000,,390031.00000,9434.00000,19654.00000,419119.00000,891959.00000,611266.00000,197848.00000,197848.00000,809114.00000,20.00000,67588.00000,-2051.00000,82845.00000,891959.00000
2019-03-31,316143.00000,168864.00000,485007.00000,,362762.00000,8770.00000,19425.00000,390957.00000,875964.00000,603381.00000,190691.00000,190691.00000,794072.00000,20.00000,66061.00000,-2473.00000,81892.00000,875964.00000
2018-12-31,302031.00000,168877.00000,470908.00000,,358131.00000,8851.00000,15641.00000,382623.00000,853531.00000,582463.00000,189662.00000,189662.00000,772125.00000,20.00000,64175.00000,-2292.00000,81406.00000,853531.00000
2018-09-30,304056.00000,170822.00000,474878.00000,,365756.00000,8920.00000,15963.00000,390639.00000,865517.00000,594554.00000,190889.00000,190889.00000,785443.00000,20.00000,63330.00000,-3999.00000,80074.00000,865517.00000
2018-06-30,328765.00000,173827.00000,502592.00000,,348386.00000,9024.00000,15873.00000,373283.00000,875875.00000,603125.00000,192244.00000,192244.00000,795369.00000,20.00000,61835.00000,-3070.00000,80506.00000,875875.00000
2018-03-31,303425.00000,175970.00000,479395.00000,,353685.00000,9133.00000,16282.00000,379100.00000,858495.00000,584042.00000,194964.00000,194964.00000,779006.00000,20.00000,60009.00000,-3406.00000,79489.00000,858495.00000
2017-12-31,288663.00000,160313.00000,448976.00000,,377084.00000,9045.00000,16628.00000,402757.00000,851733.00000,580685.00000,192582.00000,192582.00000,773267.00000,20.00000,57577.00000,-3060.00000,78466.00000,851733.00000
2017-09-30,271189.00000,158819.00000,430008.00000,,364174.00000,9081.00000,50430.00000,423685.00000,853693.00000,581902.00000,191677.00000,191677.00000,773579.00000,20.00000,57554.00000,-2544.00000,80114.00000,853693.00000
2017-06-30,268789.00000,152556.00000,421345.00000,,362378.00000,9158.00000,48135.00000,419671.00000,841016.00000,576937.00000,184112.00000,184112.00000,761049.00000,20.00000,56325.00000,-2488.00000,79967.00000,841016.00000
2017-03-31,259480.00000,144297.00000,403777.00000,,365480.00000,9232.00000,53902.00000,428614.00000,832391.00000,580619.00000,172688.00000,172688.00000,753307.00000,20.00000,55109.00000,-2450.00000,79084.00000,832391.00000
2016-12-31,304551.00000,140708.00000,445259.00000,,342246.00000,9298.00000,18146.00000,369690.00000,814949.00000,572056.00000,165716.00000,165716.00000,737772.00000,20.00000,53679.00000,-2643.00000,77177.00000,814949.00000
2016-09-30,259411.00000,143919.00000,403330.00000,,352107.00000,9331.00000,49123.00000,410561.00000,813891.00000,571502.00000,163927.00000,163927.00000,735429.00000,20.00000,52545.00000,-1070.00000,78462.00000,813891.00000
2016-06-30,285003.00000,145992.00000,430995.00000,,336938.00000,9414.00000,51526.00000,397878.00000,828873.00000,587006.00000,163492.00000,163492.00000,750498.00000,20.00000,51410.00000,-905.00000,78375.00000,828873.00000
2016-03-31,301638.00000,133564.00000,435202.00000,,311742.00000,9495.00000,51058.00000,372295.00000,807497.00000,567518.00000,162804.00000,162804.00000,730322.00000,20.00000,50272.00000,-1238.00000,77175.00000,807497.00000
2015-12-31,284156.00000,131166.00000,415322.00000,,311488.00000,9568.00000,51087.00000,372143.00000,787465.00000,557513.00000,153768.00000,153768.00000,711281.00000,20.00000,49204.00000,-1656.00000,76184.00000,787465.00000
2015-09-30,373977.00000,128279.00000,502256.00000,6259.00000,306782.00000,9656.00000,9160.00000,331857.00000,834113.00000,597350.00000,160343.00000,160343.00000,757693.00000,20.00000,48746.00000,-1419.00000,76420.00000,834113.00000
2015-06-30,346232.00000,133008.00000,479240.00000,6182.00000,320583.00000,9745.00000,10005.00000,346515.00000,825755.00000,591599.00000,158089.00000,158089.00000,749688.00000,20.00000,48106.00000,-1447.00000,76067.00000,825755.00000
2015-03-31,344558.00000,125436.00000,469994.00000,6141.00000,332943.00000,9661.00000,10360.00000,359105.00000,829099.00000,598088.00000,155545.00000,155545.00000,753633.00000,20.00000,46740.00000,-1266.00000,75466.00000,829099.00000
2014-12-31,328903.00000,115538.00000,444441.00000,6108.00000,330472.00000,9747.00000,10742.00000,357069.00000,801510.00000,576634.00000,152772.00000,152772.00000,729406.00000,20.00000,44625.00000,-1248.00000,72104.00000,801510.00000
2014-09-30,356923.00000,113048.00000,469971.00000,5642.00000,320544.00000,9643.00000,8711.00000,344540.00000,814511.00000,588143.00000,152357.00000,152357.00000,740500.00000,20.00000,46573.00000,-1115.00000,74011.00000,814511.00000
2014-06-30,361518.00000,109817.00000,471335.00000,5911.00000,329934.00000,9737.00000,9651.00000,355233.00000,826568.00000,604884.00000,149483.00000,149483.00000,754367.00000,20.00000,45145.00000,-733.00000,72201.00000,826568.00000
2014-03-31,375859.00000,106811.00000,482670.00000,5778.00000,323574.00000,9811.00000,9548.00000,348711.00000,831381.00000,607739.00000,153374.00000,153374.00000,761113.00000,20.00000,43522.00000,-968.00000,70268.00000,831381.00000
2013-12-31,367431.00000,99978.00000,467409.00000,6019.00000,339260.00000,9881.00000,10133.00000,365293.00000,832702.00000,610097.00000,153575.00000,153575.00000,763672.00000,20.00000,42172.00000,-1093.00000,69030.00000,832702.00000
2013-09-30,384372.00000,95444.00000,479816.00000,6008.00000,325607.00000,10105.00000,10687.00000,352407.00000,832223.00000,606177.00000,157805.00000,157805.00000,763982.00000,20.00000,42237.00000,-1014.00000,68241.00000,832223.00000
2013-06-30,368919.00000,99044.00000,467963.00000,5966.00000,307765.00000,10202.00000,10795.00000,334728.00000,802691.00000,575479.00000,161098.00000,161098.00000,736577.00000,20.00000,41455.00000,-1169.00000,66114.00000,802691.00000
2013-03-31,368328.00000,92886.00000,461214.00000,5928.00000,313630.00000,10327.00000,10284.00000,340169.00000,801383.00000,565744.00000,165142.00000,169567.00000,735311.00000,20.00000,40750.00000,-694.00000,66072.00000,801383.00000
2012-12-31,348265.00000,93334.00000,441599.00000,5946.00000,312471.00000,10433.00000,10511.00000,339361.00000,780960.00000,541652.00000,169571.00000,173880.00000,715532.00000,20.00000,39912.00000,-516.00000,65428.00000,780960.00000
2012-09-30,353071.00000,87922.00000,440993.00000,6083.00000,296555.00000,10527.00000,10827.00000,323992.00000,764985.00000,527069.00000,168444.00000,172746.00000,699815.00000,20.00000,39441.00000,-146.00000,65170.00000,764985.00000
2012-06-30,365825.00000,78375.00000,444200.00000,6343.00000,276754.00000,10597.00000,10623.00000,304317.00000,748517.00000,509052.00000,167828.00000,167828.00000,676880.00000,20.00000,40586.00000,-220.00000,71637.00000,748517.00000
2012-03-31,364666.00000,71672.00000,436338.00000,6410.00000,315640.00000,10870.00000,11772.00000,344692.00000,781030.00000,533715.00000,176723.00000,176723.00000,710438.00000,20.00000,40118.00000,-60.00000,70592.00000,781030.00000
2011-12-31,345646.00000,64038.00000,409684.00000,6457.00000,310680.00000,10971.00000,12106.00000,340214.00000,749898.00000,495586.00000,184234.00000,184234.00000,679820.00000,20.00000,40341.00000,-157.00000,70078.00000,749898.00000
2011-09-30,389398.00000,68083.00000,457481.00000,6511.00000,306759.00000,11079.00000,13109.00000,337458.00000,794939.00000,535752.00000,189093.00000,189093.00000,724845.00000,20.00000,40710.00000,-413.00000,70094.00000,794939.00000
2011-06-30,405195.00000,70968.00000,476163.00000,6399.00000,323935.00000,11218.00000,13032.00000,354584.00000,830747.00000,566498.00000,196106.00000,196106.00000,762604.00000,20.00000,38637.00000,-320.00000,68143.00000,830747.00000
2011-03-31,393561.00000,70812.00000,464373.00000,6366.00000,340564.00000,11324.00000,13558.00000,371812.00000,836185.00000,573541.00000,196136.00000,196136.00000,769677.00000,16.00000,39269.00000,-426.00000,66508.00000,836185.00000
2010-12-31,370315.00000,64726.00000,435041.00000,6154.00000,341807.00000,11406.00000,13290.00000,372657.00000,807698.00000,549834.00000,192457.00000,192457.00000,742291.00000,16.00000,38603.00000,-467.00000,65407.00000,807698.00000
2010-09-30,386836.00000,62533.00000,449369.00000,6032.00000,361685.00000,11574.00000,12712.00000,392003.00000,841372.00000,579299.00000,196491.00000,196491.00000,775790.00000,16.00000,38056.00000,-116.00000,65582.00000,841372.00000
2010-06-30,396779.00000,54247.00000,451026.00000,6100.00000,327598.00000,11673.00000,13059.00000,358430.00000,809456.00000,567487.00000,182810.00000,182810.00000,750297.00000,15.00000,38210.00000,-354.00000,59159.00000,809456.00000
2010-03-31,394424.00000,49776.00000,444200.00000,6047.00000,343222.00000,12167.00000,14083.00000,375519.00000,819719.00000,575337.00000,189203.00000,189203.00000,764540.00000,15.00000,36539.00000,-559.00000,55179.00000,819719.00000
2009-12-31,380068.00000,51736.00000,431804.00000,7067.00000,303530.00000,12216.00000,16845.00000,339658.00000,771462.00000,525308.00000,193374.00000,193374.00000,718682.00000,15.00000,35056.00000,-560.00000,52780.00000,771462.00000
2009-09-30,342684.00000,48678.00000,391362.00000,6765.00000,342395.00000,12656.00000,16325.00000,378141.00000,769503.00000,520842.00000,196437.00000,196437.00000,717279.00000,15.00000,34726.00000,-299.00000,52224.00000,769503.00000
2009-06-30,296173.00000,50670.00000,346843.00000,6548.00000,295205.00000,12389.00000,15972.00000,330114.00000,676957.00000,438702.00000,186792.00000,186792.00000,625494.00000,15.00000,34245.00000,-342.00000,51463.00000,676957.00000
2009-03-31,291852.00000,45772.00000,337624.00000,6018.00000,262774.00000,3075.00000,16532.00000,288399.00000,626023.00000,394708.00000,182108.00000,182108.00000,576816.00000,12.00000,35577.00000,-471.00000,49207.00000,626023.00000
