,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2013-03-31,307.36900,1031.56000,1147.08100,225.38500,100.63800,3322.87300,27309.44000,45.97700,377.17200,1432.18600,39470.10000,42792.97000,3896.42000,11763.11000,5262.89000,29589.48000,33485.89000,2.54800,9718.17100,-303.65800,9307.07600,42792.97000
2012-12-31,578.60890,1001.71500,1142.36100,242.92200,167.24300,3683.12600,27298.54000,46.73800,377.17200,1628.92100,39519.38000,43202.50000,4106.32100,11954.86000,5352.38400,29805.09000,33911.41000,2.54800,9704.59100,-293.08300,9291.08900,43202.50000
2012-09-30,802.05900,1147.28000,1136.39600,371.68600,110.45200,3807.75000,26431.53000,47.75800,377.17200,1634.75600,38215.93000,42023.68000,3924.26800,11783.68000,5343.35800,28814.89000,32739.16000,2.54800,9555.85900,-136.79300,9284.52200,42023.68000
2012-06-30,320.82100,1037.45000,1134.23800,367.73600,103.09600,3203.50000,25995.75000,45.31900,377.17200,1325.70300,37714.11000,40917.61000,3041.94300,12005.45000,5219.38600,28751.67000,31793.61000,2.54800,9366.22100,-75.59700,9123.99600,40917.61000
2012-03-31,734.36600,829.06300,222.34500,452.04200,1003.35700,3476.33700,25586.80000,45.76900,377.17200,1387.87900,37453.89000,40930.22000,2910.65400,12158.58000,5094.00700,29011.31000,31921.96000,2.54800,9148.26200,33.66700,9008.26000,40930.22000
2011-12-31,744.74200,1001.86800,1096.88800,291.74200,246.57600,3622.70300,25609.28000,44.87600,377.17200,1632.55000,37078.99000,40701.70000,4950.69900,10082.13000,4912.22900,26695.73000,31646.43000,2.54800,9446.96000,-168.45200,9055.27000,40701.70000
2011-09-30,1030.62700,1248.37300,1075.46700,284.41600,277.47100,4154.49800,24799.03000,43.93400,377.17200,1552.17600,35007.00000,39161.50000,4161.34300,10281.33000,4859.18000,25940.79000,30102.14000,2.54800,9439.00000,-138.33700,9059.36200,39161.50000
2011-06-30,563.79600,1203.10200,1082.32300,541.86900,177.79500,3863.14200,24638.85000,44.17200,377.17200,1600.36200,35266.62000,39129.76000,2242.40400,12097.54000,4786.80600,28195.79000,30438.20000,2.54800,8957.51600,-75.15600,8691.56600,39129.76000
2011-03-31,762.92100,932.13700,1086.62600,618.99000,104.31000,3777.58600,24195.69000,40.17100,377.17200,1620.57300,34820.98000,38598.57000,2310.74400,11622.50000,4787.31100,27658.68000,29969.43000,2.54800,8789.53400,-67.17700,8629.13800,38598.57000
2010-12-31,1337.51600,1035.58200,1074.42800,547.84300,116.81900,4339.08300,23848.36000,40.69700,377.17200,1573.56600,34346.20000,38685.28000,2776.24900,11359.24000,4701.31400,27318.63000,30094.88000,2.54800,8689.40100,-38.21200,8590.40000,38685.28000
2010-09-30,1967.19900,1217.20500,1045.71800,500.29000,92.04700,5047.46300,23570.46000,38.05800,377.17200,1685.38700,33620.74000,38668.21000,2914.18600,11487.39000,4670.32600,26928.27000,29842.46000,2.54800,8611.08100,72.56600,8825.75200,38668.21000
2010-06-30,1371.15000,1166.15500,1038.19600,467.80200,42.57900,4362.52200,23491.67000,38.23900,377.17200,1406.49900,33389.55000,37752.07000,2806.50400,11056.32000,4323.30900,26080.83000,28887.34000,2.54800,8273.15300,-31.06500,8864.73800,37752.07000
2010-03-31,1692.07100,936.99800,1036.89400,733.66900,94.67800,4732.62000,23538.99000,39.65100,377.17200,1480.22700,33376.78000,38109.40000,3059.78100,11173.35000,4295.49800,26095.54000,29155.32000,2.54800,8115.01000,85.39200,8954.07900,38109.40000
2009-12-31,1722.64900,980.82700,1022.55700,386.04000,196.79800,4534.16100,23389.40000,39.58000,377.17200,1374.24300,33027.79000,37561.95000,3193.99700,11059.97000,4171.05000,25660.60000,28854.59000,2.54800,8043.12200,-75.18500,8707.36000,37561.95000
2009-09-30,1151.20100,1082.41500,1022.42000,258.23500,226.19600,3966.80300,22966.27000,68.63400,377.17200,1359.34800,32203.53000,36170.34000,3374.19400,10346.27000,4062.09600,24218.79000,27592.99000,2.54800,7871.05100,-17.56100,8577.34700,36170.34000
2009-06-30,1290.00700,1095.38400,1019.28800,351.89000,359.02200,4430.06600,22819.17000,67.77500,377.17200,1435.56800,32055.15000,36485.22000,3501.21900,10484.87000,4008.93600,24123.53000,27624.75000,2.54800,7562.58700,-10.61400,8860.47400,36485.22000
2009-03-31,1822.85100,994.98500,1016.05500,362.48000,413.52700,4865.36600,22619.68000,63.62400,377.17200,1488.89900,31747.22000,36612.59000,3254.11700,11215.69000,3926.33100,24634.06000,27888.18000,2.54800,7482.32900,-58.46600,8724.40600,36612.59000
