,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,737.71200,1586.39800,1922.04800,399.96700,99.87300,4745.99800,4434.54400,3452.74400,8623.40600,13369.40000,1872.23000,2573.15500,338.33600,3572.31000,5444.54000,0.78500,7225.82800,-966.77600,7924.86400,13369.40000
2020-03-31,263.08600,1644.75000,2195.43400,419.09900,90.66200,4613.03100,4472.91300,3424.00200,8643.91100,13256.94000,2871.28300,1514.00000,305.15100,2538.01600,5409.29900,0.78500,7274.08500,-1087.85200,7847.64300,13256.94000
2019-12-31,177.28500,1526.61900,2282.32800,415.54600,27.67900,4429.45700,4698.91700,3498.90600,8957.22400,13386.68000,2712.58300,1518.38800,327.22000,2547.64900,5260.23200,0.79000,7232.33700,-765.82400,8126.44800,13386.68000
2019-09-30,111.30300,1787.15800,2337.95200,425.59500,65.77200,4727.78000,4600.63000,3436.16700,8664.98100,13392.76000,3114.69900,1483.58100,355.73100,2512.78400,5627.48300,0.79200,6991.07600,-882.28700,7765.27900,13392.76000
2019-06-30,128.09600,1819.47400,2367.63100,419.77500,73.34100,4808.31700,4714.30600,3516.32600,8997.78400,13806.10000,3705.79100,1169.48900,436.84300,2278.72000,5984.51100,0.79700,6903.26100,-732.52100,7821.59100,13806.10000
2019-03-31,105.66800,1743.58100,2338.12500,427.23300,74.35800,4688.96500,4674.43500,3499.56100,8916.11000,13605.08000,3434.24700,1497.97500,445.44100,2593.78300,6028.03000,0.79800,6709.78200,-777.54700,7577.04500,13605.08000
2018-12-31,119.05000,1606.15900,2287.61500,421.55300,74.91900,4509.29600,4699.90200,3482.77600,8589.82700,13099.12000,3266.23900,1515.60100,463.48400,2392.82500,5659.06400,0.79700,6588.19700,-791.60800,7440.05900,13099.12000
2018-09-30,91.35100,1755.71000,2214.29500,416.80500,70.30900,4548.47000,4586.23600,3466.80000,8452.45600,13000.93000,2957.27100,1528.55100,511.40700,2471.87800,5429.14900,0.82000,6635.89600,-704.37900,7571.77700,13000.93000
2018-06-30,518.22600,1737.93500,2061.20400,385.22800,71.08700,4773.68000,4421.07300,3305.57800,8120.35900,12894.04000,2736.07200,1884.02300,505.08800,2784.53300,5520.60500,0.82000,6409.55200,-671.13300,7373.43400,12894.04000
2018-03-31,114.84300,1689.91200,2044.96200,379.11100,68.21100,4297.03900,4460.79300,3412.60400,8263.33300,12560.37000,2795.91000,1585.65100,462.22200,2418.45300,5214.36100,0.81900,6212.96600,-487.16800,7346.00900,12560.37000
2017-12-31,84.88400,1558.15900,1948.66300,376.83600,104.42500,4072.96700,4270.79000,3363.22600,8021.88600,12094.85000,2655.35500,1559.89500,455.02800,2372.48900,5027.84400,0.81800,6004.50600,-558.52700,7067.00900,12094.85000
2017-09-30,84.50200,1656.06400,1911.02900,325.16000,20.35500,3997.11000,4090.09900,3344.65800,7825.70300,11822.81000,2697.01800,1544.66500,333.91700,2328.19300,5025.20800,0.81700,5764.12800,-571.36900,6797.60200,11822.81000
2017-06-30,130.23800,1639.61400,1865.94100,345.29400,29.63600,4010.72300,3892.25100,3295.35900,7578.76900,11589.49000,3220.73500,1174.44000,323.85100,1914.26300,5134.99800,0.81700,5494.14900,-636.78700,6454.49300,11589.49000
2017-03-31,188.43600,1497.90800,1740.88000,279.15300,28.60500,3734.98200,3506.15400,3128.86800,6992.53500,10727.52000,2828.32700,1132.26800,292.49900,1834.36600,4662.69300,0.81700,5233.46800,-749.98600,6064.82400,10727.52000
2016-12-31,121.66500,1376.15100,1675.75100,267.72400,30.22100,3471.51200,3370.34800,3109.03200,6759.08400,10230.60000,2718.32000,1128.74700,214.93000,1728.78900,4447.10900,0.81500,5032.91400,-833.02700,5783.48700,10230.60000
2016-09-30,112.10800,1506.31600,1673.24200,252.81200,31.83600,3576.31400,3340.89300,3208.53600,6844.27900,10420.59000,2983.32000,1165.57700,213.75800,1764.58500,4747.90500,0.81600,4799.18700,-704.12000,5672.68800,10420.59000
2016-06-30,112.04900,1448.89800,1660.13100,259.24600,38.87900,3519.20300,3243.83800,3253.05800,6793.62800,10312.83000,3129.73400,1160.70000,210.49900,1797.51400,4927.24800,0.81500,4529.44100,-715.86100,5385.58300,10312.83000
2016-03-31,98.30500,1406.72500,1652.03000,254.08800,59.40300,3470.55100,3224.32700,3290.49600,6821.76400,10292.32000,3323.66800,1173.60000,221.89200,1812.06900,5135.73700,0.81400,4274.25400,-672.82000,5156.57800,10292.32000
2015-12-31,81.69200,1257.50500,1607.25600,258.63300,44.88600,3249.97200,3147.11800,3229.90600,6684.42800,9934.40000,3259.02800,1188.96400,215.46300,1814.50900,5073.53700,0.81300,4102.70700,-793.56800,4860.86300,9934.40000
2015-09-30,110.71600,1340.65000,1621.15400,226.66500,47.11000,3499.19400,3046.49100,3199.37700,6565.28800,10064.48000,3299.78400,1263.17600,238.44600,2008.81500,5308.59700,0.81300,3911.14800,-698.30000,4755.88300,10064.48000
2015-06-30,171.08700,1387.68700,1592.40300,263.47700,40.39400,3608.62200,3014.75100,3225.51000,6557.04800,10165.67000,3001.53100,1777.82800,232.06000,2549.25700,5550.78800,0.82100,3696.27200,-625.57200,4614.88200,10165.67000
2015-03-31,107.04100,1158.85800,1505.63200,247.49400,37.76700,3203.81900,2618.63300,2215.00100,5080.80300,8284.62200,2891.98000,606.08000,168.45500,1168.84700,4060.82700,0.81200,3509.81400,-655.39400,4223.79500,8284.62200
2014-12-31,97.87700,1081.96300,1543.31300,225.75900,31.57400,2980.48600,2703.21000,2306.36100,5305.05800,8285.54400,1946.72400,1402.13500,103.10800,1916.00700,3862.73100,0.81100,3487.07900,-429.32100,4422.81300,8285.54400
2014-09-30,105.56900,1209.55700,1640.48700,233.76300,42.21800,3368.81400,2772.72200,2414.82400,5332.64600,8701.46000,1831.35700,1806.82100,111.81700,2293.58500,4124.94200,0.81100,3340.21100,-122.88500,4576.51800,8701.46000
2014-06-30,70.04400,1261.80800,1644.76800,230.26300,36.94700,3379.08900,2830.20200,2522.97300,5502.59200,8881.68100,1872.52000,1807.60900,118.92000,2335.86100,4208.38100,0.81000,3187.64000,135.37900,4673.30000,8881.68100
2014-03-31,72.64500,1174.89500,1632.23600,207.61800,42.07200,3263.27400,2745.05700,2518.68800,5418.21400,8681.48800,1843.51500,1811.78900,109.70600,2344.52900,4188.04400,0.81000,3034.89000,115.60900,4493.44400,8681.48800
2013-12-31,54.06600,1062.87500,1572.32500,204.03400,44.88400,3085.71800,2701.74300,2547.69400,5408.45900,8494.17700,1320.81100,2132.79000,124.44700,2703.06000,4023.87100,0.80800,2953.80900,178.68900,4470.30600,8494.17700
2013-09-30,63.58000,1154.36800,1612.69600,179.56200,42.20500,3188.46300,2683.98400,2524.99900,5375.69400,8564.15700,1385.22300,2257.39100,135.32200,2845.30100,4230.52400,0.80800,2859.15800,146.22500,4333.63300,8564.15700
2013-06-30,168.74500,1145.55000,1591.55200,191.11700,38.74200,3270.19500,2594.25600,2491.15100,5238.76900,8508.96400,1344.96200,2450.58400,156.30300,3059.70900,4404.67100,0.80700,2740.09000,49.80600,4104.29300,8508.96400
2013-03-31,1120.16700,825.65900,1230.25000,134.94400,22.06700,3446.60600,1729.91600,1963.41800,3815.23900,7261.84500,877.63100,2253.02000,87.32000,2659.63000,3537.26100,0.80600,2655.51800,82.24200,3724.58400,7261.84500
2012-12-31,477.67200,679.47300,1133.73600,138.11700,9.46300,2550.04600,1692.85200,1939.57000,3753.63800,6303.68400,828.64900,1327.72900,97.87900,1755.41800,2584.06700,0.80200,2605.02300,159.73300,3719.61700,6303.68400
2012-09-30,380.84200,817.21400,1139.40300,128.49700,17.77800,2596.72900,1657.22600,1925.75100,3705.88300,6302.61200,818.85900,1467.26900,92.35900,1888.81800,2707.67700,0.80100,2538.63400,112.85400,3594.93500,6302.61200
2012-06-30,319.46300,782.12200,1161.07300,127.50500,17.41000,2534.18600,1652.44400,1928.30400,3730.59100,6264.77700,790.56900,1570.53000,93.29000,1997.89000,2788.45900,0.80000,2468.33000,70.46400,3476.31800,6264.77700
2012-03-31,304.77500,782.00000,1164.99100,113.76400,22.98800,2544.62800,1718.39600,1990.33700,3854.56600,6399.19400,778.69200,1642.41900,95.83800,2101.20500,2879.89700,0.80000,2395.14200,190.61700,3519.29700,6399.19400
2011-12-31,311.94500,686.16500,1113.63000,112.77900,22.73500,2398.16400,1712.15400,1980.27500,3808.06400,6206.22800,1101.34600,1200.18400,99.53700,1689.09700,2790.44300,0.79800,2354.76500,135.63900,3415.78500,6206.22800
2011-09-30,276.15600,775.42100,1132.07300,104.25000,20.75700,2440.58800,1696.18200,2023.59400,3836.98000,6277.56800,1213.23900,1173.03800,95.92800,1645.59400,2858.83300,0.79800,2311.83400,184.63100,3418.73500,6277.56800
2011-06-30,285.42200,797.89300,1102.76900,103.51800,22.29700,2447.23700,1730.91400,2100.00800,3941.76300,6389.00000,1224.48200,1155.15000,93.49900,1647.55900,2872.04100,0.79800,2265.18800,331.55800,3516.95900,6389.00000
2011-03-31,256.23100,754.82600,1075.61300,97.84600,21.67200,2339.67500,1715.89500,2096.43400,3926.55800,6266.23300,792.47400,1577.18800,94.64200,2060.42700,2852.90100,0.79700,2204.28500,292.82800,3413.33200,6266.23300
2010-12-31,382.17100,614.47300,1007.50300,91.73100,19.43100,2248.61300,1687.12400,2046.52100,3850.31300,6098.92600,1048.91400,1302.99400,93.51800,1778.45600,2827.37000,0.79700,2180.84300,178.09700,3271.55600,6098.92600
2010-09-30,365.83500,697.49100,996.27100,87.20800,27.66800,2294.20200,1680.54100,2099.99100,3897.70800,6191.91000,1131.31100,1303.15100,89.72000,1745.09900,2876.41000,0.79600,2138.32900,236.37700,3315.50000,6191.91000
2010-06-30,342.67300,703.45800,965.77800,118.09600,19.24200,2284.86000,1654.16100,2026.15900,3719.05600,6003.91600,1160.21600,1303.15500,90.58200,1734.51000,2894.72600,0.79600,2087.23500,83.80400,3109.19000,6003.91600
2010-03-31,452.33500,788.12400,932.78500,109.96800,23.73100,2443.45800,1719.05100,2113.87100,3875.44200,6318.90000,1411.11600,1303.43700,99.09200,1756.29500,3167.41100,0.79600,2019.15400,196.93000,3151.48900,6318.90000
2009-12-31,531.45800,673.93100,892.98100,108.94700,20.69300,2359.00000,1791.41200,2196.47000,4032.44600,6391.44600,884.02200,1801.57200,100.66700,2306.60100,3190.62300,0.79500,1998.61600,296.91700,3200.82300,6391.44600
2009-09-30,306.14500,832.10500,939.47800,117.36700,,2359.11100,1841.77900,2241.97700,4129.34400,6488.45500,929.74200,1802.13800,107.95100,2312.62400,3242.36600,0.79500,1978.83700,334.72800,3246.08900,6488.45500
2009-06-30,226.54300,778.45600,936.33600,127.86600,,2255.77300,1864.30100,2211.46700,4099.91600,6355.68900,930.92500,1804.08600,107.21600,2294.44100,3225.36600,0.79500,1944.48900,256.47700,3130.32300,6355.68900
2009-03-31,136.55200,784.67700,985.46300,128.41300,,2226.62100,1867.07200,2168.47900,4061.01500,6287.63600,965.89800,1843.61200,104.71000,2330.31600,3296.21400,0.79500,1898.22800,163.42000,2991.42200,6287.63600
