,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,13048.00000,29477.00000,840.00000,,46500.00000,1717.00000,3175.00000,10372.00000,1402.00000,16666.00000,63166.00000,33729.00000,8934.00000,,11753.00000,45482.00000,9788.00000,-170.00000,,17684.00000,63166.00000
2020-03-31,10186.00000,23229.00000,1057.00000,,38184.00000,1646.00000,2366.00000,10493.00000,1577.00000,16082.00000,54266.00000,27449.00000,7967.00000,,10806.00000,38255.00000,8258.00000,-120.00000,,16011.00000,54266.00000
2019-12-31,10761.00000,22962.00000,800.00000,,38495.00000,1693.00000,2863.00000,6990.00000,1292.00000,12838.00000,51333.00000,26919.00000,4965.00000,,7485.00000,34404.00000,8342.00000,-173.00000,,16929.00000,51333.00000
2019-09-30,10462.00000,22928.00000,881.00000,,37748.00000,1701.00000,2771.00000,6807.00000,1196.00000,12475.00000,50223.00000,26340.00000,4964.00000,,7400.00000,33740.00000,7835.00000,-52.00000,,16483.00000,50223.00000
2019-06-30,8415.00000,23952.00000,902.00000,,36435.00000,1720.00000,2278.00000,6935.00000,1023.00000,11956.00000,48391.00000,29847.00000,,,2405.00000,32252.00000,7373.00000,-28.00000,,16139.00000,48391.00000
2019-03-31,7849.00000,23147.00000,1039.00000,,34891.00000,1731.00000,1695.00000,6984.00000,979.00000,11389.00000,46280.00000,28635.00000,,,2488.00000,31123.00000,6550.00000,-25.00000,,15157.00000,46280.00000
2018-12-31,9109.00000,20375.00000,947.00000,,32963.00000,1724.00000,971.00000,7109.00000,565.00000,10369.00000,43332.00000,25904.00000,,,2042.00000,27946.00000,5880.00000,78.00000,,15386.00000,43332.00000
2018-09-30,9587.00000,21363.00000,928.00000,,33990.00000,1646.00000,946.00000,6738.00000,404.00000,9734.00000,43724.00000,26640.00000,,,1969.00000,28609.00000,5296.00000,66.00000,,15115.00000,43724.00000
2018-06-30,4965.00000,19471.00000,1075.00000,,34184.00000,1567.00000,1369.00000,4456.00000,101.00000,7493.00000,41677.00000,24809.00000,,,1849.00000,26658.00000,4860.00000,36.00000,,15019.00000,41677.00000
2018-03-31,6306.00000,19420.00000,900.00000,,34742.00000,1523.00000,1487.00000,4476.00000,94.00000,7580.00000,42322.00000,25714.00000,,,1967.00000,27681.00000,4334.00000,-169.00000,,14641.00000,42322.00000
2017-12-31,5695.00000,18525.00000,713.00000,,32645.00000,1528.00000,1961.00000,4507.00000,133.00000,8129.00000,40774.00000,22863.00000,,,1917.00000,24780.00000,3823.00000,-142.00000,,15994.00000,40774.00000
2017-09-30,4921.00000,17476.00000,719.00000,,29437.00000,1485.00000,2217.00000,4552.00000,70.00000,8324.00000,37761.00000,20703.00000,,,1626.00000,22329.00000,3204.00000,-142.00000,,15432.00000,37761.00000
2017-06-30,4091.00000,16354.00000,838.00000,,27035.00000,1479.00000,2511.00000,4205.00000,60.00000,8255.00000,35290.00000,18641.00000,,,1651.00000,20292.00000,2824.00000,-98.00000,,14998.00000,35290.00000
2017-03-31,4055.00000,15119.00000,897.00000,,25425.00000,1448.00000,2325.00000,4244.00000,51.00000,8068.00000,33493.00000,17286.00000,,,1581.00000,18867.00000,2412.00000,2.00000,,14626.00000,33493.00000
2016-12-31,4975.00000,14577.00000,833.00000,,25733.00000,1482.00000,1539.00000,4270.00000,79.00000,7370.00000,33103.00000,16878.00000,,,1513.00000,18391.00000,2069.00000,59.00000,,14712.00000,33103.00000
2016-09-30,5088.00000,13507.00000,751.00000,,24161.00000,1451.00000,1339.00000,4313.00000,92.00000,7195.00000,31356.00000,15616.00000,,,1548.00000,17164.00000,1679.00000,39.00000,,14192.00000,31356.00000
2016-06-30,4957.00000,13201.00000,792.00000,,23457.00000,1412.00000,1315.00000,4350.00000,97.00000,7174.00000,30631.00000,15223.00000,,,1591.00000,16814.00000,1356.00000,52.00000,,13817.00000,30631.00000
2016-03-31,4767.00000,12391.00000,586.00000,,21968.00000,1345.00000,1661.00000,4391.00000,105.00000,7502.00000,29470.00000,14362.00000,,,1510.00000,15872.00000,1033.00000,-27.00000,,13598.00000,29470.00000
2015-12-31,3411.00000,12398.00000,655.00000,,20648.00000,1344.00000,2348.00000,4427.00000,114.00000,8233.00000,28881.00000,13617.00000,,,1505.00000,15122.00000,668.00000,-9.00000,,13759.00000,28881.00000
2015-09-30,4299.00000,11975.00000,,678.00000,20554.00000,1298.00000,2392.00000,3589.00000,63.00000,7342.00000,27896.00000,13072.00000,,1610.00000,1610.00000,14682.00000,301.00000,3.00000,,13214.00000,27896.00000
2015-06-30,4408.00000,11467.00000,,583.00000,19713.00000,1291.00000,2258.00000,3595.00000,54.00000,7198.00000,26911.00000,12584.00000,,1587.00000,1587.00000,14171.00000,,24.00000,12716.00000,12740.00000,26911.00000
2015-03-31,2375.00000,10998.00000,,480.00000,18207.00000,989.00000,31.00000,3322.00000,30.00000,4372.00000,22579.00000,13549.00000,,390.00000,390.00000,13939.00000,,142.00000,8498.00000,8640.00000,22579.00000
2014-12-31,2230.00000,10677.00000,378.00000,,17565.00000,922.00000,31.00000,3345.00000,54.00000,4352.00000,21917.00000,13283.00000,,,386.00000,13669.00000,,110.00000,8138.00000,8248.00000,21917.00000
2014-09-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000,0.00000
2014-06-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000,0.00000
2014-03-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000,0.00000
2013-12-31,1925.00000,9329.00000,,267.00000,14620.00000,,196.00000,3445.00000,41.00000,3682.00000,19160.00000,11261.00000,,509.00000,509.00000,11770.00000,,,7390.00000,7390.00000,19160.00000
2012-12-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,,,0.00000,0.00000,0.00000
