,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-12-31,12222.00000,8175.00000,1682.00000,2378.00000,49146.00000,10792.00000,2386.00000,39352.00000,74236.00000,123382.00000,38227.00000,35605.00000,12174.00000,68226.00000,106452.00000,55151.00000,159206.00000,-29490.00000,16929.00000,123382.00000
2018-09-30,14663.00000,7838.00000,1893.00000,2388.00000,48257.00000,10949.00000,2272.00000,39660.00000,73732.00000,121990.00000,36822.00000,35989.00000,9979.00000,65249.00000,102071.00000,54987.00000,158612.00000,-27820.00000,19918.00000,121990.00000
2018-06-30,11926.00000,8534.00000,1742.00000,2443.00000,46795.00000,11024.00000,2518.00000,39826.00000,74828.00000,121622.00000,35442.00000,37851.00000,10000.00000,67532.00000,102974.00000,54827.00000,157349.00000,-28290.00000,18648.00000,121622.00000
2018-03-31,13155.00000,8984.00000,1753.00000,2573.00000,49122.00000,11278.00000,2942.00000,40253.00000,76162.00000,125285.00000,35733.00000,40410.00000,10250.00000,71262.00000,106995.00000,54712.00000,156371.00000,-28583.00000,18290.00000,125285.00000
2017-12-31,12842.00000,9909.00000,1583.00000,1860.00000,49735.00000,11116.00000,2783.00000,40530.00000,75620.00000,125356.00000,37363.00000,39837.00000,9965.00000,70268.00000,107631.00000,54566.00000,153126.00000,-26592.00000,17725.00000,125356.00000
2017-09-30,11515.00000,9076.00000,1711.00000,4389.00000,44742.00000,11057.00000,4806.00000,40763.00000,76895.00000,121636.00000,31697.00000,41327.00000,7723.00000,70183.00000,101879.00000,54395.00000,155565.00000,-27521.00000,19757.00000,121636.00000
2017-06-30,12295.00000,9395.00000,1604.00000,4155.00000,45013.00000,10903.00000,4759.00000,40696.00000,75481.00000,120495.00000,35966.00000,37612.00000,7437.00000,65986.00000,101951.00000,54235.00000,154234.00000,-28189.00000,18544.00000,120495.00000
2017-03-31,10695.00000,9507.00000,1609.00000,4715.00000,42889.00000,10865.00000,4549.00000,40743.00000,74607.00000,117495.00000,36481.00000,34441.00000,7601.00000,62566.00000,99047.00000,54104.00000,153292.00000,-28710.00000,18448.00000,117495.00000
2016-12-31,8527.00000,10239.00000,1553.00000,4564.00000,43888.00000,10830.00000,4585.00000,40887.00000,73581.00000,117470.00000,36275.00000,34655.00000,7477.00000,62802.00000,99078.00000,53935.00000,152759.00000,-29398.00000,18392.00000,117470.00000
2016-09-30,9968.00000,9164.00000,1729.00000,4539.00000,41433.00000,11104.00000,5075.00000,41282.00000,74173.00000,115606.00000,34447.00000,35563.00000,8138.00000,64000.00000,98447.00000,53759.00000,149585.00000,-28164.00000,17159.00000,115606.00000
2016-06-30,10617.00000,9912.00000,1685.00000,4676.00000,43524.00000,11092.00000,5259.00000,41570.00000,74532.00000,118056.00000,33585.00000,39638.00000,8385.00000,68583.00000,102167.00000,53565.00000,148071.00000,-28604.00000,15889.00000,118056.00000
2016-03-31,14869.00000,10084.00000,1690.00000,4334.00000,47623.00000,10910.00000,5223.00000,38695.00000,71235.00000,118856.00000,34664.00000,40254.00000,8264.00000,69119.00000,103784.00000,53439.00000,146888.00000,-28998.00000,15072.00000,118856.00000
2015-12-31,8194.00000,9534.00000,1551.00000,4205.00000,42504.00000,10727.00000,5187.00000,35508.00000,67991.00000,110495.00000,34269.00000,33428.00000,8099.00000,61802.00000,96071.00000,53262.00000,146124.00000,-29607.00000,14424.00000,110495.00000
2015-09-30,9568.00000,8918.00000,1613.00000,4158.00000,42112.00000,10661.00000,5586.00000,33050.00000,66537.00000,108649.00000,33732.00000,32122.00000,8739.00000,61466.00000,95198.00000,53220.00000,142898.00000,-28155.00000,13450.00000,108649.00000
2015-06-30,8760.00000,11022.00000,1912.00000,4470.00000,45186.00000,10702.00000,5377.00000,33473.00000,67542.00000,112729.00000,35535.00000,33339.00000,8827.00000,63356.00000,98892.00000,53059.00000,141218.00000,-27432.00000,13837.00000,112729.00000
2015-03-31,8804.00000,11546.00000,1970.00000,5890.00000,46316.00000,10509.00000,5466.00000,32862.00000,65721.00000,112037.00000,35640.00000,34295.00000,8791.00000,64108.00000,99747.00000,52928.00000,139030.00000,-27842.00000,12289.00000,112037.00000
2014-12-31,8476.00000,11996.00000,2103.00000,4967.00000,47377.00000,10771.00000,5520.00000,33660.00000,69895.00000,117271.00000,39581.00000,34991.00000,8733.00000,65676.00000,105257.00000,52666.00000,137793.00000,-27875.00000,12014.00000,117271.00000
2014-09-30,9565.00000,10591.00000,2356.00000,5022.00000,47163.00000,11068.00000,5126.00000,34418.00000,71745.00000,118911.00000,42306.00000,32821.00000,10613.00000,62210.00000,104515.00000,52446.00000,133403.00000,-20978.00000,14395.00000,118911.00000
2014-06-30,9720.00000,11457.00000,2338.00000,4263.00000,48182.00000,13748.00000,5369.00000,35153.00000,76132.00000,124314.00000,42433.00000,34008.00000,10224.00000,64368.00000,106801.00000,52163.00000,134483.00000,-20369.00000,17513.00000,124314.00000
2014-03-31,9704.00000,11332.00000,2456.00000,4430.00000,47959.00000,13683.00000,5030.00000,34912.00000,74687.00000,122646.00000,41058.00000,34668.00000,10106.00000,64847.00000,105906.00000,51943.00000,131431.00000,-21156.00000,16740.00000,122646.00000
2013-12-31,11066.00000,12049.00000,2310.00000,4488.00000,51350.00000,13821.00000,4639.00000,35055.00000,74872.00000,126223.00000,40154.00000,32856.00000,9934.00000,63140.00000,103294.00000,51594.00000,130042.00000,-21602.00000,22929.00000,126223.00000
2013-09-30,10232.00000,11548.00000,2492.00000,4723.00000,47533.00000,13877.00000,4718.00000,34885.00000,70313.00000,117845.00000,39222.00000,28478.00000,8057.00000,58616.00000,97837.00000,51203.00000,124885.00000,-24971.00000,20008.00000,117845.00000
2013-06-30,10357.00000,12175.00000,2389.00000,4746.00000,47911.00000,13356.00000,4721.00000,32264.00000,67241.00000,115153.00000,41037.00000,26292.00000,7812.00000,56232.00000,97269.00000,50886.00000,121883.00000,-25774.00000,17883.00000,115153.00000
2013-03-31,11992.00000,12055.00000,2421.00000,4747.00000,48949.00000,13597.00000,5011.00000,32626.00000,68310.00000,117258.00000,42122.00000,24672.00000,7771.00000,55921.00000,98044.00000,50522.00000,119713.00000,-25466.00000,19214.00000,117258.00000
2012-12-31,11129.00000,12540.00000,2287.00000,4024.00000,49433.00000,13996.00000,5021.00000,33034.00000,69781.00000,119213.00000,43625.00000,24088.00000,7607.00000,56604.00000,100229.00000,50110.00000,117641.00000,-25759.00000,18984.00000,119213.00000
2012-09-30,12254.00000,11838.00000,2586.00000,5016.00000,48141.00000,14027.00000,5006.00000,31835.00000,67638.00000,115778.00000,39499.00000,24333.00000,9335.00000,54613.00000,94112.00000,49603.00000,112773.00000,-20720.00000,21666.00000,115778.00000
2012-06-30,11187.00000,11875.00000,2758.00000,5113.00000,47392.00000,13865.00000,4730.00000,31392.00000,66439.00000,113832.00000,38903.00000,24766.00000,9166.00000,54365.00000,93269.00000,49157.00000,109928.00000,-21498.00000,20563.00000,113832.00000
2012-03-31,12335.00000,11681.00000,2754.00000,5299.00000,48847.00000,13946.00000,4822.00000,31109.00000,66500.00000,115347.00000,38209.00000,25760.00000,9112.00000,56355.00000,94563.00000,48800.00000,107036.00000,-21115.00000,20783.00000,115347.00000
2011-12-31,11922.00000,12660.00000,2595.00000,5249.00000,50928.00000,13883.00000,4895.00000,29605.00000,65505.00000,116433.00000,42123.00000,22857.00000,8996.00000,54074.00000,96197.00000,48129.00000,104857.00000,-21885.00000,20236.00000,116433.00000
2011-09-30,11303.00000,10842.00000,2663.00000,5172.00000,45373.00000,13887.00000,5422.00000,27946.00000,64786.00000,110158.00000,36028.00000,24089.00000,8654.00000,51752.00000,87781.00000,47558.00000,100266.00000,-18099.00000,22378.00000,110158.00000
2011-06-30,11764.00000,11666.00000,2573.00000,4662.00000,46937.00000,14239.00000,5329.00000,28814.00000,66536.00000,113474.00000,39843.00000,21915.00000,8851.00000,50421.00000,90263.00000,46975.00000,97334.00000,-17109.00000,23210.00000,113474.00000
2011-03-31,13245.00000,11293.00000,2549.00000,4376.00000,47524.00000,14208.00000,5380.00000,28732.00000,65438.00000,112960.00000,40387.00000,21749.00000,8330.00000,49798.00000,90185.00000,46278.00000,94590.00000,-18119.00000,22776.00000,112960.00000
2010-12-31,11651.00000,11968.00000,2450.00000,4226.00000,48116.00000,14096.00000,5778.00000,28624.00000,65334.00000,113452.00000,40562.00000,21846.00000,8226.00000,49716.00000,90279.00000,45418.00000,92532.00000,-18743.00000,23172.00000,113452.00000
2010-09-30,11086.00000,10904.00000,2629.00000,4661.00000,44469.00000,14009.00000,6166.00000,25750.00000,62705.00000,107174.00000,35443.00000,21899.00000,8842.00000,49373.00000,84815.00000,44328.00000,88095.00000,-17479.00000,22359.00000,107174.00000
2010-06-30,12241.00000,10191.00000,2595.00000,5124.00000,44895.00000,13534.00000,6038.00000,23070.00000,58524.00000,103420.00000,34993.00000,21017.00000,8295.00000,47251.00000,82244.00000,43522.00000,85323.00000,-18510.00000,21176.00000,103420.00000
2010-03-31,13977.00000,10428.00000,2524.00000,4121.00000,45697.00000,13841.00000,5794.00000,23507.00000,59510.00000,105208.00000,34575.00000,21305.00000,8506.00000,48483.00000,83059.00000,42665.00000,82783.00000,-18178.00000,22149.00000,105208.00000
2009-12-31,13974.00000,11879.00000,2494.00000,3946.00000,48935.00000,14165.00000,5379.00000,22703.00000,60087.00000,109022.00000,36002.00000,21932.00000,8819.00000,50266.00000,86267.00000,41810.00000,80900.00000,-18830.00000,22755.00000,109022.00000
2009-09-30,11512.00000,10678.00000,2546.00000,3934.00000,43446.00000,14189.00000,5051.00000,21708.00000,60229.00000,103675.00000,32960.00000,20583.00000,9863.00000,52221.00000,85182.00000,40482.00000,76812.00000,-20487.00000,18493.00000,103675.00000
2009-06-30,12526.00000,10740.00000,2691.00000,3709.00000,44435.00000,13948.00000,4813.00000,21317.00000,59219.00000,103655.00000,36430.00000,20868.00000,9141.00000,51751.00000,88182.00000,39774.00000,74328.00000,-21043.00000,15473.00000,103655.00000
2009-03-31,12295.00000,10511.00000,2759.00000,4068.00000,43995.00000,13727.00000,4928.00000,20791.00000,57950.00000,101944.00000,37425.00000,21106.00000,8214.00000,50826.00000,88252.00000,39430.00000,71968.00000,-21649.00000,13693.00000,101944.00000
