,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,4327.60000,2133.60000,952.70000,1079.90000,8493.80000,3330.70000,2406.10000,9134.80000,17018.00000,25511.80000,3447.10000,7423.80000,1475.40000,10775.50000,14222.60000,0.10000,14466.70000,-181.00000,11289.20000,25511.80000
2020-03-31,3860.40000,2092.60000,858.80000,1195.40000,8007.20000,3281.60000,2100.10000,9198.90000,18112.00000,26119.20000,4638.60000,4459.90000,1357.30000,8943.70000,13582.30000,0.10000,15673.10000,-149.30000,12536.90000,26119.20000
2019-12-31,4475.90000,1880.50000,804.20000,1221.20000,8381.80000,3247.30000,2660.90000,9285.19900,18852.50000,27234.30000,4863.80000,4459.00000,1348.90000,9031.40000,13895.20000,0.10000,16455.40000,-135.20000,13339.10000,27234.30000
2019-09-30,4437.40000,1933.50000,751.80000,1325.50000,8448.20000,3138.10000,3052.70000,9138.50000,19035.80000,27484.00000,4432.20000,4458.20000,1370.90000,9060.00000,13492.20000,0.10000,17065.20000,-92.30000,13991.80000,27484.00000
2019-06-30,2952.20000,1959.60000,776.70000,2221.30000,7909.80000,3077.50000,2615.30000,9430.50000,18377.80000,26287.60000,3210.90000,5948.50000,1355.80000,10127.90000,13338.80000,0.10000,16182.80000,-252.90000,12948.80000,26287.60000
2019-03-31,3909.00000,2088.90000,770.20000,2174.50000,8942.60000,3013.80000,3271.00000,8695.90000,17502.90000,26445.50000,3148.70000,5943.20000,1353.80000,9474.80100,12623.50000,0.10000,17026.70000,-219.80000,13822.00000,26445.50000
2018-12-31,3538.00000,1958.50000,929.90000,1214.50000,7640.90000,3601.20000,3066.50000,8826.40000,17648.00000,25288.90000,3295.20000,5936.50000,1389.40000,8962.10100,12257.30000,0.10000,16257.00000,-240.40000,13031.60000,25288.90000
2018-09-30,4428.40000,2017.30000,916.60000,1356.70000,8719.00000,3538.90000,2254.30000,8819.10000,16773.20000,25492.20000,3174.90000,5931.10000,1511.80000,8557.50000,11732.40000,0.10000,16944.10000,-248.30000,13759.80000,25492.20000
2018-06-30,3224.20000,1951.00000,931.70000,1325.20000,7432.10000,3409.00000,2062.30000,8831.60000,16520.80000,23952.90000,3152.40000,5928.40000,1457.60000,8546.80000,11699.20000,0.10000,15499.50000,-261.60000,12253.70000,23952.90000
2018-03-31,5916.00000,1939.20000,906.60000,1449.40000,10195.40000,3334.70000,1580.30000,8702.30000,15894.70000,26090.10000,3152.10000,5929.40000,1640.00000,8900.50000,12052.60000,0.10000,17334.60000,-303.90000,14037.50000,26090.10000
2017-12-31,3689.00000,1787.00000,902.70000,1494.60000,7873.30000,3182.40000,3488.90000,8512.10000,15779.30000,23652.60000,3368.20000,5935.00000,1628.70000,7686.30000,11054.50000,0.10000,15810.40000,-318.40000,12598.10000,23652.60000
2017-09-30,3508.30000,1567.50000,1007.20000,1485.00000,7568.00000,2995.90000,4362.40000,8146.90000,15505.20000,23073.20000,3448.40000,5938.30000,716.90000,6775.90000,10224.30000,0.10000,16107.70000,-329.40000,12848.90000,23073.20000
2017-06-30,2893.00000,1630.20000,936.50000,1649.00000,7108.70000,2827.60000,3901.00000,7921.70000,14650.30000,21759.00000,3379.70000,5954.00000,750.90000,6805.70000,10185.40000,0.10000,14881.70000,-338.80000,11573.60000,21759.00000
2017-03-31,2880.20000,1501.50000,921.60000,1556.40000,6859.70000,2610.90000,4009.70000,7715.60000,14336.20000,21195.90000,2992.50000,5952.70000,688.80000,6736.00000,9728.50000,0.10000,14781.20000,-325.20000,11467.40000,21195.90000
2016-12-31,4895.10000,1441.60000,1001.60000,1393.90000,8732.20000,2501.80000,4165.20000,7477.60000,14144.60000,22876.80000,3419.90000,6512.70000,722.50000,7328.30000,10748.20000,0.10000,15071.60000,-319.90000,12128.60000,22876.80000
2016-09-30,4316.00000,1467.80000,1009.70000,1298.30000,8091.80000,2387.00000,4336.50000,7289.60000,14013.10000,22104.90000,2499.70000,6529.60000,862.10000,7490.40000,9990.10000,0.10000,15030.00000,-300.90000,12114.80000,22104.90000
2016-06-30,3796.80000,1293.00000,996.40000,1361.50000,7447.70000,2301.80000,4630.60000,7134.70000,14067.10000,21514.80000,2516.20000,6538.30000,951.00000,7594.90000,10111.10000,0.10000,14229.10000,-282.80000,11403.70000,21514.80000
2016-03-31,3585.40000,1395.10000,964.60000,1256.20000,7201.30000,2258.90000,4284.40000,6930.10000,13473.40000,20674.70000,2776.60000,6535.60000,916.60000,7570.00000,10346.60000,0.10000,13179.30000,-259.30000,10328.10000,20674.70000
2015-12-31,3428.50000,1227.00000,893.40000,1151.40000,6700.30000,2187.60000,3868.00000,6748.90000,12804.50000,19504.80000,2577.70000,6521.50000,905.80000,7552.20000,10129.90000,0.10000,12208.40000,-224.00000,9374.90000,19504.80000
2015-09-30,5842.50200,1327.78000,918.92100,1181.67000,9270.87300,2027.82100,2839.57500,6590.09900,11457.50000,20728.37000,2633.96800,6529.27500,861.42100,7527.45700,10161.42000,0.12400,11999.36000,-157.41600,10566.94000,20728.37000
2015-06-30,2368.67300,1310.82100,865.73800,1073.75300,5618.98500,1837.67000,2853.38400,6449.13200,11140.19000,16759.17000,2555.83200,576.20700,915.73100,1630.34100,4186.17300,0.12900,11033.74000,-101.02500,12573.00000,16759.17000
2015-03-31,2151.99700,1389.99500,825.34900,891.55500,5258.89600,1739.62800,2017.95500,6202.97500,9960.55900,15219.45000,1946.23100,580.67200,892.52900,1603.76500,3549.99600,0.12900,10106.46000,-70.53800,11669.46000,15219.45000
2014-12-31,1845.40000,1292.40000,804.00000,593.20000,4535.00000,1765.70000,2225.30000,5788.70000,9779.70000,14314.70000,2218.10000,580.30000,650.10000,1282.60000,3500.70000,0.10000,9283.90000,-59.50000,10814.00000,14314.70000
2014-09-30,1861.34600,1091.23200,753.06300,666.47000,4372.11100,1724.12900,1936.94400,5670.95800,9332.03100,13704.14000,1940.64700,583.97700,658.27600,1332.61000,3273.25700,0.12900,8400.45500,-37.98700,10430.88000,13704.14000
2014-06-30,1573.06600,1002.32800,715.93500,633.68400,3925.01300,1756.16400,1622.62800,5614.19300,8992.98400,12918.00000,1916.62400,586.09100,710.96500,1436.14800,3352.77200,0.12800,7543.59700,-26.67800,9565.22600,12918.00000
2014-03-31,1260.21100,1018.48700,672.75000,573.57600,3525.02400,1744.26600,1363.54100,5597.30000,8705.10700,12230.13000,1594.24700,591.01200,702.90800,1494.82100,3089.06800,0.12800,6829.09100,-22.35500,9141.06300,12230.13000
2013-12-31,1222.72900,824.40600,659.00300,478.79600,3184.93400,1750.71000,1220.12200,5707.56900,8678.40000,11863.33000,1758.27900,592.43300,659.23100,1484.21800,3242.49700,0.12800,6349.13500,-27.74500,8620.83800,11863.33000
2013-09-30,668.69300,891.39600,614.48300,469.10000,2643.67200,1806.07400,1009.58600,5790.91700,8606.57700,11250.25000,1518.71100,694.89400,608.47300,1605.85000,3124.56100,0.12800,-29.31500,5891.82900,8125.68800,11250.25000
2013-06-30,667.67000,861.45700,570.39000,423.70400,2523.22100,1787.77600,640.99100,5889.60200,8318.36900,10841.59000,1304.07400,726.38800,595.64200,1635.37100,2939.44500,0.12800,5404.21300,-55.13600,7902.14500,10841.59000
2013-03-31,663.30200,753.61100,506.55700,3405.36800,5328.83800,1736.81100,306.83900,2792.22900,4835.87900,10164.72000,1281.66200,711.83100,674.95100,1543.44900,2825.11100,0.12800,4913.54300,-67.97500,7339.60600,10164.72000
2012-12-31,1705.71000,686.84800,447.37300,404.40600,3244.33700,1742.20000,2310.71200,2832.84300,6885.75500,10130.12000,1657.38900,687.39600,604.26600,1508.93400,3166.32300,0.12700,4486.79400,-55.30500,6963.79500,10130.12000
2012-09-30,1605.79400,661.51900,392.93600,395.13900,3055.38800,1676.58300,2012.67800,2885.97200,6575.23300,9630.62100,1521.09300,658.44200,539.56900,1447.58800,2968.68100,0.12700,4194.55100,-51.11500,6661.94000,9630.62100
2012-06-30,1406.05000,683.84100,362.94000,416.08800,2868.91900,1622.81200,1739.77300,2930.87600,6293.46100,9162.38000,1432.86500,641.56800,534.35800,1458.83000,2891.69500,0.12700,3796.15400,-50.55700,6270.68500,9162.38000
2012-03-31,1276.61200,684.24200,337.61900,379.47700,2677.95000,1617.45900,1840.88000,2977.26000,6435.59900,9113.54900,1337.31900,626.01200,517.40600,1467.68200,2805.00100,0.12900,3409.30800,-17.71000,6308.54800,9113.54900
2011-12-31,1690.65700,584.60300,326.84300,373.32400,2975.42700,1571.38700,1748.28500,2754.50500,6074.17700,9049.60400,912.88900,1060.80800,400.27600,1709.72800,2622.61700,0.12800,3106.76100,-26.53500,6426.98700,9049.60400
2011-09-30,1519.52100,581.05200,310.93400,425.78100,2837.28800,1572.25900,1587.22900,2805.42800,5964.91600,8802.20400,885.34600,1060.63900,384.45000,1683.26400,2568.61000,0.12800,2806.52300,7.57100,6233.59400,8802.20400
2011-06-30,1326.74400,666.96000,308.25400,386.66500,2688.62300,1712.86900,1395.30600,2825.18100,5933.35500,8621.97900,954.33000,1062.98600,351.68500,1611.45500,2565.78500,0.12700,2454.84800,25.71300,6056.19400,8621.97900
2011-03-31,1228.54500,687.60900,295.26000,416.90100,2628.31500,1673.50200,1113.54900,2878.15800,5665.20900,8293.52400,978.84600,1065.61300,356.26100,1640.37800,2619.22400,0.12500,2166.81300,-0.99200,5674.30000,8293.52400
2010-12-31,1207.74400,605.32900,289.06600,438.28100,2540.42000,1641.63400,991.29900,2919.14000,5552.07300,8092.49300,1050.12200,1066.37900,325.59900,1592.92800,2643.05000,0.12400,1872.48100,-21.61000,5449.44300,8092.49300
2010-09-30,824.59200,616.69700,269.31300,420.52900,2131.13100,1641.79100,767.26200,2853.96300,5263.01600,7394.14700,824.48000,1068.77600,256.07500,1499.46600,2323.94600,0.12400,1646.85200,-9.16100,5070.20100,7394.14700
2010-06-30,969.67200,548.89300,267.87800,468.78800,2255.23100,1571.52100,767.84800,2907.55000,5246.91900,7502.15000,755.65800,1069.72500,257.98500,1535.20200,2290.86000,0.12900,1405.34000,-28.42200,5211.29000,7502.15000
2010-03-31,1152.67400,560.77700,280.03800,415.52300,2409.01200,1604.57300,1242.98400,2960.75400,5808.31100,8217.32300,682.33000,1076.20100,259.30000,1584.39900,2266.72900,0.13900,1131.52300,22.87200,5950.59400,8217.32300
2009-12-31,1263.72400,551.20800,293.95000,371.71300,2480.59500,1637.08300,1424.47700,3009.69900,6071.25900,8551.85400,714.94200,1080.20700,254.20500,1575.03000,2289.97200,0.14400,1068.89000,50.49600,6261.88200,8551.85400
2009-09-30,1407.67600,550.99500,278.68600,334.90200,2572.25900,1634.69600,1753.74600,3065.73600,6454.17800,9026.43700,721.36800,1085.84400,331.76100,1707.25900,2428.62700,0.14900,781.32100,37.11400,6597.81000,9026.43700
2009-06-30,1623.07400,511.28600,268.52900,341.38900,2744.27800,1608.66000,1307.11800,3117.14000,6032.91800,8777.19600,803.92600,1085.60700,330.99600,1727.56500,2531.49100,0.14900,516.63200,11.29300,6245.70500,8777.19600
2009-03-31,1401.32300,481.21400,268.07600,330.04000,2480.65300,1562.17400,1321.94900,3210.43000,6094.55300,8575.20600,807.76700,1082.90900,318.49200,1747.18500,2554.95200,0.14900,388.01900,-32.34600,6020.25400,8575.20600
