,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2012-06-30,63.85800,645.26400,473.13700,195.35700,1004.32200,2560.40800,23047.85000,330.58100,27259.73000,29820.14000,3831.22200,8706.40300,3477.38500,17415.42000,21246.64000,1218.21400,2140.63900,-102.00600,8573.50500,29820.14000
2012-03-31,108.79700,718.14500,474.35900,192.74600,886.43400,2542.83400,22672.69000,338.59500,26910.42000,29453.25000,3708.04200,8598.36300,3496.64200,17207.54000,20915.58000,1217.33900,2089.27500,-67.51500,8537.67100,29453.25000
2011-12-31,155.97100,753.12000,618.23200,121.48000,1155.31500,2982.56400,22353.37000,308.81300,26514.70000,29497.27000,3588.63900,8848.51300,3468.89100,17426.43000,21015.07000,1216.23400,2032.55600,-94.03500,8482.19800,29497.27000
2011-09-30,294.16200,752.12300,608.00700,191.85200,1015.32900,2861.47300,21729.49000,322.85700,25676.38000,28537.85000,2653.18300,9450.15700,3171.03200,17348.39000,20001.57000,1212.36900,2019.44000,-80.96900,8536.28300,28537.85000
2011-06-30,101.60300,679.56000,484.77200,186.88400,1026.14400,2478.96300,21513.54000,332.88400,25524.26000,28003.22000,2638.75900,9263.55600,3177.66900,17024.92000,19663.68000,1211.35600,1812.50500,-50.98300,8339.54500,28003.22000
2011-03-31,94.33800,765.42100,442.20500,184.79100,1027.37400,2514.12900,20908.33000,345.94200,24952.52000,27466.65000,2484.75600,9264.12300,2948.38900,16695.43000,19180.19000,1210.41100,1781.38600,-51.84700,8286.46300,27466.65000
2010-12-31,108.43700,718.47400,560.80000,193.62100,1151.31100,2732.64300,20663.08000,364.07000,24655.04000,27387.69000,2536.53300,9263.14400,2953.78300,16662.66000,19199.19000,1205.83400,1701.70300,-53.09300,8188.49900,27387.69000
2010-09-30,213.45500,703.96000,591.72500,296.09700,627.82700,2529.51300,19444.84000,424.22100,23771.96000,26301.47000,2199.48400,8864.75900,2985.39400,16391.32000,18590.81000,1150.26100,1688.48900,-50.73700,7710.65700,26301.47000
2010-06-30,65.98800,662.46100,464.38300,305.27500,675.84900,2263.94700,19074.19000,411.80800,23299.27000,25563.21000,2345.66700,8409.81500,2935.83400,15720.74000,18066.41000,1149.06900,1493.99700,-52.08500,7496.80200,25563.21000
2010-03-31,79.50400,748.05800,452.42100,289.27600,643.15410,2344.29400,18744.54000,422.65500,22990.21000,25334.50000,2759.83800,7862.88800,2934.30000,15113.81000,17873.65000,1148.03800,1472.30800,-48.62700,7460.85100,25334.50000
2009-12-31,115.64800,730.15200,566.20500,192.79100,1148.76000,2976.63500,18508.30000,451.82600,22329.33000,25305.96000,3089.99900,7888.62800,2844.39900,14827.74000,17917.74000,1143.77300,1419.20100,-49.70900,7388.22500,25305.96000
2009-09-30,90.20600,635.56300,554.92900,311.02800,671.03100,2390.79700,18514.79000,463.25400,22690.41000,25081.21000,2386.49800,7945.40000,3272.83800,15398.55000,17785.05000,1140.62900,1363.91800,-54.45600,7296.16000,25081.21000
2009-06-30,380.25300,721.41000,435.52200,253.18800,676.92500,2558.69100,18201.10000,447.05800,22428.56000,24987.25000,2551.29700,8055.63800,3222.26400,15257.25000,17808.55000,1139.29200,1256.40500,-49.35400,7178.70300,24987.25000
2009-03-31,301.31500,786.59900,450.80800,238.36800,611.50900,2452.31000,17947.48000,479.81300,22175.95000,24628.26000,2681.58800,7666.30400,3199.73500,14792.61000,17474.20000,1138.14100,1252.47100,-52.19600,7154.06200,24628.26000
