,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2012-06-30,493.00000,77.00000,570.00000,11347.00000,765.00000,12166.00000,12736.00000,95.00000,5226.00000,278.00000,5664.00000,5759.00000,7.00000,-1042.00000,-7.00000,6977.00000,12736.00000
2012-03-31,1345.00000,54.00000,1399.00000,11341.00000,790.00000,12188.00000,13587.00000,152.00000,6137.00000,267.00000,6575.00000,6727.00000,7.00000,-1123.00000,18.00000,6860.00000,13587.00000
2011-12-31,862.00000,37.00000,899.00000,11383.00000,753.00000,12191.00000,13090.00000,175.00000,5753.00000,291.00000,6202.00000,6377.00000,7.00000,-1079.00000,-1.00000,6713.00000,13090.00000
2011-09-30,560.00000,34.00000,594.00000,11444.00000,723.00000,12211.00000,12805.00000,173.00000,5488.00000,225.00000,5828.00000,6001.00000,7.00000,-1032.00000,31.00000,6804.00000,12805.00000
2011-06-30,669.00000,67.00000,736.00000,11635.00000,687.00000,12367.00000,13103.00000,178.00000,5888.00000,209.00000,6271.00000,6449.00000,7.00000,-999.00000,40.00000,6654.00000,13103.00000
2011-03-31,195.00000,54.00000,249.00000,11485.00000,718.00000,12244.00000,12493.00000,166.00000,5538.00000,213.00000,5944.00000,6110.00000,7.00000,-1039.00000,29.00000,6383.00000,12493.00000
2010-12-31,1154.00000,45.00000,1199.00000,10514.00000,654.00000,11212.00000,12411.00000,161.00000,5477.00000,250.00000,5918.00000,6079.00000,7.00000,-965.00000,25.00000,6332.00000,12411.00000
2010-09-30,922.00000,59.00000,981.00000,10452.00000,623.00000,11114.00000,12095.00000,187.00000,5424.00000,201.00000,5779.00000,5966.00000,7.00000,-946.00000,9.00000,6129.00000,12095.00000
2010-06-30,1214.00000,54.00000,1268.00000,10054.00000,592.00000,10689.00000,11957.00000,153.00000,5395.00000,190.00000,5754.00000,5907.00000,7.00000,-887.00000,2.00000,6050.00000,11957.00000
2010-03-31,1279.00000,41.00000,1320.00000,10144.00000,550.00000,10740.00000,12060.00000,164.00000,5383.00000,194.00000,5737.00000,5901.00000,7.00000,-894.00000,9.00000,6159.00000,12060.00000
2009-12-31,1695.00000,29.00000,1724.00000,10231.00000,551.00000,10831.00000,12555.00000,174.00000,5837.00000,194.00000,6170.00000,6344.00000,6.00000,-801.00000,12.00000,6211.00000,12555.00000
2009-09-30,1068.00000,52.00000,1120.00000,10336.00000,565.00000,10947.00000,12067.00000,130.00000,5539.00000,201.00000,5864.00000,5994.00000,6.00000,-575.00000,6.00000,6073.00000,12067.00000
2009-06-30,1392.00000,81.00000,1473.00000,10431.00000,517.00000,10999.00000,12472.00000,86.00000,6093.00000,171.00000,6379.00000,6465.00000,6.00000,-518.00000,2.00000,6007.00000,12472.00000
2009-03-31,691.00000,62.00000,753.00000,10581.00000,491.00000,11119.00000,11872.00000,107.00000,5893.00000,163.00000,6203.00000,6310.00000,5.00000,-448.00000,2.00000,5562.00000,11872.00000
