,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2012-06-30,4311.00000,52043.00000,667.00000,9940.00000,10607.00000,62650.00000,50880.00000,4742.00000,4742.00000,55622.00000,1141.00000,5744.00000,-301.00000,7028.00000,62650.00000
2012-03-31,4140.00000,51862.00000,670.00000,10061.00000,10731.00000,62593.00000,50689.00000,4919.00000,4919.00000,55608.00000,1141.00000,5630.00000,-326.00000,6985.00000,62593.00000
2011-12-31,3705.00000,50229.00000,675.00000,10104.00000,10779.00000,61008.00000,49196.00000,4944.00000,4944.00000,54140.00000,1141.00000,5546.00000,-356.00000,6868.00000,61008.00000
2011-09-30,5335.00000,50471.00000,685.00000,9732.00000,10417.00000,60888.00000,48928.00000,5009.00000,5009.00000,53937.00000,1141.00000,5471.00000,-230.00000,6951.00000,60888.00000
2011-06-30,3590.00000,45963.00000,641.00000,7537.00000,8178.00000,54141.00000,42897.00000,5206.00000,5206.00000,48103.00000,1019.00000,5395.00000,-308.00000,6038.00000,54141.00000
2011-03-31,4599.00000,46974.00000,637.00000,7406.00000,8043.00000,55017.00000,43024.00000,6116.00000,6116.00000,49140.00000,1019.00000,5317.00000,-382.00000,5877.00000,55017.00000
2010-12-31,2224.00000,45477.00000,630.00000,7560.00000,8190.00000,53667.00000,41736.00000,6138.00000,6138.00000,47874.00000,1019.00000,5247.00000,-389.00000,5793.00000,53667.00000
2010-09-30,4109.00000,47549.00000,639.00000,6816.00000,7455.00000,55004.00000,41908.00000,7239.00000,7239.00000,49147.00000,1019.00000,5171.00000,-238.00000,5857.00000,55004.00000
2010-06-30,4359.00000,48063.00000,634.00000,7188.00000,7822.00000,55885.00000,41052.00000,9041.00000,9041.00000,50093.00000,1019.00000,5124.00000,-240.00000,5792.00000,55885.00000
2010-03-31,4794.00000,49123.00000,637.00000,7346.00000,7983.00000,57106.00000,41523.00000,9915.00000,9915.00000,51438.00000,1019.00000,5064.00000,-303.00000,5668.00000,57106.00000
2009-12-31,5755.00000,51189.00000,644.00000,7416.00000,8060.00000,59249.00000,41160.00000,11060.00000,11060.00000,52220.00000,894.00000,5161.00000,-336.00000,7029.00000,59249.00000
2009-09-30,3160.00000,50051.00000,657.00000,8882.00000,9539.00000,59590.00000,41303.00000,11252.00000,11252.00000,52555.00000,894.00000,5205.00000,-361.00000,7035.00000,59590.00000
2009-06-30,5269.00000,55206.00000,667.00000,7757.00000,8424.00000,63630.00000,42966.00000,13571.00000,13571.00000,56537.00000,894.00000,5257.00000,-342.00000,7093.00000,63630.00000
2009-03-31,3758.00000,55850.00000,676.00000,10844.00000,11520.00000,67370.00000,45575.00000,14612.00000,14612.00000,60187.00000,894.00000,5252.00000,-238.00000,7183.00000,67370.00000
