,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2019-06-30,720.92200,520.09400,81.12400,135.23400,1457.37400,599.61100,44.96900,78.85200,48.89200,888.64290,2346.01700,789.04600,124.14900,183.28900,972.33500,0.00800,501.27500,-1.87600,1373.68200,2346.01700
2019-03-31,774.50990,479.28100,68.48900,116.83300,1439.11300,575.26700,,80.32900,26.18600,795.31700,2234.43000,804.88400,114.53500,173.84200,978.72600,0.00800,402.02100,-2.28100,1255.70400,2234.43000
2018-12-31,735.35900,439.00900,55.64100,72.47000,1302.47900,521.32900,55.02500,81.94900,26.98700,749.97900,2052.45800,692.07300,107.49400,107.49400,799.56700,0.00800,378.14300,-2.77400,1252.89100,2052.45800
2018-09-30,605.15700,420.27600,48.85800,149.89100,1224.18200,491.63000,56.08700,83.60700,25.46400,704.22300,1928.40500,618.20900,117.21300,117.21300,735.42200,0.00800,328.43200,-0.72800,1192.98300,1928.40500
2018-06-30,712.62190,374.37100,47.25200,126.75400,1260.99900,447.93300,57.18900,85.30700,19.30200,655.59000,1916.58900,566.64600,130.98400,130.98400,697.63000,0.00800,373.44100,0.91100,1218.95900,1916.58900
2018-03-31,662.74300,361.45900,35.86600,108.70800,1168.77600,400.52800,63.04100,87.62900,17.23300,613.95500,1782.73100,517.98500,137.28600,137.28600,655.27100,0.00800,267.33600,1.48400,1127.46000,1782.73100
2017-12-31,721.54200,324.18900,31.68800,80.94800,1158.36700,348.79300,94.55400,89.06800,43.89300,625.64200,1784.00900,500.05100,129.67000,129.67000,629.72100,0.00800,267.27400,0.57100,1154.28800,1784.00900
2017-09-30,679.06700,321.32800,36.94100,63.66700,1101.00300,295.90100,111.71700,90.07000,25.40000,596.62010,1697.62300,461.36900,54.29600,54.29600,515.66500,0.00800,301.11700,0.78800,1181.95800,1697.62300
2017-06-30,601.96800,291.69400,35.13300,74.42700,1003.22200,255.53900,116.34300,91.30800,22.99200,547.96500,1551.18700,424.79600,48.10300,48.10300,472.89900,0.00800,232.87600,-0.15600,1078.28800,1551.18700
2017-03-31,545.58600,267.12800,35.17400,70.27900,918.16700,231.69200,142.51400,92.44700,14.40500,541.12600,1459.29300,365.55400,48.86400,48.86400,414.41800,0.00800,196.15700,-1.38200,1044.87500,1459.29300
2016-12-31,640.25600,247.41500,27.13100,38.17600,952.97800,175.16700,104.84400,81.99800,13.32000,443.17300,1396.15100,354.33500,46.42700,46.42700,400.76200,0.00800,131.44800,-0.93800,995.38900,1396.15100
2016-09-30,612.96600,244.99200,26.34100,27.46900,911.76800,172.65800,109.08800,82.98700,13.47400,447.12500,1358.89300,343.05100,43.53200,43.53200,386.58300,0.00800,117.96500,-0.08500,972.31000,1358.89300
2016-06-30,571.81300,192.66000,22.99200,37.94200,825.40700,161.68500,113.15800,83.74900,7.22300,425.86600,1251.27300,298.98900,42.42600,42.42600,341.41500,0.00800,87.60700,0.42800,909.85800,1251.27300
2016-03-31,548.07800,178.00000,22.61800,34.30700,783.00300,148.02900,132.69000,78.60600,7.70500,424.55700,1207.56000,274.75000,40.78000,40.78000,315.53000,0.00800,67.93700,0.02200,892.03000,1207.56000
2015-12-31,527.29500,158.55000,19.46500,26.70000,732.01000,136.47300,151.37000,79.16200,8.20200,426.62300,1158.63300,271.67200,39.03500,39.03500,310.70700,0.00800,27.39100,-0.98000,847.92600,1158.63300
2015-09-30,484.75500,148.39500,18.93900,29.55400,711.73300,120.73800,145.24600,79.71500,7.58800,367.82900,1079.56200,244.51100,36.79200,36.79200,281.30300,0.00800,-11.89000,0.02500,798.25900,1079.56200
2015-06-30,438.54200,146.46600,16.41500,26.51100,657.90600,108.02900,158.16100,80.59000,7.88100,370.67500,1028.58100,222.92500,35.85500,35.85500,258.78000,0.00800,-5.82600,-0.18700,769.80100,1028.58100
2015-03-31,444.80100,138.15900,14.57200,29.86900,657.31200,99.76400,168.17100,81.27400,7.25400,371.09300,1028.40500,200.57500,34.29600,34.29600,234.87100,0.00800,4.17900,-0.10600,793.53400,1028.40500
2014-12-31,454.65800,129.75100,15.92800,19.77000,657.16000,90.12500,147.89200,82.05600,7.66500,330.83700,987.99700,201.81100,33.41500,33.41500,235.22600,0.00800,-30.50700,-0.14000,752.77100,987.99700
2014-09-30,425.49600,130.04700,15.98300,44.14600,615.67200,86.44700,136.01700,82.92600,7.51300,332.61700,948.28900,198.56000,27.27300,27.27300,225.83300,0.00800,-53.13500,0.06000,722.45600,948.28900
2014-06-30,365.53000,131.02800,13.11500,44.83900,554.51200,81.31200,137.14800,83.79500,8.21000,330.92100,885.43300,187.11300,22.52400,22.52400,209.63700,0.00800,-67.60600,0.50800,675.79600,885.43300
2014-03-31,366.44300,126.18300,15.84000,43.71100,552.17700,79.09300,138.92900,84.38800,8.31500,333.46400,885.64100,170.85500,18.03300,18.03300,188.88800,0.00800,-63.46500,0.44200,696.75300,885.64100
2013-12-31,369.99300,113.25000,13.96800,18.82900,544.67600,75.74300,101.97800,85.36200,8.62200,287.47100,832.14700,175.33800,22.83900,22.83900,198.17700,0.00800,-95.91000,0.29400,633.97000,832.14700
2013-09-30,323.57900,109.17900,14.66200,34.83900,482.25900,76.55200,76.83600,86.10700,8.63000,276.94700,759.20600,163.26800,20.25400,20.25400,183.52200,0.00800,-138.33200,0.33200,575.68400,759.20600
2013-06-30,278.94600,112.36700,15.70400,35.07600,442.09300,76.93200,62.88500,86.68800,4.67400,261.80100,703.89400,160.65400,23.04200,23.04200,183.69600,0.00800,-172.86800,-0.04400,520.19800,703.89400
2013-03-31,367.22800,108.67200,15.44200,35.98900,527.33100,72.67200,10.68000,83.97200,3.17300,198.91400,726.24500,143.85500,21.27200,21.27200,165.12700,0.00800,-133.37500,0.15100,561.11800,726.24500
2012-12-31,334.87100,98.99200,15.12200,36.80800,485.79300,79.19100,21.25200,145.01300,3.45400,270.51900,756.31200,155.77100,19.22400,19.22400,174.99500,0.00800,-89.62600,0.20300,581.31700,756.31200
2012-09-30,329.61300,105.90200,15.13700,33.59400,484.24600,75.24800,20.80200,157.97900,2.70000,283.91800,768.16400,151.68800,14.31100,14.31100,165.99900,0.00800,-74.42900,-0.01900,602.16500,768.16400
2012-06-30,284.72900,102.14900,14.62300,33.63400,435.13500,72.20700,20.47500,183.72800,2.76500,309.02800,744.16300,143.83600,14.03200,14.03200,157.86800,0.00800,-68.68000,-0.34000,586.29500,744.16300
2012-03-31,244.40200,94.44100,13.43400,33.21900,385.49600,62.91200,16.80400,184.70300,2.90900,284.94000,670.43600,135.82800,11.58600,11.58600,147.41400,0.00800,-97.17000,0.19300,523.02200,670.43600
2011-12-31,252.09600,91.53700,9.40200,31.78100,384.81600,53.96500,,185.40500,2.74100,264.44800,649.26400,148.11700,10.36600,10.36600,158.48300,0.00800,-116.51300,0.04600,490.78100,649.26400
2011-09-30,210.41400,86.64800,8.27800,21.79400,327.13400,46.38800,0.67700,186.02200,2.75400,258.78600,585.92000,120.18700,8.85700,8.85700,129.04400,0.00800,-131.97900,0.34600,456.87600,585.92000
2011-06-30,175.36200,82.13000,6.27200,22.80900,286.57300,37.12200,4.11200,187.88100,2.81500,260.47600,547.04900,109.45100,7.81600,7.81600,117.26700,0.00800,-151.24300,0.74300,429.78200,547.04900
2011-03-31,324.92700,73.90400,2.86700,16.24300,417.94100,30.72200,5.61500,1.96600,2.71400,79.04100,496.98200,87.99400,6.88300,6.88300,94.87700,0.00800,-162.40500,0.62400,402.10500,496.98200
2010-12-31,303.27900,65.43000,2.54400,17.35800,388.61100,30.68400,9.08900,2.66600,3.45400,88.33200,476.94300,92.97400,6.22200,6.22200,99.19600,0.00800,-178.24600,0.13400,377.74700,476.94300
2010-09-30,272.32000,63.81100,2.38200,19.42900,357.94200,28.10200,7.82900,3.36600,4.21800,87.29300,445.23500,80.03600,5.79700,5.79700,85.83300,0.00800,-188.15100,0.31700,359.40200,445.23500
2010-06-30,244.79900,62.93000,2.48700,20.88100,331.09700,27.24900,,4.06600,2.10900,77.59500,408.69200,73.80700,0.93200,0.93200,74.73900,0.00800,-204.96600,-0.24900,333.95300,408.69200
2010-03-31,205.39800,58.80100,2.35600,18.05500,284.61000,25.41800,,4.76600,2.19800,88.94200,373.55200,76.25000,0.94600,0.94600,77.19600,0.00800,-237.56900,0.10900,296.35600,373.55200
2009-12-31,186.46500,54.53700,2.04600,18.25100,261.29900,24.97100,,5.46600,1.96900,93.94100,355.24000,81.24300,0.96100,0.96100,82.20400,0.00700,-252.49900,0.45500,273.03600,355.24000
2009-09-30,154.94000,55.03500,1.89200,25.67100,237.53800,24.42900,,6.16600,1.60300,93.24600,330.78400,72.90200,0.20200,0.20200,73.10400,0.00700,-263.99100,0.53100,257.68000,330.78400
2009-06-30,143.07700,53.23600,2.11100,15.32400,213.74800,24.51800,,6.86600,1.52900,94.04600,307.79400,69.81100,0.20500,0.20500,70.01600,0.00700,-214.04900,0.31600,237.77800,307.79400
2009-03-31,124.68400,51.66500,2.06800,14.58800,193.00500,26.00000,,7.56600,1.57300,96.27200,289.27700,61.37400,0.20400,0.20400,61.57800,0.00700,-218.59400,-0.06800,227.69900,289.27700
