,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2019-06-30,3221.00000,121037.00000,740.00000,25898.00000,7040.00000,8034.00000,41712.00000,162749.00000,125445.00000,11538.00000,2982.00000,15287.00000,140732.00000,6.00000,5959.00000,-488.00000,,22017.00000,162749.00000
2019-03-31,2603.00000,120225.00000,746.00000,25651.00000,7040.00000,7680.00000,41117.00000,161342.00000,124595.00000,11725.00000,2815.00000,15216.00000,139811.00000,6.00000,5672.00000,-793.00000,,21531.00000,161342.00000
2018-12-31,4222.00000,120960.00000,791.00000,25075.00000,6923.00000,6769.00000,39558.00000,160518.00000,120892.00000,15925.00000,2311.00000,18809.00000,139701.00000,6.00000,5385.00000,-1096.00000,,20817.00000,160518.00000
2018-09-30,4133.00000,118941.00000,753.00000,25485.00000,6946.00000,6473.00000,39657.00000,158598.00000,119455.00000,15639.00000,2798.00000,18867.00000,138322.00000,6.00000,5062.00000,-1318.00000,,20276.00000,158598.00000
2018-06-30,3979.00000,116843.00000,720.00000,25513.00000,6887.00000,5468.00000,38588.00000,155431.00000,118898.00000,13641.00000,1969.00000,16066.00000,134964.00000,6.00000,4755.00000,-1210.00000,,20467.00000,155431.00000
2018-03-31,4001.00000,114980.00000,687.00000,25433.00000,6887.00000,5466.00000,38473.00000,153453.00000,117539.00000,13486.00000,1894.00000,15855.00000,133394.00000,6.00000,4437.00000,-1145.00000,,20059.00000,153453.00000
2017-12-31,3224.00000,113323.00000,685.00000,25733.00000,6887.00000,5708.00000,39013.00000,152336.00000,117760.00000,11765.00000,1970.00000,14306.00000,132066.00000,6.00000,4164.00000,-820.00000,,20270.00000,152336.00000
2017-09-30,2407.00000,112558.00000,618.00000,25742.00000,6887.00000,5551.00000,38798.00000,151356.00000,115193.00000,13400.00000,1910.00000,16054.00000,131247.00000,6.00000,3442.00000,-581.00000,,20109.00000,151356.00000
2017-06-30,4600.00000,113664.00000,600.00000,25115.00000,6887.00000,5141.00000,37743.00000,151407.00000,116046.00000,13154.00000,1403.00000,15297.00000,131343.00000,6.00000,3191.00000,-593.00000,,20064.00000,151407.00000
2017-03-31,4344.00000,111900.00000,582.00000,25996.00000,6876.00000,4931.00000,38385.00000,150285.00000,115967.00000,11780.00000,1947.00000,14471.00000,130438.00000,6.00000,2944.00000,-683.00000,,19847.00000,150285.00000
2016-12-31,4143.00000,111201.00000,601.00000,25610.00000,6876.00000,5232.00000,38319.00000,149520.00000,114163.00000,12790.00000,2106.00000,15610.00000,129773.00000,6.00000,2703.00000,-668.00000,,19747.00000,149520.00000
2016-09-30,3635.00000,108388.00000,540.00000,25704.00000,6876.00000,5507.00000,38627.00000,147015.00000,111739.00000,11902.00000,2199.00000,15095.00000,126834.00000,6.00000,2483.00000,-187.00000,,20181.00000,147015.00000
2016-06-30,4382.00000,107669.00000,551.00000,24398.00000,6876.00000,5689.00000,37514.00000,145183.00000,109744.00000,11810.00000,2442.00000,15213.00000,124957.00000,6.00000,2255.00000,-159.00000,,20226.00000,145183.00000
2016-03-31,2389.00000,103068.00000,570.00000,24057.00000,6876.00000,5506.00000,37009.00000,140077.00000,106620.00000,10035.00000,2605.00000,13492.00000,120112.00000,6.00000,2076.00000,-236.00000,,19965.00000,140077.00000
2015-12-31,3441.00000,101632.00000,595.00000,24075.00000,6876.00000,5030.00000,36576.00000,138208.00000,105971.00000,9886.00000,1975.00000,12591.00000,118562.00000,6.00000,1913.00000,-387.00000,,19646.00000,138208.00000
2015-09-30,2119.00000,98769.00000,560.00000,24354.00000,6876.00000,4888.00000,36678.00000,135447.00000,109020.00000,4153.00000,2037.00000,6827.00000,115847.00000,6.00000,1745.00000,-259.00000,,19600.00000,135447.00000
2015-06-30,3055.00000,100028.00000,580.00000,25095.00000,6876.00000,4672.00000,37223.00000,137251.00000,111161.00000,3890.00000,2056.00000,6504.00000,117665.00000,6.00000,1585.00000,-359.00000,,19586.00000,137251.00000
2015-03-31,5619.00000,99287.00000,584.00000,25086.00000,6876.00000,4702.00000,37248.00000,136535.00000,110415.00000,3904.00000,2066.00000,6556.00000,116971.00000,6.00000,1448.00000,-240.00000,,19564.00000,136535.00000
2014-12-31,3646.00000,96142.00000,595.00000,24704.00000,6876.00000,4540.00000,36715.00000,132857.00000,106236.00000,4642.00000,2218.00000,7353.00000,113589.00000,6.00000,1294.00000,-372.00000,,19268.00000,132857.00000
2014-09-30,3181.00000,95004.00000,541.00000,24848.00000,6876.00000,4072.00000,36337.00000,131341.00000,105362.00000,2062.00000,4180.00000,6596.00000,111958.00000,6.00000,1152.00000,-435.00000,,19383.00000,131341.00000
2014-06-30,5665.00000,93546.00000,560.00000,24823.00000,6876.00000,4474.00000,36733.00000,130279.00000,106165.00000,1732.00000,2382.00000,4517.00000,110682.00000,6.00000,1346.00000,-358.00000,,19597.00000,130279.00000
2014-03-31,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2013-12-31,,,,,,,,0.00000,,,,,,,,,,,
2013-09-30,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2013-06-30,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2012-12-31,4289.00000,90286.00000,2388.00000,20063.00000,11311.00000,4750.00000,38512.00000,127053.00000,99250.00000,694.00000,2980.00000,3674.00000,102924.00000,6.00000,5846.00000,,-312.00000,24129.00000,127053.00000
2011-12-31,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
