,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,370.40000,11207.90000,11578.30000,1215.10000,40513.90000,666.50000,1176.20000,44688.10000,56266.40000,36295.30000,5394.00000,5619.60000,41914.90000,585.30000,11266.20000,404.20000,14351.50000,56266.40000
2019-12-31,227.40000,10886.20000,11113.60000,1213.70000,39435.60000,681.00000,1410.10000,43796.90000,54910.50000,36486.60000,4407.10000,4750.70000,41237.30000,584.60000,10679.60000,341.70000,13673.20000,54910.50000
2019-09-30,46.20000,10985.60000,11031.80000,1214.20000,38756.20000,695.60000,1216.60000,42976.30000,54008.10000,35119.40000,4406.50000,4765.40000,39884.80000,584.60000,10995.20000,510.50000,14123.30000,54008.10000
2019-06-30,92.90000,10218.60000,10311.50000,1174.90000,37002.10000,711.40000,1076.90000,41012.70000,51324.20000,33232.80000,4406.00000,4760.60000,37993.40000,584.10000,10276.40000,453.10000,13330.80000,51324.20000
2019-03-31,158.70000,10032.60000,10191.30000,1127.30000,34684.60000,729.40000,1118.60000,38659.00000,48850.30000,32074.50000,4405.40000,4665.10000,36739.60000,584.00000,9358.10000,178.10000,12110.70000,48850.30000
2018-12-31,75.00000,9193.20000,9268.20000,1131.70000,33758.20000,747.30000,674.80000,37306.80000,46575.00000,31133.80000,4404.90000,4619.40000,35753.20000,583.20000,8386.60000,-120.90000,10821.80000,46575.00000
2018-09-30,122.70000,9267.10000,9389.80000,1139.30000,32510.10000,765.30000,776.50000,36153.90000,45543.70000,29554.10000,3859.90000,4130.80000,33684.90000,583.10000,9602.10000,-263.70000,11858.80000,45543.70000
2018-06-30,157.70000,8640.90000,8798.60100,1116.40000,31067.50000,783.30000,702.00000,34564.90000,43363.50000,28239.00000,3859.50000,4123.70000,32362.70000,582.50000,8720.40000,-221.90000,11000.80000,43363.50000
2018-03-31,196.60000,8282.90000,8479.50000,1112.00000,29390.80000,801.30000,705.00000,32851.40000,41330.90000,26581.10000,3859.20000,4426.60000,31007.70000,582.40000,8017.90000,-172.60000,10323.20000,41330.90000
2017-12-31,275.30000,7695.90000,7971.20000,1119.60000,27394.40000,819.30000,616.20000,30730.00000,38701.20000,25471.40000,3306.30000,3945.00000,29416.40000,581.70000,6031.70000,1282.20000,9284.80000,38701.20000
2017-09-30,256.30000,8221.00000,8477.30000,1129.40000,27107.70000,837.30000,598.30000,30455.30000,38932.60000,25631.30000,3312.20000,4011.90000,29643.20000,581.60000,6116.50000,1226.20000,9289.40000,38932.60000
2017-06-30,161.80000,7118.40000,7280.20000,1152.10000,26090.50000,854.50000,585.30000,29409.60000,36689.80000,23621.30000,3383.40000,4077.00000,27698.30000,581.00000,5908.80000,1150.70000,8991.50000,36689.80000
2017-03-31,215.00000,6789.70000,7004.70000,1166.00000,24413.10000,866.70000,680.50000,27805.80000,34810.50000,22513.30000,3111.70000,3774.30000,26287.60000,580.90000,5543.40000,1067.50000,8522.90000,34810.50000
2016-12-31,226.40000,6394.00000,6620.40000,1177.10000,23586.50000,882.20000,510.10000,26807.10000,33427.50000,21727.20000,3148.20000,3743.20000,25470.40000,579.90000,5140.40000,933.40000,7957.10000,33427.50000
2016-09-30,165.70000,6645.30000,6811.00000,1115.00000,23618.50000,897.70000,503.20000,26809.80000,33620.80000,21742.80000,3153.90000,3783.30000,25526.10000,580.80000,5183.10000,1046.10000,8094.70000,33620.80000
2016-06-30,134.70000,6191.90000,6326.60100,1083.70000,22473.70000,913.20000,515.80000,25631.60000,31958.20000,20851.10000,2664.10000,3271.60000,24122.70000,581.90000,5031.20000,957.80000,7835.50000,31958.20000
2016-03-31,209.90000,5947.10000,6157.00000,1061.90000,21424.10000,927.00000,551.60000,24564.60000,30721.60000,19878.80000,2701.60000,3282.90000,23161.70000,583.00000,4877.60000,868.00000,7559.90000,30721.60000
2015-12-31,224.40000,5476.50000,5700.90000,1037.20000,21039.50000,942.50000,535.10000,24118.40000,29819.30000,19247.80000,2707.90000,3282.10000,22529.90000,583.60000,4686.60000,800.40000,7289.40000,29819.30000
2015-09-30,194.50000,5554.80000,5749.30000,1024.10000,21117.20000,956.90000,496.70000,24185.70000,29935.00000,19230.10000,2714.30000,3242.90000,22473.00000,584.60000,4910.90000,769.20000,7462.00000,29935.00000
2015-06-30,263.80000,5269.60000,5533.40000,1018.90000,20677.80000,998.90000,507.00000,23770.80000,29304.20000,18596.00000,2739.00000,3348.40000,21944.40000,585.90000,4694.90000,902.00000,7359.80000,29304.20000
2015-03-31,101.50000,5034.20000,5135.70000,957.50000,19915.30000,12.90000,375.30000,21745.00000,26880.70000,17021.50000,2560.10000,2657.30000,19678.80000,587.30000,4368.60000,1049.30000,7201.90000,26880.70000
2014-12-31,108.40000,4769.40000,4877.80000,960.60000,19105.30000,12.90000,373.80000,20909.80000,25787.60000,16595.40000,2164.70000,2263.60000,18859.00000,587.80000,4133.40000,1023.10000,6928.60000,25787.60000
2014-09-30,90.60000,4871.50000,4962.10000,954.00000,19165.10000,12.90000,343.60000,20963.90000,25926.00000,16769.00000,2164.30000,2221.70000,18990.70000,589.20000,4203.50000,972.70000,6935.30000,25926.00000
2014-06-30,126.10000,4701.30000,4827.40000,952.50000,18842.10000,12.90000,338.80000,20625.30000,25452.70000,16356.70000,2208.00000,2306.80000,18663.50000,591.50000,3989.50000,1038.90000,6789.20000,25452.70000
2014-03-31,96.70000,4627.40000,4724.10000,950.00000,17478.00000,,696.40000,19591.30000,24315.40000,15964.40000,1861.30000,1912.40000,17876.80000,593.10000,3735.20000,951.30000,6438.60000,24315.40000
2013-12-31,75.10000,4400.90000,4476.00000,960.90000,18144.50000,,379.20000,19932.20000,24408.20000,16329.40000,1860.90000,1889.30000,18218.70000,595.80000,3500.00000,951.70000,6189.50000,24408.20000
2013-09-30,100.90000,4532.70000,4633.60000,955.30000,18087.40000,,330.50000,19875.30000,24508.90000,15705.70000,2010.60000,2010.60000,17716.30000,600.00000,4198.70000,870.90000,6792.60000,24508.90000
2013-06-30,96.90000,4364.10000,4461.00000,950.60000,17576.80000,,317.40000,19380.80000,23841.80000,15254.00000,2063.90000,2063.90000,17317.90000,600.40000,4000.00000,814.20000,6523.90000,23841.80000
2013-03-31,110.20000,4319.80000,4430.00000,935.90000,17387.00000,,289.30000,19113.50000,23543.50000,15090.20000,2063.50000,2063.50000,17153.70000,603.20000,3720.00000,969.70000,6389.80000,23543.50000
2012-12-31,179.10000,4084.70000,4263.80000,933.70000,16565.50000,,497.20000,18430.90000,22694.70000,14624.60000,2063.10000,2063.10000,16687.70000,604.60000,3454.40000,871.00000,6007.00000,22694.70000
2012-09-30,192.20000,4236.50000,4428.70000,918.20000,17265.10000,,413.40000,19058.50000,23487.20000,14869.90000,2062.70000,2062.70000,16932.60000,604.70000,3996.20000,905.10000,6554.60000,23487.20000
2012-06-30,165.50000,4066.80000,4232.30000,914.30000,16705.90000,,414.10000,18486.70000,22719.00000,14369.60000,2062.80000,2062.80000,16432.40000,609.20000,3794.30000,842.70000,6286.60000,22719.00000
2012-03-31,156.00000,3986.00000,4142.00000,916.40000,16498.50000,,351.30000,18207.90000,22349.90000,14019.50000,2080.00000,2080.00000,16099.50000,611.20000,3715.00000,894.80000,6250.40000,22349.90000
2011-12-31,155.70000,3747.80000,3903.50000,911.30000,16068.70000,,527.70000,17941.30000,21844.80000,13596.00000,2442.10000,2442.10000,16038.10000,613.00000,3495.00000,692.50000,5806.70000,21844.80000
2011-09-30,170.30000,3884.10000,4054.40000,910.90000,16086.10000,,634.80000,18089.90000,22144.30000,13884.10000,2443.90000,2443.90000,16328.00000,620.60000,3632.40000,576.60000,5816.30000,22144.30000
2011-06-30,149.70000,3758.30000,3908.00000,917.10000,16133.90000,,397.00000,17899.60000,21807.60000,13499.00000,1959.10000,1959.10000,15458.10000,642.70000,3835.60000,863.50000,6349.50000,21807.60000
2011-03-31,155.50000,3695.80000,3851.30000,927.40000,15888.80000,,420.90000,17674.80000,21526.10000,13246.80000,1958.70000,1958.70000,15205.50000,655.70000,3839.20000,812.70000,6320.60000,21526.10000
2010-12-31,158.90000,3479.90000,3638.80000,932.60000,15632.70000,,529.00000,17511.50000,21150.30000,13143.20000,1958.20000,1958.20000,15101.40000,662.40000,3595.70000,783.70000,6048.90000,21150.30000
2010-09-30,155.00000,3543.80000,3698.80000,932.00000,16483.30000,,460.00000,18325.80000,22024.60000,13353.60000,1957.80000,1957.80000,15311.40000,663.40000,4273.60000,799.20000,6713.20000,22024.60000
2010-06-30,153.80000,3442.00000,3595.80000,947.70000,15938.90000,,571.10000,17900.80000,21496.60000,13013.90000,2178.10000,2178.10000,15192.00000,667.60000,4097.90000,574.60000,6304.60000,21496.60000
2010-03-31,155.10000,3389.10000,3544.20000,956.30000,15677.90000,,441.60000,17504.70000,21048.90000,12659.70000,2177.70000,2177.70000,14837.40000,670.50000,3942.50000,648.60000,6211.50000,21048.90000
2009-12-31,160.70000,3019.60000,3180.30000,961.30000,14823.80000,,681.70000,16869.00000,20049.30000,12123.50000,2177.20000,2177.20000,14300.70000,672.60000,3683.10000,453.20000,5748.60000,20049.30000
2009-09-30,172.50000,2972.00000,3144.50000,974.10000,14772.80000,,722.40000,16902.90000,20047.40000,12374.20000,2176.80000,2176.80000,14551.00000,676.20000,3561.90000,336.10000,5496.40000,20047.40000
2009-06-30,160.70000,2833.70000,2994.40000,989.90000,13725.00000,,942.00000,16093.20000,19087.60000,11986.20000,2176.40000,2176.40000,14162.60000,680.00000,3353.30000,-22.50000,4925.00000,19087.60000
2009-03-31,134.50000,2801.30000,2935.80000,997.50000,12881.30000,,973.10000,15279.30000,18215.10000,11735.90000,2175.90000,2175.90000,13911.80000,680.70000,2925.00000,-203.70000,4303.30000,18215.10000
