,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2019-07-31,9283.00000,5382.00000,44134.00000,2572.00000,61371.00000,104674.00000,31454.00000,16174.00000,173490.00000,234861.00000,80283.00000,48319.00000,77447.00000,157730.00000,285.00000,78432.00000,-11270.00000,77131.00000,234861.00000
2019-04-30,9255.00000,5342.00000,44751.00000,2391.00000,61739.00000,104604.00000,31416.00000,16148.00000,172805.00000,234544.00000,79888.00000,51235.00000,79746.00000,159634.00000,286.00000,76276.00000,-11091.00000,74910.00000,234544.00000
2019-01-31,7722.00000,6283.00000,44269.00000,3623.00000,61897.00000,104317.00000,31181.00000,14822.00000,157398.00000,219295.00000,77477.00000,50203.00000,62184.00000,139661.00000,288.00000,80785.00000,-11542.00000,79634.00000,219295.00000
2018-10-31,9174.00000,5785.00000,50380.00000,4107.00000,69446.00000,104358.00000,31044.00000,14744.00000,157137.00000,226583.00000,85751.00000,49896.00000,61363.00000,147114.00000,291.00000,80287.00000,-11469.00000,79469.00000,226583.00000
2018-07-31,15840.00000,5002.00000,41985.00000,3543.00000,66370.00000,104019.00000,17840.00000,10835.00000,139692.00000,206062.00000,71683.00000,51568.00000,60567.00000,132250.00000,294.00000,80810.00000,-12629.00000,73812.00000,206062.00000
2018-04-30,7885.00000,4568.00000,43303.00000,3486.00000,59242.00000,107622.00000,18850.00000,12035.00000,145685.00000,204927.00000,80757.00000,36305.00000,45846.00000,126603.00000,294.00000,82982.00000,-10281.00000,78324.00000,204927.00000
2018-01-31,6756.00000,5614.00000,43783.00000,3511.00000,59664.00000,107675.00000,18242.00000,11798.00000,144858.00000,204522.00000,78521.00000,36825.00000,45179.00000,123700.00000,295.00000,85107.00000,-10181.00000,80822.00000,204522.00000
2017-10-31,7026.00000,5865.00000,50147.00000,2330.00000,65368.00000,108155.00000,18204.00000,10543.00000,144046.00000,209414.00000,80435.00000,40906.00000,50073.00000,130508.00000,297.00000,84480.00000,-11133.00000,78906.00000,209414.00000
2017-07-31,6469.00000,5395.00000,43442.00000,1457.00000,56763.00000,108170.00000,18037.00000,11413.00000,144803.00000,201566.00000,72811.00000,40469.00000,49709.00000,122520.00000,299.00000,84838.00000,-11100.00000,79046.00000,201566.00000
2017-04-30,6545.00000,5252.00000,43361.00000,2178.00000,57336.00000,107450.00000,17575.00000,10638.00000,142382.00000,199718.00000,74193.00000,40025.00000,49411.00000,123604.00000,302.00000,84120.00000,-12954.00000,76114.00000,199718.00000
2017-01-31,6867.00000,5835.00000,43046.00000,1941.00000,57689.00000,107710.00000,17037.00000,9921.00000,141136.00000,198825.00000,66928.00000,42018.00000,51362.00000,118290.00000,305.00000,89354.00000,-14232.00000,80535.00000,198825.00000
2016-10-31,5939.00000,5344.00000,49822.00000,2296.00000,63401.00000,108676.00000,17792.00000,10576.00000,143456.00000,206857.00000,74130.00000,42108.00000,52252.00000,126382.00000,308.00000,87636.00000,-12335.00000,80475.00000,206857.00000
2016-07-31,7676.00000,5275.00000,43453.00000,1828.00000,58232.00000,108867.00000,16339.00000,7905.00000,139654.00000,197886.00000,68122.00000,42743.00000,50620.00000,118742.00000,310.00000,85972.00000,-11672.00000,79144.00000,197886.00000
2016-04-30,7597.00000,5187.00000,44513.00000,1800.00000,59097.00000,109787.00000,16751.00000,6363.00000,139608.00000,198705.00000,70282.00000,43393.00000,50665.00000,120947.00000,313.00000,84145.00000,-10995.00000,77758.00000,198705.00000
2016-01-31,8705.00000,5624.00000,44469.00000,1441.00000,60239.00000,110171.00000,16695.00000,6131.00000,139342.00000,199581.00000,64619.00000,44030.00000,51351.00000,115970.00000,317.00000,90021.00000,-11597.00000,83611.00000,199581.00000
2015-10-31,6990.00000,5012.00000,50706.00000,2404.00000,65112.00000,110835.00000,17051.00000,6025.00000,140032.00000,205144.00000,70492.00000,44198.00000,52022.00000,122514.00000,321.00000,87903.00000,-10659.00000,82630.00000,205144.00000
2015-07-31,5751.00000,5275.00000,45007.00000,2099.00000,58132.00000,112824.00000,17799.00000,6178.00000,140488.00000,198620.00000,65262.00000,42843.00000,51234.00000,116496.00000,321.00000,84959.00000,-8388.00000,82124.00000,198620.00000
2015-04-30,7759.00000,5813.00000,46310.00000,2251.00000,62133.00000,112151.00000,17531.00000,5398.00000,138614.00000,200747.00000,69624.00000,42964.00000,51133.00000,120757.00000,323.00000,82492.00000,-8595.00000,79990.00000,200747.00000
2015-01-31,9135.00000,6778.00000,45141.00000,2224.00000,63278.00000,114280.00000,18102.00000,5455.00000,140212.00000,203490.00000,65253.00000,43495.00000,52300.00000,117553.00000,323.00000,85777.00000,-7168.00000,85937.00000,203490.00000
2014-10-31,6718.00000,6091.00000,51501.00000,1531.00000,65841.00000,114975.00000,18888.00000,5447.00000,141827.00000,207668.00000,71540.00000,44286.00000,52075.00000,123615.00000,323.00000,80814.00000,-4251.00000,84053.00000,207668.00000
2014-07-31,6184.00000,6146.00000,45451.00000,1851.00000,59632.00000,116266.00000,19758.00000,5649.00000,144130.00000,203762.00000,67132.00000,45496.00000,53807.00000,120939.00000,323.00000,77172.00000,-1957.00000,82823.00000,203762.00000
2014-04-30,6012.00000,6096.00000,45315.00000,1811.00000,59687.00000,115146.00000,19515.00000,5672.00000,142830.00000,202517.00000,67921.00000,48233.00000,56397.00000,124318.00000,323.00000,73366.00000,-2712.00000,78199.00000,202517.00000
2014-01-31,7281.00000,6677.00000,44858.00000,1909.00000,61185.00000,115364.00000,19510.00000,6149.00000,143566.00000,204751.00000,69345.00000,44559.00000,54067.00000,123412.00000,323.00000,76566.00000,-2996.00000,81339.00000,204751.00000
2013-10-31,8736.00000,6206.00000,49673.00000,2160.00000,67142.00000,114654.00000,19729.00000,5778.00000,142734.00000,209876.00000,77021.00000,44543.00000,54333.00000,131354.00000,324.00000,72888.00000,-2183.00000,78522.00000,209876.00000
2013-07-31,9016.00000,5996.00000,42793.00000,2197.00000,60002.00000,113362.00000,19280.00000,5693.00000,140967.00000,200969.00000,72214.00000,43585.00000,52069.00000,124283.00000,327.00000,70791.00000,-2889.00000,76686.00000,200969.00000
2013-04-30,8855.00000,6191.00000,43138.00000,1992.00000,60176.00000,113692.00000,19734.00000,5846.00000,142011.00000,202187.00000,73552.00000,44551.00000,52794.00000,126346.00000,329.00000,68489.00000,-1968.00000,75841.00000,202187.00000
2013-01-31,7781.00000,6768.00000,43803.00000,1551.00000,59940.00000,113929.00000,20497.00000,5987.00000,143165.00000,203105.00000,71818.00000,41417.00000,49549.00000,121367.00000,332.00000,72978.00000,-587.00000,81738.00000,203105.00000
2012-10-31,8643.00000,5567.00000,47487.00000,1654.00000,63431.00000,112561.00000,20572.00000,6562.00000,142387.00000,205818.00000,76845.00000,41836.00000,50372.00000,127217.00000,336.00000,70256.00000,-562.00000,78601.00000,205818.00000
2012-07-31,7935.00000,5365.00000,40558.00000,2401.00000,56259.00000,110958.00000,20081.00000,5674.00000,139402.00000,195661.00000,68315.00000,44177.00000,52645.00000,120960.00000,338.00000,67732.00000,-1531.00000,74701.00000,195661.00000
2012-04-30,8117.00000,5574.00000,41284.00000,2301.00000,57276.00000,110729.00000,21003.00000,5349.00000,139824.00000,197100.00000,68978.00000,45996.00000,54187.00000,123165.00000,339.00000,65463.00000,-463.00000,73935.00000,197100.00000
2012-01-31,6550.00000,5937.00000,40714.00000,1774.00000,54975.00000,109603.00000,20651.00000,5456.00000,138431.00000,193406.00000,62300.00000,47079.00000,55345.00000,117645.00000,342.00000,68691.00000,-1410.00000,75761.00000,193406.00000
2011-10-31,7063.00000,4757.00000,44340.00000,3227.00000,59476.00000,107729.00000,20409.00000,4967.00000,135768.00000,195244.00000,67544.00000,47851.00000,56309.00000,123853.00000,344.00000,64769.00000,-1375.00000,71391.00000,195244.00000
2011-07-31,8102.00000,5265.00000,38867.00000,3308.00000,55630.00000,108729.00000,21532.00000,5120.00000,138242.00000,193872.00000,64840.00000,48452.00000,56184.00000,121024.00000,346.00000,62779.00000,1286.00000,72848.00000,193872.00000
2011-04-30,9400.00000,4785.00000,38495.00000,3330.00000,56118.00000,106293.00000,16895.00000,4068.00000,130107.00000,186225.00000,62211.00000,48697.00000,56022.00000,118233.00000,348.00000,60330.00000,878.00000,67992.00000,186225.00000
2011-01-31,7395.00000,5089.00000,36437.00000,2960.00000,52012.00000,105098.00000,16763.00000,4129.00000,128770.00000,180782.00000,58603.00000,43842.00000,50932.00000,109535.00000,352.00000,63967.00000,646.00000,71247.00000,180782.00000
2010-10-31,10616.00000,4374.00000,41059.00000,3382.00000,59568.00000,103812.00000,16586.00000,4194.00000,127322.00000,186890.00000,68407.00000,43899.00000,50463.00000,118870.00000,3969.00000,61451.00000,105.00000,68020.00000,186890.00000
2010-07-31,10195.00000,4531.00000,34793.00000,3395.00000,53045.00000,101111.00000,15993.00000,4092.00000,123899.00000,176944.00000,65655.00000,38702.00000,44393.00000,110048.00000,3999.00000,61746.00000,-1099.00000,66896.00000,176944.00000
2010-04-30,8516.00000,4235.00000,35021.00000,3445.00000,51346.00000,100209.00000,15859.00000,3910.00000,122697.00000,174043.00000,64490.00000,35780.00000,41257.00000,105747.00000,4059.00000,62180.00000,-216.00000,68296.00000,174043.00000
2010-01-31,7907.00000,4144.00000,32713.00000,3128.00000,48032.00000,99544.00000,16126.00000,3942.00000,122375.00000,170407.00000,55543.00000,36401.00000,42216.00000,97759.00000,378.00000,66357.00000,-70.00000,72648.00000,170407.00000
2009-10-31,6003.00000,3776.00000,38129.00000,3463.00000,51516.00000,98436.00000,16162.00000,3603.00000,120986.00000,172502.00000,59155.00000,37601.00000,44113.00000,103268.00000,4134.00000,63697.00000,-551.00000,69234.00000,172502.00000
2009-07-31,7997.00000,3684.00000,33365.00000,3499.00000,48692.00000,97363.00000,16149.00000,3581.00000,119917.00000,168609.00000,57176.00000,36825.00000,42924.00000,100100.00000,4173.00000,62840.00000,-318.00000,68509.00000,168609.00000
2009-04-30,6578.00000,3356.00000,34391.00000,3266.00000,47746.00000,93327.00000,14882.00000,3358.00000,114344.00000,162090.00000,56399.00000,35665.00000,41777.00000,98176.00000,4048.00000,61556.00000,-3373.00000,63914.00000,162090.00000
2009-01-31,7275.00000,3905.00000,34511.00000,3063.00000,48949.00000,92856.00000,15260.00000,3567.00000,114480.00000,163429.00000,55390.00000,34549.00000,40960.00000,96350.00000,393.00000,63660.00000,-2688.00000,67079.00000,163429.00000
