,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,608.00000,889.00000,265.00000,240.00000,2002.00000,31179.00000,3470.00000,787.00000,35436.00000,37438.00000,2236.00000,11807.00000,1683.00000,20318.00000,22554.00000,258.00000,12902.00000,-481.00000,14884.00000,37438.00000
2019-12-31,580.00000,920.00000,244.00000,337.00000,2081.00000,31614.00000,3428.00000,800.00000,35842.00000,37923.00000,2300.00000,11880.00000,1744.00000,20439.00000,22739.00000,259.00000,13207.00000,-491.00000,15184.00000,37923.00000
2019-09-30,452.00000,973.00000,266.00000,325.00000,2016.00000,31394.00000,3376.00000,714.00000,35484.00000,37500.00000,2761.00000,11085.00000,1727.00000,19501.00000,22262.00000,262.00000,13310.00000,-553.00000,15238.00000,37500.00000
2019-06-30,274.00000,1039.00000,256.00000,345.00000,1914.00000,31201.00000,3301.00000,756.00000,35258.00000,37172.00000,2451.00000,11076.00000,1738.00000,19410.00000,21861.00000,265.00000,13377.00000,-557.00000,15311.00000,37172.00000
2019-03-31,411.00000,1048.00000,228.00000,235.00000,1922.00000,31158.00000,3198.00000,784.00000,35140.00000,37062.00000,2885.00000,10569.00000,1759.00000,18846.00000,21731.00000,267.00000,13411.00000,-560.00000,15331.00000,37062.00000
2018-12-31,358.00000,1009.00000,207.00000,288.00000,1862.00000,31091.00000,3109.00000,177.00000,34377.00000,36239.00000,2591.00000,10560.00000,1266.00000,18286.00000,20877.00000,269.00000,13440.00000,-563.00000,15362.00000,36239.00000
2018-09-30,729.00000,1043.00000,267.00000,70.00000,2109.00000,30712.00000,3109.00000,392.00000,34213.00000,36322.00000,2441.00000,10635.00000,1302.00000,18401.00000,20842.00000,274.00000,13645.00000,-435.00000,15480.00000,36322.00000
2018-06-30,430.00000,1035.00000,260.00000,179.00000,1904.00000,30540.00000,3058.00000,286.00000,33884.00000,35788.00000,2352.00000,9146.00000,1317.00000,16877.00000,19229.00000,281.00000,14456.00000,-441.00000,16559.00000,35788.00000
2018-03-31,1072.00000,973.00000,245.00000,189.00000,2479.00000,30396.00000,3020.00000,267.00000,33683.00000,36162.00000,2388.00000,9637.00000,1352.00000,17356.00000,19744.00000,284.00000,14327.00000,-448.00000,16418.00000,36162.00000
2017-12-31,690.00000,955.00000,222.00000,282.00000,2149.00000,30330.00000,2981.00000,251.00000,33562.00000,35711.00000,2545.00000,9136.00000,1347.00000,16807.00000,19352.00000,285.00000,14176.00000,-356.00000,16359.00000,35711.00000
2017-09-30,724.00000,973.00000,245.00000,57.00000,1999.00000,30163.00000,2888.00000,103.00000,33154.00000,35153.00000,2413.00000,9280.00000,1366.00000,20013.00000,22426.00000,288.00000,10665.00000,-475.00000,12727.00000,35153.00000
2017-06-30,642.00000,926.00000,289.00000,79.00000,1936.00000,30033.00000,2848.00000,105.00000,32986.00000,34922.00000,2343.00000,9273.00000,1385.00000,19917.00000,22260.00000,290.00000,10624.00000,-480.00000,12662.00000,34922.00000
2017-03-31,955.00000,998.00000,281.00000,93.00000,2327.00000,29927.00000,2809.00000,82.00000,32818.00000,35145.00000,2443.00000,9569.00000,1407.00000,20175.00000,22618.00000,291.00000,10493.00000,-485.00000,12527.00000,35145.00000
2016-12-31,956.00000,945.00000,257.00000,133.00000,2291.00000,29751.00000,2777.00000,73.00000,32601.00000,34892.00000,2339.00000,9562.00000,1442.00000,20144.00000,22483.00000,292.00000,10425.00000,-487.00000,12409.00000,34892.00000
2016-09-30,984.00000,960.00000,301.00000,72.00000,2317.00000,29467.00000,2779.00000,69.00000,32315.00000,34632.00000,2232.00000,9555.00000,1322.00000,20004.00000,22236.00000,293.00000,10367.00000,-433.00000,12396.00000,34632.00000
2016-06-30,866.00000,985.00000,306.00000,82.00000,2239.00000,29387.00000,2639.00000,69.00000,32095.00000,34334.00000,2107.00000,9549.00000,1358.00000,19954.00000,22061.00000,295.00000,10269.00000,-437.00000,12273.00000,34334.00000
2016-03-31,589.00000,961.00000,315.00000,101.00000,1966.00000,29135.00000,2617.00000,67.00000,31819.00000,33785.00000,1831.00000,9398.00000,1344.00000,19731.00000,21562.00000,297.00000,10221.00000,-442.00000,12223.00000,33785.00000
2015-12-31,1101.00000,946.00000,271.00000,194.00000,2512.00000,28992.00000,2572.00000,63.00000,31627.00000,34139.00000,2231.00000,9393.00000,1385.00000,19720.00000,21951.00000,299.00000,10191.00000,-445.00000,12188.00000,34139.00000
2015-09-30,433.00000,1103.00000,288.00000,55.00000,2002.00000,28682.00000,2740.00000,103.00000,31525.00000,33527.00000,2367.00000,8896.00000,1295.00000,19031.00000,21398.00000,300.00000,10079.00000,-382.00000,12129.00000,33527.00000
2015-06-30,889.00000,1055.00000,277.00000,67.00000,2413.00000,28075.00000,2724.00000,98.00000,30897.00000,33310.00000,2203.00000,8890.00000,1322.00000,19030.00000,21233.00000,303.00000,10017.00000,-389.00000,12077.00000,33310.00000
2015-03-31,524.00000,1032.00000,268.00000,173.00000,2115.00000,27829.00000,2701.00000,130.00000,30660.00000,32775.00000,2103.00000,8429.00000,1302.00000,18514.00000,20617.00000,306.00000,10087.00000,-395.00000,12158.00000,32775.00000
2014-12-31,973.00000,1055.00000,236.00000,347.00000,2778.00000,27694.00000,2679.00000,49.00000,30422.00000,33200.00000,1780.00000,8883.00000,1312.00000,19012.00000,20792.00000,310.00000,10348.00000,-398.00000,12408.00000,33200.00000
2014-09-30,1432.00000,1103.00000,249.00000,50.00000,3012.00000,27230.00000,2610.00000,354.00000,30194.00000,33206.00000,2082.00000,8919.00000,1084.00000,18685.00000,20767.00000,311.00000,10156.00000,-178.00000,12439.00000,33206.00000
2014-06-30,1667.00000,1122.00000,251.00000,65.00000,3266.00000,26927.00000,2505.00000,342.00000,29774.00000,33040.00000,2368.00000,8814.00000,1122.00000,18595.00000,20963.00000,311.00000,9836.00000,-183.00000,12077.00000,33040.00000
2014-03-31,1532.00000,1109.00000,240.00000,70.00000,3130.00000,26768.00000,2466.00000,336.00000,29570.00000,32700.00000,2321.00000,8909.00000,1130.00000,18686.00000,21007.00000,311.00000,9490.00000,-193.00000,11693.00000,32700.00000
2013-12-31,1561.00000,1024.00000,223.00000,87.00000,3075.00000,26645.00000,2439.00000,324.00000,29408.00000,32483.00000,2305.00000,8903.00000,1444.00000,18889.00000,21194.00000,310.00000,9339.00000,-381.00000,11289.00000,32483.00000
2013-09-30,1004.00000,1083.00000,224.00000,34.00000,2494.00000,26413.00000,2395.00000,63.00000,28871.00000,31365.00000,2332.00000,8499.00000,2166.00000,18739.00000,21071.00000,310.00000,9045.00000,-1040.00000,10294.00000,31365.00000
2013-06-30,587.00000,1072.00000,228.00000,54.00000,2078.00000,26098.00000,2366.00000,63.00000,28527.00000,30605.00000,1815.00000,8430.00000,2198.00000,18602.00000,20417.00000,313.00000,8954.00000,-1063.00000,10188.00000,30605.00000
2013-03-31,687.00000,1158.00000,246.00000,65.00000,2323.00000,25870.00000,2341.00000,65.00000,28276.00000,30599.00000,1904.00000,8438.00000,2226.00000,18585.00000,20489.00000,316.00000,8904.00000,-1086.00000,10110.00000,30599.00000
2012-12-31,668.00000,1109.00000,216.00000,82.00000,2242.00000,25736.00000,2300.00000,64.00000,28100.00000,30342.00000,2081.00000,8432.00000,2237.00000,18501.00000,20582.00000,315.00000,8643.00000,-1109.00000,9760.00000,30342.00000
2012-09-30,708.00000,1078.00000,236.00000,33.00000,2199.00000,25260.00000,2315.00000,66.00000,27641.00000,29840.00000,1824.00000,8428.00000,2018.00000,18249.00000,20073.00000,317.00000,8512.00000,-971.00000,9767.00000,29840.00000
2012-06-30,371.00000,1086.00000,242.00000,52.00000,1884.00000,24968.00000,2278.00000,61.00000,27307.00000,29191.00000,1774.00000,7972.00000,2028.00000,17639.00000,19413.00000,321.00000,8544.00000,-991.00000,9778.00000,29191.00000
2012-03-31,831.00000,1056.00000,228.00000,71.00000,2332.00000,24703.00000,2263.00000,77.00000,27043.00000,29375.00000,1932.00000,7985.00000,2053.00000,17628.00000,19560.00000,327.00000,8581.00000,-1010.00000,9815.00000,29375.00000
2011-12-31,301.00000,1022.00000,209.00000,76.00000,1751.00000,24469.00000,2234.00000,84.00000,26787.00000,28538.00000,1701.00000,7390.00000,2050.00000,16926.00000,18627.00000,332.00000,8693.00000,-1026.00000,9911.00000,28538.00000
2011-09-30,394.00000,1029.00000,212.00000,30.00000,1825.00000,23978.00000,2240.00000,268.00000,26486.00000,28311.00000,1936.00000,6782.00000,1788.00000,16120.00000,18056.00000,337.00000,8759.00000,-753.00000,10255.00000,28311.00000
2011-06-30,906.00000,991.00000,201.00000,54.00000,2315.00000,23671.00000,2235.00000,257.00000,26163.00000,28478.00000,1753.00000,6931.00000,1795.00000,16098.00000,17851.00000,349.00000,9097.00000,-770.00000,10627.00000,28478.00000
2011-03-31,488.00000,934.00000,190.00000,72.00000,1832.00000,23451.00000,2199.00000,246.00000,25896.00000,27728.00000,1567.00000,6554.00000,1794.00000,15560.00000,17127.00000,354.00000,9094.00000,-786.00000,10601.00000,27728.00000
2010-12-31,1110.00000,807.00000,169.00000,240.00000,2471.00000,23231.00000,2193.00000,304.00000,25728.00000,28199.00000,2082.00000,6567.00000,1793.00000,15448.00000,17530.00000,358.00000,9224.00000,-805.00000,10669.00000,28199.00000
2010-09-30,1358.00000,908.00000,179.00000,35.00000,2633.00000,22893.00000,2307.00000,229.00000,25429.00000,28062.00000,1955.00000,6574.00000,1784.00000,15318.00000,17273.00000,364.00000,9339.00000,-804.00000,10789.00000,28062.00000
2010-06-30,1060.00000,892.00000,179.00000,49.00000,2328.00000,22786.00000,2293.00000,226.00000,25305.00000,27633.00000,1937.00000,6326.00000,1791.00000,14935.00000,16872.00000,370.00000,9317.00000,-820.00000,10761.00000,27633.00000
2010-03-31,1386.00000,867.00000,180.00000,68.00000,2646.00000,22697.00000,2166.00000,221.00000,25084.00000,27730.00000,2193.00000,6379.00000,1794.00000,14973.00000,17166.00000,371.00000,9156.00000,-834.00000,10564.00000,27730.00000
2009-12-31,1086.00000,766.00000,164.00000,88.00000,2246.00000,22643.00000,2164.00000,316.00000,25123.00000,27369.00000,1789.00000,6679.00000,1801.00000,15227.00000,17016.00000,370.00000,9027.00000,-853.00000,10353.00000,27369.00000
2009-09-30,999.00000,855.00000,172.00000,55.00000,2233.00000,22490.00000,2067.00000,285.00000,24842.00000,27075.00000,1866.00000,6685.00000,1892.00000,15143.00000,17009.00000,369.00000,8848.00000,-912.00000,10066.00000,27075.00000
2009-06-30,722.00000,800.00000,188.00000,90.00000,1936.00000,22375.00000,2027.00000,295.00000,24697.00000,26633.00000,1738.00000,6688.00000,1902.00000,15036.00000,16774.00000,369.00000,8671.00000,-922.00000,9859.00000,26633.00000
2009-03-31,884.00000,831.00000,191.00000,127.00000,2194.00000,22292.00000,1806.00000,254.00000,24352.00000,26546.00000,2018.00000,6467.00000,1945.00000,14818.00000,16836.00000,369.00000,8551.00000,-933.00000,9710.00000,26546.00000
