,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-09-30,1253.00000,2319.00000,2451.00000,1251.00000,137.00000,7411.00000,5375.00000,,40041.00000,1078.00000,46494.00000,53904.00000,7216.00000,18894.00000,25693.00000,32910.00000,347.00000,12596.00000,-1909.00000,20994.00000,53904.00000
2018-06-30,1524.00000,2243.00000,2562.00000,1196.00000,,7525.00000,5321.00000,,40147.00000,984.00000,46452.00000,53977.00000,6106.00000,20350.00000,26513.00000,32620.00000,347.00000,12971.00000,-1902.00000,21357.00000,53977.00000
2018-03-31,1434.00000,2293.00000,2543.00000,1241.00000,,7512.00000,5411.00000,,40491.00000,1159.00000,47061.00000,54573.00000,4426.00000,22589.00000,28994.00000,33421.00000,347.00000,12616.00000,-1704.00000,21152.00000,54573.00000
2017-12-31,1321.00000,2000.00000,2967.00000,1255.00000,,7542.00000,5262.00000,,41375.00000,1184.00000,47821.00000,55363.00000,4895.00000,22095.00000,29220.00000,34116.00000,347.00000,12765.00000,-1740.00000,21247.00000,55363.00000
2017-09-30,14200.00000,1744.00000,1818.00000,871.00000,,18633.00000,4638.00000,,13456.00000,1007.00000,19101.00000,37734.00000,3342.00000,18667.00000,21444.00000,24786.00000,347.00000,13111.00000,-1723.00000,12948.00000,37734.00000
2017-06-30,13904.00000,1749.00000,1829.00000,731.00000,,18212.00000,4410.00000,43.00000,13501.00000,938.00000,18953.00000,37166.00000,3273.00000,18563.00000,21306.00000,24579.00000,347.00000,12989.00000,-1923.00000,12587.00000,37166.00000
2017-03-31,911.00000,1569.00000,1747.00000,664.00000,,4891.00000,3941.00000,817.00000,13446.00000,948.00000,19229.00000,24121.00000,4018.00000,9082.00000,12140.00000,16158.00000,333.00000,13321.00000,-2009.00000,7963.00000,24121.00000
2016-12-31,1283.00000,1518.00000,1692.00000,643.00000,50.00000,5187.00000,3827.00000,816.00000,13492.00000,927.00000,19130.00000,24318.00000,4570.00000,9043.00000,12164.00000,16735.00000,333.00000,13133.00000,-2162.00000,7583.00000,24318.00000
2016-09-30,1907.00000,1618.00000,1719.00000,480.00000,642.00000,6367.00000,3901.00000,796.00000,13700.00000,824.00000,19221.00000,25586.00000,4400.00000,10550.00000,13553.00000,17953.00000,333.00000,12727.00000,-1929.00000,7633.00000,25586.00000
2016-06-30,2046.00000,1618.00000,1835.00000,409.00000,625.00000,6534.00000,3813.00000,785.00000,13831.00000,712.00000,19481.00000,26016.00000,4219.00000,10561.00000,13765.00000,17983.00000,333.00000,12850.00000,-1605.00000,8033.00000,26016.00000
2016-03-31,2022.00000,1574.00000,1846.00000,551.00000,618.00000,6612.00000,3779.00000,826.00000,13979.00000,694.00000,19624.00000,26236.00000,4380.00000,10864.00000,14191.00000,18570.00000,333.00000,12600.00000,-1647.00000,7666.00000,26236.00000
2015-12-31,1629.00000,1513.00000,1985.00000,514.00000,,5641.00000,3957.00000,1132.00000,14239.00000,727.00000,20405.00000,26046.00000,4529.00000,10858.00000,14294.00000,18823.00000,333.00000,12402.00000,-1840.00000,7223.00000,26046.00000
2015-09-30,1519.00000,1618.00000,1959.00000,563.00000,,5659.00000,4060.00000,1118.00000,14561.00000,717.00000,20818.00000,26478.00000,4381.00000,11370.00000,14933.00000,19314.00000,333.00000,12314.00000,-1738.00000,7164.00000,26478.00000
2015-06-30,1718.00000,1645.00000,2020.00000,921.00000,,6303.00000,4047.00000,1082.00000,14588.00000,674.00000,20776.00000,27079.00000,4517.00000,11367.00000,15310.00000,19826.00000,333.00000,12260.00000,-1535.00000,7253.00000,27079.00000
2015-03-31,2129.00000,1572.00000,2278.00000,1016.00000,,6996.00000,3992.00000,1044.00000,15220.00000,696.00000,21298.00000,28293.00000,4497.00000,12128.00000,16637.00000,21134.00000,333.00000,12324.00000,-1623.00000,7159.00000,28293.00000
2014-12-31,8784.00000,1031.00000,1512.00000,784.00000,,12111.00000,3565.00000,,1960.00000,506.00000,6392.00000,18503.00000,2081.00000,9940.00000,11355.00000,13435.00000,333.00000,12224.00000,-1139.00000,5068.00000,18503.00000
2014-09-30,2750.00000,1187.00000,1495.00000,698.00000,,6131.00000,3605.00000,9.00000,1850.00000,488.00000,6317.00000,12447.00000,2235.00000,3768.00000,5160.00000,7394.00000,333.00000,12105.00000,-1001.00000,5053.00000,12447.00000
2014-06-30,2639.00000,1204.00000,1553.00000,649.00000,,6045.00000,3551.00000,,1911.00000,502.00000,6329.00000,12374.00000,2093.00000,3768.00000,4903.00000,6996.00000,333.00000,11909.00000,-457.00000,5378.00000,12374.00000
2014-03-31,2626.00000,1130.00000,1512.00000,678.00000,,5946.00000,3512.00000,,1945.00000,483.00000,6304.00000,12250.00000,2016.00000,3764.00000,4919.00000,6935.00000,333.00000,11689.00000,-455.00000,5315.00000,12250.00000
2013-12-31,2513.00000,1113.00000,1467.00000,650.00000,,5743.00000,3495.00000,,1914.00000,502.00000,6291.00000,12035.00000,1997.00000,3764.00000,4960.00000,6957.00000,333.00000,11507.00000,-500.00000,5078.00000,12035.00000
2013-09-30,2608.00000,1240.00000,1402.00000,623.00000,,5873.00000,3476.00000,,1943.00000,487.00000,6277.00000,12149.00000,2130.00000,3763.00000,4976.00000,7106.00000,333.00000,11342.00000,-516.00000,5043.00000,12149.00000
2013-06-30,2299.20400,1254.59500,1409.10800,471.60400,,5434.51100,3351.66200,,1933.48500,505.74500,6152.53600,11587.05000,1692.81700,3762.56700,5177.71000,6870.52700,332.66200,11347.94000,-864.15200,4716.52000,11587.05000
2013-03-31,2420.70500,1220.01400,1391.82500,467.45400,,5499.99800,3314.96400,,1964.02200,492.67200,6129.92500,11629.92000,1878.03900,3762.07700,5163.10200,7041.14100,332.66200,11142.60000,-803.06900,4588.78200,11629.92000
2012-12-31,2512.11200,1167.72200,1359.82200,437.81600,,5477.47200,3316.77800,,1970.57300,513.08700,6151.96500,11629.44000,2003.78200,3761.59200,5156.18600,7159.96800,332.66200,10963.55000,-746.49700,4469.46900,11629.44000
2012-09-30,2181.00000,1250.00000,1241.00000,515.00000,136.00000,5322.00000,3304.00000,,1889.00000,500.00000,6039.00000,11361.00000,1978.00000,3761.00000,5247.00000,7225.00000,333.00000,10435.00000,-802.00000,4136.00000,11361.00000
2012-06-30,2188.45400,1160.34400,1239.11800,565.20800,131.59100,5284.71500,3149.97500,,1784.37600,463.10300,5740.14900,11024.86000,1889.66900,3760.64200,4900.69100,6790.36000,332.66200,10233.69000,-705.65700,4234.50400,11024.86000
2012-03-31,2112.05900,1237.85000,1320.58000,630.09600,,5300.58500,3274.12200,,1836.50500,451.35000,5894.80700,11195.39000,1621.48900,3964.14300,5097.61500,6719.10400,332.66200,9998.88300,-453.39200,4476.28800,11195.39000
2011-12-31,2693.69100,1139.08100,1261.73000,599.64200,,5694.14400,3212.31200,,1779.75400,407.03200,5719.21900,11413.36000,1606.37400,3972.19400,5079.43500,6685.80900,332.66200,9799.92800,-572.55400,4727.55400,11413.36000
2011-09-30,1563.31300,1228.63700,1244.97200,631.40900,,4668.33100,3211.19700,,1789.65600,444.61000,5762.09700,10430.43000,1823.22800,2484.66500,3779.02500,5602.25300,332.66200,9633.58400,-670.00000,4828.17500,10430.43000
2011-06-30,1921.32600,1250.19500,1331.10300,570.50900,,5073.13300,3217.12300,,1541.45200,491.69200,5547.68600,10620.82000,1657.92600,2484.95300,3664.49300,5322.41900,332.66200,9422.07400,-198.41100,5298.40000,10620.82000
2011-03-31,1858.42000,1209.70000,1276.93100,511.57900,,4856.63000,3165.68300,,1551.39200,491.48400,5487.59300,10344.22000,1578.91100,2484.16800,3666.25100,5245.16200,332.66200,9168.89500,-290.62300,5099.06100,10344.22000
2010-12-31,2247.16200,1093.19000,1195.47700,415.01200,,4950.84100,3081.85500,,1293.50500,480.65500,5120.42900,10071.27000,1612.35300,2485.01900,3580.98400,5193.33700,332.66200,8947.06500,-476.97400,4877.93300,10071.27000
2010-09-30,1744.19500,1205.37700,1145.33700,410.34100,,4505.25000,3100.49200,,1302.60100,487.59000,5145.44400,9650.69400,1671.67300,1495.35700,2544.44100,4216.11400,332.66200,8724.22800,-457.90900,5434.58000,9650.69400
2010-06-30,1445.23600,1090.09300,1121.64300,385.38300,80.70600,4123.06100,2887.39300,,1293.32500,486.67100,4908.61200,9031.67300,1531.42600,1493.40000,2346.37000,3877.79600,332.66200,8412.92400,-598.37500,5153.87700,9031.67300
2010-03-31,1258.10200,1142.15500,1166.04400,373.19200,,3939.49300,2967.67700,,1327.42400,480.50800,5003.89900,8943.39200,1467.46600,1490.26200,2326.29200,3793.75800,332.66200,8192.15100,-459.60500,5149.63400,8943.39200
2009-12-31,1458.41300,1075.26300,1163.99900,359.21800,,4056.89300,2999.42600,,1337.93900,485.72600,5037.38300,9094.27600,1538.82700,1487.84400,2295.29000,3834.11700,332.66200,7978.87200,-337.82700,5260.15900,9094.27600
2009-09-30,1945.80500,1168.66200,1156.76200,375.72500,,4646.95400,2966.62900,,1028.52100,465.29600,4657.67000,9304.62400,1777.09300,1488.46000,2384.81900,4161.91200,332.66200,7752.83100,-372.66200,5142.71200,9304.62400
2009-06-30,1751.96000,1144.94400,1207.00700,356.77000,30.85600,4491.53700,2782.50100,,1015.48900,383.46900,4357.45000,8848.98700,1646.46200,1483.56000,1990.62900,3637.09100,332.66200,7514.58500,-220.29700,5211.89600,8848.98700
2009-03-31,730.18900,1062.10600,1180.74000,434.76200,,3407.79700,2663.07300,,1008.50500,337.79100,4168.03300,7575.83000,1510.68700,747.67000,1261.12000,2771.80700,332.66200,7252.77200,-360.47200,4804.02300,7575.83000
