,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-03-31,26968.00000,38436.00000,500.00000,65904.00000,1540.00000,177510.00000,1328.00000,2038.00000,182416.00000,248320.00000,224862.00000,4128.00000,4128.00000,228990.00000,15.00000,15222.00000,-260.00000,19330.00000,248320.00000
2017-12-31,29356.00000,158629.00000,50534.00000,238519.00000,1471.00000,,1227.00000,2057.00000,4755.00000,243274.00000,219996.00000,4753.00000,4753.00000,224749.00000,15.00000,14408.00000,-152.00000,18525.00000,243274.00000
2017-09-30,28186.00000,35358.00000,427.00000,63971.00000,1392.00000,162438.00000,1342.00000,1571.00000,166743.00000,230714.00000,209419.00000,3268.00000,3268.00000,212687.00000,15.00000,13963.00000,-106.00000,18027.00000,230714.00000
2017-06-30,28058.00000,34720.00000,460.00000,63238.00000,1335.00000,153244.00000,1352.00000,1432.00000,157363.00000,220601.00000,199594.00000,3518.00000,3518.00000,203112.00000,15.00000,13495.00000,-112.00000,17489.00000,220601.00000
2017-03-31,30956.00000,32998.00000,564.00000,64518.00000,1305.00000,158559.00000,1362.00000,1317.00000,162543.00000,227061.00000,206561.00000,3518.00000,3518.00000,210079.00000,15.00000,13069.00000,-132.00000,16982.00000,227061.00000
2016-12-31,33002.00000,33286.00000,449.00000,66737.00000,1299.00000,152568.00000,1371.00000,1408.00000,156646.00000,223383.00000,204086.00000,2876.00000,2876.00000,206962.00000,15.00000,12649.00000,-163.00000,16421.00000,223383.00000
2016-09-30,30508.00000,32185.00000,858.00000,63551.00000,1266.00000,141847.00000,1381.00000,1292.00000,145786.00000,209337.00000,190991.00000,2876.00000,2876.00000,193867.00000,15.00000,12261.00000,31.00000,15470.00000,209337.00000
2016-06-30,31569.00000,32500.00000,525.00000,64594.00000,1242.00000,129535.00000,1390.00000,1291.00000,133458.00000,198052.00000,180186.00000,2876.00000,2876.00000,183062.00000,15.00000,11882.00000,-17.00000,14990.00000,198052.00000
2016-03-31,30717.00000,31483.00000,485.00000,62685.00000,1159.00000,124570.00000,1399.00000,1185.00000,128313.00000,190998.00000,173608.00000,2877.00000,2877.00000,176485.00000,15.00000,11567.00000,-120.00000,14513.00000,190998.00000
2015-12-31,31576.00000,32229.00000,533.00000,64338.00000,1145.00000,115653.00000,1408.00000,1161.00000,119367.00000,183705.00000,167426.00000,2877.00000,2877.00000,170303.00000,15.00000,11253.00000,-134.00000,13402.00000,183705.00000
2015-09-30,27609.00000,31924.00000,470.00000,60003.00000,1126.00000,106888.00000,1419.00000,966.00000,110399.00000,170402.00000,154313.00000,2893.00000,2893.00000,157206.00000,15.00000,10952.00000,19.00000,13196.00000,170402.00000
2015-06-30,26901.00000,31549.00000,611.00000,59061.00000,1091.00000,101162.00000,1431.00000,882.00000,104566.00000,163627.00000,148310.00000,2894.00000,2894.00000,151204.00000,15.00000,10664.00000,174.00000,12423.00000,163627.00000
2015-03-31,28395.00000,30073.00000,657.00000,59125.00000,1058.00000,97687.00000,1443.00000,856.00000,101044.00000,160169.00000,145116.00000,2895.00000,2895.00000,148011.00000,15.00000,10412.00000,231.00000,12158.00000,160169.00000
2014-12-31,32144.00000,29537.00000,516.00000,62197.00000,1039.00000,89172.00000,1454.00000,780.00000,92445.00000,154642.00000,140940.00000,1899.00000,1899.00000,142839.00000,15.00000,10198.00000,165.00000,11803.00000,154642.00000
2014-09-30,28478.00000,28954.00000,572.00000,58004.00000,991.00000,86208.00000,1460.00000,781.00000,89440.00000,147444.00000,134071.00000,1900.00000,1900.00000,135971.00000,15.00000,9949.00000,163.00000,11473.00000,147444.00000
2014-06-30,25925.00000,28061.00000,583.00000,54569.00000,883.00000,85698.00000,1471.00000,780.00000,88832.00000,143401.00000,130330.00000,1901.00000,1901.00000,132231.00000,15.00000,9715.00000,186.00000,11170.00000,143401.00000
2014-03-31,27721.00000,27644.00000,456.00000,55821.00000,820.00000,85203.00000,1482.00000,740.00000,88245.00000,144066.00000,131349.00000,1902.00000,1902.00000,133251.00000,15.00000,9492.00000,108.00000,10815.00000,144066.00000
2013-12-31,31281.00000,26879.00000,517.00000,58677.00000,790.00000,81936.00000,1493.00000,746.00000,84965.00000,143642.00000,131358.00000,1903.00000,1903.00000,133261.00000,15.00000,9253.00000,9.00000,10381.00000,143642.00000
2013-09-30,30882.00000,25750.00000,482.00000,57114.00000,738.00000,80084.00000,1505.00000,770.00000,83097.00000,140211.00000,128254.00000,1904.00000,1904.00000,130158.00000,15.00000,9034.00000,46.00000,10053.00000,140211.00000
2013-06-30,33245.00000,24952.00000,488.00000,58685.00000,711.00000,74232.00000,1521.00000,758.00000,77222.00000,135907.00000,124557.00000,1630.00000,1630.00000,126187.00000,15.00000,8830.00000,3.00000,9720.00000,135907.00000
2013-03-31,33828.00000,24221.00000,545.00000,58594.00000,681.00000,71729.00000,1533.00000,787.00000,74730.00000,133324.00000,121917.00000,1631.00000,1631.00000,123548.00000,15.00000,8674.00000,300.00000,9776.00000,133324.00000
2012-12-31,41132.00000,24517.00000,636.00000,66285.00000,675.00000,64317.00000,1547.00000,813.00000,67352.00000,133637.00000,122416.00000,1632.00000,1632.00000,124048.00000,15.00000,8554.00000,298.00000,9589.00000,133637.00000
2012-09-30,33564.00000,22623.00000,513.00000,56700.00000,672.00000,58060.00000,1451.00000,775.00000,60958.00000,117658.00000,106417.00000,1776.00000,1776.00000,108193.00000,15.00000,8442.00000,312.00000,9465.00000,117658.00000
2012-06-30,30812.00000,22111.00000,425.00000,53348.00000,677.00000,55555.00000,1469.00000,767.00000,58468.00000,111816.00000,100707.00000,1999.00000,1999.00000,102706.00000,15.00000,8280.00000,154.00000,9110.00000,111816.00000
2012-03-31,33699.00000,21607.00000,456.00000,55762.00000,684.00000,52773.00000,1480.00000,783.00000,55720.00000,111482.00000,101145.00000,2000.00000,2000.00000,103145.00000,15.00000,8097.00000,76.00000,8337.00000,111482.00000
2011-12-31,34713.00000,21184.00000,593.00000,56490.00000,685.00000,49073.00000,1487.00000,818.00000,52063.00000,108553.00000,98838.00000,2001.00000,2001.00000,100839.00000,15.00000,7978.00000,8.00000,7714.00000,108553.00000
2011-09-30,33385.00000,21427.00000,448.00000,55260.00000,665.00000,44737.00000,1470.00000,774.00000,47646.00000,102906.00000,93249.00000,2002.00000,2002.00000,95251.00000,15.00000,7892.00000,56.00000,7655.00000,102906.00000
2011-06-30,30308.00000,21620.00000,410.00000,52338.00000,639.00000,43007.00000,631.00000,957.00000,45234.00000,97572.00000,88834.00000,2004.00000,2004.00000,90838.00000,14.00000,7745.00000,45.00000,6734.00000,97572.00000
2011-03-31,28619.00000,20970.00000,386.00000,49975.00000,627.00000,42692.00000,631.00000,958.00000,44908.00000,94883.00000,86391.00000,2005.00000,2005.00000,88396.00000,14.00000,7580.00000,34.00000,6487.00000,94883.00000
2010-12-31,27680.00000,20560.00000,337.00000,48577.00000,624.00000,41755.00000,685.00000,927.00000,43991.00000,92568.00000,84336.00000,2006.00000,2006.00000,86342.00000,14.00000,7409.00000,16.00000,6226.00000,92568.00000
2010-09-30,25767.00000,18651.00000,341.00000,44759.00000,610.00000,40407.00000,528.00000,994.00000,42539.00000,87298.00000,79255.00000,2008.00000,2008.00000,81263.00000,14.00000,7363.00000,3.00000,6035.00000,87298.00000
2010-06-30,28383.00000,18254.00000,401.00000,47038.00000,617.00000,33173.00000,528.00000,939.00000,35257.00000,82295.00000,75108.00000,1308.00000,1308.00000,76416.00000,14.00000,7310.00000,-65.00000,5879.00000,82295.00000
2010-03-31,25800.00000,17573.00000,516.00000,43889.00000,628.00000,32192.00000,528.00000,1100.00000,34448.00000,78337.00000,71357.00000,1309.00000,1309.00000,72666.00000,14.00000,7177.00000,-111.00000,5671.00000,78337.00000
2009-12-31,26614.00000,16639.00000,916.00000,44169.00000,641.00000,28959.00000,528.00000,1134.00000,31262.00000,75431.00000,68846.00000,1512.00000,1512.00000,70358.00000,14.00000,7243.00000,-191.00000,5073.00000,75431.00000
2009-09-30,25555.00000,15428.00000,665.00000,41648.00000,646.00000,24279.00000,528.00000,883.00000,26336.00000,67984.00000,61565.00000,1516.00000,1516.00000,63081.00000,14.00000,7149.00000,-246.00000,4903.00000,67984.00000
2009-06-30,24886.00000,14902.00000,381.00000,40169.00000,650.00000,19929.00000,528.00000,985.00000,22092.00000,62261.00000,56087.00000,1560.00000,1560.00000,57647.00000,14.00000,7019.00000,-362.00000,4614.00000,62261.00000
2009-03-31,22454.00000,13645.00000,426.00000,36525.00000,649.00000,16166.00000,528.00000,1030.00000,18373.00000,54898.00000,49781.00000,816.00000,816.00000,50597.00000,14.00000,6883.00000,-500.00000,4301.00000,54898.00000
