,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,17785.00000,3564.00000,753.00000,2909.00000,25011.00000,2746.00000,547.00000,42979.00000,6601.00000,52873.00000,77884.00000,16100.00000,17880.00000,3652.00000,26260.00000,42360.00000,14072.00000,-279.00000,-24.00000,35524.00000,77884.00000
2020-03-31,13415.00000,2948.00000,889.00000,2655.00000,19907.00000,2776.00000,1064.00000,42766.00000,6307.00000,52913.00000,72820.00000,15942.00000,13893.00000,3604.00000,22293.00000,38235.00000,13366.00000,-444.00000,-184.00000,34585.00000,72820.00000
2019-12-31,14304.00000,4934.00000,580.00000,2501.00000,22319.00000,2739.00000,1719.00000,42904.00000,5100.00000,52462.00000,74781.00000,17579.00000,13688.00000,3434.00000,21932.00000,39511.00000,13899.00000,-340.00000,-175.00000,35270.00000,74781.00000
2019-09-30,13279.00000,4590.00000,712.00000,2389.00000,20970.00000,2695.00000,2157.00000,42436.00000,4316.00000,51604.00000,72574.00000,13415.00000,16729.00000,2939.00000,24475.00000,37890.00000,13502.00000,-650.00000,-171.00000,34684.00000,72574.00000
2019-06-30,12079.00000,3220.00000,648.00000,2358.00000,18305.00000,2549.00000,2918.00000,42585.00000,3892.00000,51944.00000,70249.00000,10829.00000,16694.00000,2801.00000,24425.00000,35254.00000,13040.00000,110.00000,-169.00000,34995.00000,70249.00000
2019-03-31,12423.00000,2978.00000,765.00000,2324.00000,18490.00000,2456.00000,3506.00000,42054.00000,3359.00000,51375.00000,69865.00000,11380.00000,16630.00000,2669.00000,24210.00000,35590.00000,12513.00000,-86.00000,-163.00000,34275.00000,69865.00000
2018-12-31,13246.00000,4528.00000,456.00000,1877.00000,20107.00000,2437.00000,4132.00000,42450.00000,2529.00000,51548.00000,71655.00000,13389.00000,16633.00000,2703.00000,24171.00000,37560.00000,11908.00000,275.00000,-92.00000,34095.00000,71655.00000
2018-09-30,13200.00000,2790.00000,562.00000,1664.00000,18216.00000,2472.00000,4082.00000,42752.00000,1703.00000,51009.00000,69225.00000,11305.00000,16630.00000,2666.00000,23914.00000,35219.00000,11318.00000,547.00000,-7.00000,34006.00000,69225.00000
2018-06-30,13388.00000,2835.00000,545.00000,1723.00000,18491.00000,2387.00000,2835.00000,42832.00000,1630.00000,49684.00000,68175.00000,10934.00000,16627.00000,2494.00000,23923.00000,34857.00000,10426.00000,741.00000,-5.00000,33318.00000,68175.00000
2018-03-31,12603.00000,3760.00000,592.00000,1581.00000,18536.00000,2366.00000,2602.00000,43909.00000,1629.00000,50506.00000,69042.00000,9551.00000,16624.00000,3654.00000,25388.00000,34939.00000,10192.00000,1728.00000,-6.00000,34103.00000,69042.00000
2017-12-31,12434.00000,2899.00000,504.00000,1450.00000,17287.00000,2238.00000,2674.00000,43271.00000,1684.00000,49867.00000,67154.00000,8363.00000,16621.00000,3662.00000,25390.00000,33753.00000,9966.00000,1203.00000,-5.00000,33401.00000,67154.00000
2017-09-30,14469.00000,2554.00000,550.00000,1450.00000,19023.00000,2253.00000,1926.00000,42958.00000,1817.00000,48954.00000,67977.00000,9994.00000,16618.00000,2625.00000,25223.00000,35217.00000,9508.00000,878.00000,-52.00000,32760.00000,67977.00000
2017-06-30,11221.00000,2524.00000,590.00000,1383.00000,15718.00000,2202.00000,2117.00000,42331.00000,1632.00000,48282.00000,64000.00000,9511.00000,14142.00000,2515.00000,22545.00000,32056.00000,9299.00000,118.00000,-8.00000,31944.00000,64000.00000
2017-03-31,8951.00000,4431.00000,788.00000,1335.00000,15505.00000,2133.00000,2882.00000,41241.00000,1466.00000,47722.00000,63227.00000,10206.00000,14140.00000,2367.00000,22238.00000,32444.00000,9140.00000,-980.00000,-77.00000,30783.00000,63227.00000
2016-12-31,10549.00000,2453.00000,416.00000,1271.00000,14689.00000,2201.00000,3802.00000,41273.00000,1405.00000,48681.00000,63370.00000,10341.00000,14138.00000,2343.00000,21303.00000,31644.00000,10492.00000,-1369.00000,-128.00000,31726.00000,63370.00000
2016-09-30,9965.00000,2508.00000,555.00000,1285.00000,14313.00000,2150.00000,3931.00000,42300.00000,1341.00000,49722.00000,64035.00000,8046.00000,15882.00000,2387.00000,23077.00000,31123.00000,10462.00000,-458.00000,-34.00000,32912.00000,64035.00000
2016-06-30,9779.00000,2565.00000,707.00000,1323.00000,14374.00000,2136.00000,3762.00000,42122.00000,1473.00000,49493.00000,63867.00000,7783.00000,15879.00000,2401.00000,23257.00000,31040.00000,10334.00000,-543.00000,-25.00000,32827.00000,63867.00000
2016-03-31,20958.00000,1358.00000,646.00000,1341.00000,24303.00000,1883.00000,3577.00000,23171.00000,1392.00000,30023.00000,54326.00000,5125.00000,15876.00000,938.00000,20070.00000,25195.00000,11582.00000,-96.00000,,29131.00000,54326.00000
2015-12-31,22406.00000,1365.00000,247.00000,1455.00000,25473.00000,1884.00000,3487.00000,23173.00000,960.00000,29504.00000,54977.00000,5357.00000,15877.00000,923.00000,20144.00000,25501.00000,11701.00000,-49.00000,,29476.00000,54977.00000
2015-09-30,7087.00000,1255.00000,353.00000,1326.00000,10021.00000,1888.00000,3384.00000,23186.00000,888.00000,29346.00000,39367.00000,5355.00000,,897.00000,4170.00000,9525.00000,11843.00000,-74.00000,,29842.00000,39367.00000
2015-06-30,5865.00000,1596.00000,457.00000,1316.00000,10068.00000,1847.00000,3300.00000,23200.00000,1014.00000,29361.00000,39429.00000,5789.00000,,879.00000,5013.00000,10802.00000,10623.00000,-4.00000,,28627.00000,39429.00000
2015-03-31,5784.00000,1575.00000,586.00000,1322.00000,10105.00000,1843.00000,2779.00000,23132.00000,976.00000,28730.00000,38835.00000,5443.00000,,1024.00000,5155.00000,10598.00000,10108.00000,31.00000,,28237.00000,38835.00000
2014-12-31,5978.00000,1400.00000,318.00000,1241.00000,9864.00000,1861.00000,3028.00000,23148.00000,983.00000,29020.00000,38884.00000,5798.00000,,1005.00000,5144.00000,10942.00000,9732.00000,10.00000,,27942.00000,38884.00000
2014-09-30,5448.00000,1608.00000,307.00000,1171.00000,9562.00000,1892.00000,3015.00000,23164.00000,936.00000,29007.00000,38569.00000,6006.00000,,1005.00000,5150.00000,11156.00000,9131.00000,-17.00000,,27413.00000,38569.00000
2014-06-30,5169.00000,1625.00000,244.00000,1157.00000,9025.00000,1772.00000,2798.00000,23168.00000,912.00000,28650.00000,37675.00000,5314.00000,,905.00000,5075.00000,10389.00000,8909.00000,-16.00000,,27286.00000,37675.00000
2014-03-31,4599.00000,1617.00000,263.00000,1178.00000,8507.00000,1760.00000,3066.00000,22998.00000,932.00000,28756.00000,37263.00000,4961.00000,,861.00000,5007.00000,9968.00000,8714.00000,26.00000,,27295.00000,37263.00000
2013-12-31,4139.00000,1748.00000,291.00000,1121.00000,7765.00000,1746.00000,3040.00000,23015.00000,682.00000,28483.00000,36248.00000,4385.00000,,689.00000,4849.00000,9234.00000,8269.00000,43.00000,,27014.00000,36248.00000
2013-09-30,4304.00000,1702.00000,187.00000,1148.00000,7822.00000,1732.00000,2760.00000,23032.00000,610.00000,28134.00000,35956.00000,4335.00000,,602.00000,4751.00000,9086.00000,7974.00000,21.00000,,26870.00000,35956.00000
2013-06-30,3397.00000,1838.00000,220.00000,1057.00000,6941.00000,1689.00000,3189.00000,23049.00000,417.00000,28344.00000,35285.00000,3671.00000,,568.00000,4611.00000,8282.00000,7989.00000,-116.00000,,27003.00000,35285.00000
2013-03-31,2768.00000,2453.00000,211.00000,1061.00000,6914.00000,1674.00000,2974.00000,23066.00000,431.00000,28145.00000,35059.00000,3539.00000,,579.00000,4625.00000,8164.00000,7723.00000,-133.00000,,26895.00000,35059.00000
2012-12-31,2834.00000,3001.00000,176.00000,987.00000,7387.00000,1641.00000,3401.00000,23084.00000,346.00000,28472.00000,35859.00000,3747.00000,,467.00000,4524.00000,8271.00000,7997.00000,-137.00000,,27588.00000,35859.00000
2012-09-30,7249.00000,1356.00000,122.00000,1032.00000,11786.00000,1634.00000,3283.00000,23101.00000,209.00000,28227.00000,40013.00000,7954.00000,,371.00000,4429.00000,12383.00000,7809.00000,-171.00000,,27630.00000,40013.00000
2012-06-30,6585.00000,1236.00000,323.00000,1110.00000,10899.00000,1581.00000,2923.00000,23118.00000,220.00000,27842.00000,38741.00000,7854.00000,,785.00000,4729.00000,12583.00000,6411.00000,-175.00000,,26158.00000,38741.00000
2012-03-31,7239.00000,1163.00000,332.00000,1131.00000,10295.00000,1540.00000,1696.00000,23105.00000,210.00000,26551.00000,36846.00000,3587.00000,,797.00000,4738.00000,8325.00000,8688.00000,-176.00000,,28521.00000,36846.00000
2011-12-31,7093.00000,1138.00000,172.00000,1114.00000,9978.00000,1542.00000,899.00000,23122.00000,227.00000,25790.00000,35768.00000,3537.00000,,718.00000,4930.00000,8467.00000,7544.00000,-172.00000,,27301.00000,35768.00000
2011-09-30,6255.00000,972.00000,265.00000,1209.00000,9190.00000,1541.00000,711.00000,23104.00000,214.00000,25570.00000,34760.00000,3451.00000,,667.00000,4872.00000,8323.00000,6706.00000,-176.00000,,26437.00000,34760.00000
2011-06-30,6747.00000,956.00000,214.00000,1092.00000,9516.00000,1510.00000,7.00000,23121.00000,293.00000,24931.00000,34447.00000,3531.00000,22.00000,588.00000,4864.00000,8395.00000,6130.00000,-136.00000,,26052.00000,34447.00000
2011-03-31,6706.00000,935.00000,446.00000,1022.00000,9606.00000,1453.00000,7.00000,23052.00000,304.00000,24816.00000,34422.00000,3465.00000,25.00000,573.00000,4803.00000,8268.00000,5707.00000,-139.00000,,26154.00000,34422.00000
2010-12-31,6551.00000,1033.00000,179.00000,1047.00000,9355.00000,1380.00000,13.00000,22910.00000,331.00000,24634.00000,33989.00000,3679.00000,29.00000,551.00000,4766.00000,8445.00000,5023.00000,-150.00000,,25544.00000,33989.00000
2010-09-30,5917.00000,878.00000,242.00000,1074.00000,8734.00000,1357.00000,24.00000,22925.00000,368.00000,24674.00000,33408.00000,3498.00000,32.00000,683.00000,4896.00000,8394.00000,4368.00000,-151.00000,,25014.00000,33408.00000
2010-06-30,7155.00000,917.00000,284.00000,1046.00000,9850.00000,1185.00000,128.00000,21091.00000,442.00000,22846.00000,32696.00000,3482.00000,35.00000,701.00000,4534.00000,8016.00000,3822.00000,-82.00000,,24680.00000,32696.00000
2010-03-31,6010.00000,1168.00000,413.00000,1054.00000,9115.00000,1183.00000,154.00000,21091.00000,525.00000,22953.00000,32068.00000,3537.00000,38.00000,698.00000,4544.00000,8081.00000,3199.00000,-99.00000,,23987.00000,32068.00000
2009-12-31,5618.00000,1272.00000,212.00000,1056.00000,8753.00000,1203.00000,159.00000,21091.00000,509.00000,22962.00000,31715.00000,3637.00000,41.00000,754.00000,4601.00000,8238.00000,2691.00000,-175.00000,,23477.00000,31715.00000
2009-09-30,6097.00000,1049.00000,366.00000,1026.00000,9241.00000,1204.00000,168.00000,21091.00000,577.00000,23040.00000,32281.00000,4442.00000,44.00000,795.00000,4646.00000,9088.00000,2219.00000,-188.00000,,23193.00000,32281.00000
2009-06-30,5471.00000,1417.00000,1234.00000,956.00000,9562.00000,1170.00000,181.00000,21096.00000,615.00000,23062.00000,32624.00000,4435.00000,46.00000,1691.00000,5395.00000,9830.00000,1783.00000,-102.00000,,22794.00000,32624.00000
2009-03-31,5100.00000,1251.00000,339.00000,885.00000,8225.00000,1155.00000,200.00000,21096.00000,1288.00000,23739.00000,31964.00000,4243.00000,50.00000,1688.00000,5601.00000,9844.00000,1133.00000,-88.00000,,22120.00000,31964.00000
