,cash-on-hand,total-current-assets,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,56571.00000,310322.00000,103436.00000,10300.00000,34920.00000,148656.00000,458978.00000,358342.00000,47026.00000,662.00000,47688.00000,406030.00000,2712.00000,44986.00000,3069.00000,52948.00000,458978.00000
2020-03-31,27479.00000,289871.00000,103751.00000,10315.00000,41556.00000,155622.00000,445493.00000,322354.00000,73399.00000,450.00000,73849.00000,396203.00000,2712.00000,41885.00000,2518.00000,49290.00000,445493.00000
2019-12-31,28474.00000,266658.00000,92000.00000,10877.00000,40760.00000,143637.00000,410295.00000,300371.00000,60263.00000,318.00000,60581.00000,360952.00000,2712.00000,42215.00000,799.00000,49343.00000,410295.00000
2019-09-30,24707.00000,261218.00000,101208.00000,10716.00000,35774.00000,147698.00000,408916.00000,297803.00000,54522.00000,7136.00000,61658.00000,359461.00000,2711.00000,41413.00000,837.00000,49455.00000,408916.00000
2019-06-30,23778.00000,259416.00000,101304.00000,10848.00000,34193.00000,146345.00000,405761.00000,287064.00000,62476.00000,6840.00000,69316.00000,356380.00000,2711.00000,40616.00000,631.00000,49381.00000,405761.00000
2019-03-31,20323.00000,250610.00000,96436.00000,11030.00000,34761.00000,142227.00000,392837.00000,284123.00000,59860.00000,279.00000,60139.00000,344262.00000,2711.00000,39742.00000,-5.00000,48575.00000,392837.00000
2018-12-31,16501.00000,241111.00000,95595.00000,11201.00000,34408.00000,141204.00000,382315.00000,276841.00000,52414.00000,5290.00000,57704.00000,334545.00000,2711.00000,38919.00000,-725.00000,47770.00000,382315.00000
2018-09-30,25048.00000,246625.00000,93250.00000,11354.00000,28851.00000,133455.00000,380080.00000,274735.00000,52476.00000,5767.00000,58243.00000,332978.00000,2710.00000,38080.00000,-1260.00000,47102.00000,380080.00000
2018-06-30,27397.00000,248996.00000,92555.00000,11263.00000,27897.00000,131715.00000,380711.00000,274225.00000,54413.00000,5098.00000,59511.00000,333736.00000,2710.00000,37201.00000,-940.00000,46975.00000,380711.00000
2018-03-31,33470.00000,253445.00000,86570.00000,11197.00000,27949.00000,125716.00000,379161.00000,273797.00000,53431.00000,4898.00000,58329.00000,332126.00000,2710.00000,36266.00000,-699.00000,47035.00000,379161.00000
2017-12-31,33844.00000,254346.00000,87523.00000,11005.00000,27894.00000,126422.00000,380768.00000,273798.00000,54299.00000,5086.00000,59385.00000,333183.00000,2710.00000,35481.00000,-148.00000,47585.00000,380768.00000
2017-09-30,29449.00000,249717.00000,86003.00000,11017.00000,28454.00000,125474.00000,375191.00000,270882.00000,57564.00000,293.00000,57857.00000,328739.00000,2710.00000,33819.00000,-22.00000,46452.00000,375191.00000
2017-06-30,27521.00000,245024.00000,87250.00000,11030.00000,28886.00000,127166.00000,372190.00000,269295.00000,56406.00000,304.00000,56710.00000,326005.00000,2710.00000,33133.00000,-98.00000,46185.00000,372190.00000
2017-03-31,32880.00000,244559.00000,87332.00000,10970.00000,28083.00000,126385.00000,370944.00000,269674.00000,50183.00000,5184.00000,55367.00000,325041.00000,2709.00000,32372.00000,-279.00000,45903.00000,370944.00000
2016-12-31,30590.00000,241338.00000,86675.00000,10861.00000,27506.00000,125042.00000,366380.00000,266519.00000,48530.00000,4477.00000,53007.00000,319526.00000,2709.00000,31670.00000,-265.00000,46854.00000,366380.00000
2016-09-30,34919.00000,244799.00000,89119.00000,10700.00000,24730.00000,124549.00000,369348.00000,266356.00000,50306.00000,5841.00000,56147.00000,322503.00000,2709.00000,30958.00000,646.00000,46845.00000,369348.00000
2016-06-30,34428.00000,243095.00000,82270.00000,10654.00000,25316.00000,118240.00000,361335.00000,256478.00000,52951.00000,5207.00000,58158.00000,314636.00000,2709.00000,30309.00000,736.00000,46699.00000,361335.00000
2016-03-31,36346.00000,242661.00000,82960.00000,10779.00000,24585.00000,118324.00000,360985.00000,257704.00000,51683.00000,5270.00000,56953.00000,314657.00000,2708.00000,29642.00000,532.00000,46328.00000,360985.00000
2015-12-31,34611.00000,240120.00000,81115.00000,10692.00000,26566.00000,118373.00000,358493.00000,257720.00000,49962.00000,4831.00000,54793.00000,312513.00000,2708.00000,29043.00000,130.00000,45980.00000,358493.00000
2015-09-30,41494.00000,245300.00000,78563.00000,10977.00000,27285.00000,116825.00000,362125.00000,253366.00000,53461.00000,9020.00000,62481.00000,315847.00000,2708.00000,28337.00000,615.00000,46278.00000,362125.00000
2015-06-30,42686.00000,246924.00000,71893.00000,11096.00000,24032.00000,107021.00000,353945.00000,249881.00000,53130.00000,5022.00000,58152.00000,308033.00000,2708.00000,27609.00000,379.00000,45912.00000,353945.00000
2015-03-31,39393.00000,243232.00000,71291.00000,10899.00000,25538.00000,107728.00000,350960.00000,248143.00000,50228.00000,6151.00000,56379.00000,304522.00000,2706.00000,26882.00000,703.00000,46438.00000,350960.00000
2014-12-31,40344.00000,244092.00000,66551.00000,10947.00000,23482.00000,100980.00000,345072.00000,245926.00000,48263.00000,4809.00000,53072.00000,298998.00000,2705.00000,26200.00000,503.00000,46074.00000,345072.00000
2014-09-30,34822.00000,234431.00000,65802.00000,11068.00000,23123.00000,99993.00000,334424.00000,239702.00000,44019.00000,4708.00000,48727.00000,288429.00000,2703.00000,25464.00000,727.00000,45995.00000,334424.00000
2014-06-30,25522.00000,225281.00000,67185.00000,11071.00000,23527.00000,101783.00000,327064.00000,235438.00000,40935.00000,4898.00000,45833.00000,281271.00000,2703.00000,24755.00000,881.00000,45793.00000,327064.00000
2014-03-31,23124.00000,219938.00000,68981.00000,11189.00000,23315.00000,103485.00000,323423.00000,235346.00000,38650.00000,4509.00000,43159.00000,278505.00000,2700.00000,24010.00000,656.00000,44918.00000,323423.00000
2013-12-31,21237.00000,215496.00000,70854.00000,11290.00000,22552.00000,104696.00000,320192.00000,234907.00000,36819.00000,4429.00000,41248.00000,276155.00000,2698.00000,23251.00000,436.00000,44037.00000,320192.00000
2013-09-30,15469.00000,207033.00000,67563.00000,11268.00000,22733.00000,101564.00000,308597.00000,230906.00000,30114.00000,4757.00000,34871.00000,265777.00000,2695.00000,22561.00000,47.00000,42820.00000,308597.00000
2013-06-30,11570.00000,201387.00000,67503.00000,11228.00000,24297.00000,103028.00000,304415.00000,227039.00000,29161.00000,6274.00000,35435.00000,262474.00000,2693.00000,21828.00000,45.00000,41941.00000,304415.00000
2013-03-31,9006.00000,194977.00000,70369.00000,10996.00000,24470.00000,105835.00000,300812.00000,226754.00000,26694.00000,5286.00000,31980.00000,258734.00000,2690.00000,20993.00000,767.00000,42078.00000,300812.00000
2012-12-31,12763.00000,198276.00000,72283.00000,10869.00000,23679.00000,106831.00000,305107.00000,229371.00000,29127.00000,4844.00000,33971.00000,263342.00000,2690.00000,20265.00000,834.00000,41765.00000,305107.00000
2012-09-30,10993.00000,191555.00000,73660.00000,10941.00000,24647.00000,109248.00000,300803.00000,224886.00000,28496.00000,5619.00000,34115.00000,259001.00000,2689.00000,19813.00000,991.00000,41802.00000,300803.00000
2012-06-30,11898.00000,191500.00000,72554.00000,10962.00000,24559.00000,108075.00000,299575.00000,214517.00000,39523.00000,5321.00000,44844.00000,259361.00000,2687.00000,19149.00000,402.00000,40214.00000,299575.00000
2012-03-31,10256.00000,184730.00000,74906.00000,11188.00000,25059.00000,111153.00000,295883.00000,214566.00000,37707.00000,5374.00000,43081.00000,257647.00000,2685.00000,18834.00000,281.00000,38236.00000,295883.00000
2011-12-31,9992.00000,167595.00000,70768.00000,10144.00000,22698.00000,103610.00000,271205.00000,199396.00000,29449.00000,5114.00000,34563.00000,233959.00000,2683.00000,18253.00000,-105.00000,37246.00000,271205.00000
2011-09-30,11521.00000,164048.00000,72020.00000,10156.00000,23246.00000,105422.00000,269470.00000,194424.00000,31997.00000,5807.00000,37804.00000,232228.00000,2682.00000,17985.00000,397.00000,37242.00000,269470.00000
2011-06-30,12805.00000,161176.00000,69190.00000,10594.00000,22157.00000,101941.00000,263117.00000,189205.00000,31364.00000,7675.00000,39039.00000,228244.00000,2682.00000,17344.00000,69.00000,34873.00000,263117.00000
2011-03-31,9242.00000,156850.00000,70587.00000,10764.00000,21177.00000,102528.00000,259378.00000,189147.00000,30917.00000,5597.00000,36514.00000,225661.00000,2682.00000,16640.00000,-309.00000,33717.00000,259378.00000
2010-12-31,10437.00000,159637.00000,73482.00000,10753.00000,20412.00000,104647.00000,264284.00000,190722.00000,35344.00000,5380.00000,40724.00000,231446.00000,2682.00000,15859.00000,-431.00000,32838.00000,264284.00000
2010-09-30,7188.00000,155359.00000,73598.00000,10518.00000,20658.00000,104774.00000,260133.00000,186978.00000,35102.00000,5387.00000,40489.00000,227467.00000,2680.00000,15114.00000,146.00000,32666.00000,260133.00000
2010-06-30,11677.00000,163439.00000,63876.00000,12138.00000,22242.00000,98256.00000,261695.00000,185246.00000,36737.00000,8722.00000,45459.00000,230705.00000,2678.00000,14073.00000,-442.00000,30990.00000,261695.00000
2010-03-31,7132.00000,161770.00000,67862.00000,12714.00000,23050.00000,103626.00000,265396.00000,190973.00000,36950.00000,8039.00000,44989.00000,235962.00000,2676.00000,13340.00000,-1288.00000,29434.00000,265396.00000
2009-12-31,13290.00000,168300.00000,66281.00000,12909.00000,22373.00000,101563.00000,269863.00000,194510.00000,35263.00000,7523.00000,42786.00000,237296.00000,2354.00000,13144.00000,-1962.00000,32567.00000,269863.00000
2009-09-30,9982.00000,169289.00000,63097.00000,12734.00000,26287.00000,102118.00000,271407.00000,191397.00000,37914.00000,10433.00000,48347.00000,239744.00000,2348.00000,12179.00000,-1947.00000,31663.00000,271407.00000
2009-06-30,18620.00000,183722.00000,58137.00000,12890.00000,25005.00000,96032.00000,279754.00000,198011.00000,40760.00000,11516.00000,52276.00000,250287.00000,2342.00000,11758.00000,-3101.00000,29467.00000,279754.00000
2009-03-31,21807.00000,192926.00000,54468.00000,12178.00000,26850.00000,93496.00000,286422.00000,202764.00000,43670.00000,11332.00000,55002.00000,257766.00000,2261.00000,11738.00000,-3289.00000,28656.00000,286422.00000
