,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-12-31,109.50000,1602.50000,607.60000,188.80000,2934.40000,930.00000,5.50000,599.40000,255.10000,2391.60000,5326.00000,1910.40000,1138.90000,418.00000,1851.60000,3762.00000,18.60000,2984.50000,-375.80000,1564.00000,5326.00000
2014-09-30,124.30000,1572.60000,754.50000,210.60000,2857.30000,1283.30000,26.40000,625.50000,338.80000,2393.80000,5251.10000,1741.50000,1151.90000,451.30000,1725.30000,3466.80000,18.60000,2928.30000,-163.90000,1784.30000,5251.10000
2014-06-30,114.40000,1500.00000,738.20000,183.00000,2752.00000,1284.90000,26.70000,653.40000,309.00000,2375.30000,5127.30000,1692.90000,1153.70000,388.20000,1666.00000,3358.90000,18.60000,2891.80000,-135.70000,1768.40000,5127.30000
2014-03-31,92.50000,1568.30000,702.80000,176.00000,2752.50000,1268.70000,26.80000,659.10000,282.80000,2338.20000,5090.70000,1726.70000,1154.00000,383.40000,1676.60000,3403.30000,18.60000,2802.80000,-142.20000,1687.40000,5090.70000
2013-12-31,123.20000,1484.30000,688.40000,236.80000,2945.00000,1248.30000,26.80000,661.70000,262.00000,2290.20000,5235.20000,1986.70000,1154.10000,391.40000,1676.40000,3663.10000,18.60000,2757.30000,-201.90000,1572.10000,5235.20000
2013-09-30,109.60000,1179.60000,707.70000,205.40000,2610.70000,1163.50000,29.50000,668.30000,250.00000,2320.10000,4930.80000,2066.50000,771.80000,357.70000,1490.70000,3557.20000,18.60000,2748.20000,-385.40000,1373.60000,4930.80000
2013-06-30,77.40000,1092.10000,661.20000,223.40000,2182.70000,1147.30000,43.40000,496.60000,275.70000,2167.00000,4349.70000,1268.90000,762.40000,329.00000,1482.20000,2751.10000,18.60000,2748.40000,-406.70000,1598.60000,4349.70000
2013-03-31,82.60000,1223.10000,678.90000,180.50000,2285.30000,1127.30000,44.50000,496.90000,275.30000,2162.70000,4448.00000,987.70000,1233.90000,339.00000,1977.10000,2964.80000,18.60000,2649.00000,-406.50000,1483.20000,4448.00000
2012-12-31,77.10000,1073.70000,642.40000,172.90000,2181.90000,956.20000,26.10000,483.30000,247.60000,2192.00000,4373.90000,1135.50000,908.80000,395.70000,1683.60000,2819.10000,18.60000,2536.50000,-408.90000,1554.80000,4373.90000
2012-09-30,84.40000,1009.20000,620.50000,157.10000,2025.50000,1071.30000,35.60000,481.60000,265.60000,2040.40000,4065.90000,1087.30000,807.90000,339.30000,1490.50000,2577.80000,18.60000,2453.00000,-369.20000,1488.10000,4065.90000
2012-06-30,75.50000,993.70000,559.60000,171.60000,1952.70000,1021.00000,33.00000,474.80000,222.30000,1954.90000,3907.60000,996.40000,810.00000,333.70000,1524.70000,2521.10000,18.60000,2375.40000,-390.80000,1386.50000,3907.60000
2012-03-31,70.80000,1051.10000,509.90000,168.30000,1943.30000,1011.80000,31.00000,416.00000,215.60000,1908.30000,3851.60000,917.20000,910.40000,333.20000,1634.80000,2552.00000,9.30000,2282.90000,-370.70000,1299.60000,3851.60000
2011-12-31,158.90000,931.30000,470.30000,173.40000,1869.40000,986.80000,28.30000,413.20000,198.90000,1874.10000,3743.50000,919.90000,779.10000,330.10000,1519.50000,2439.40000,18.60000,2176.20000,-390.00000,1304.10000,3743.50000
2011-09-30,109.40000,854.30000,444.30000,181.10000,1690.30000,954.80000,26.00000,204.20000,248.30000,1699.30000,3389.60000,909.50000,493.60000,315.70000,1101.80000,2011.30000,9.30000,2108.80000,-293.50000,1378.30000,3389.60000
2011-06-30,186.60000,858.40000,421.30000,185.80000,1753.10000,957.40000,25.40000,210.20000,245.30000,1713.10000,3466.20000,925.30000,485.50000,325.10000,1119.60000,2044.90000,9.30000,2032.70000,-270.00000,1421.30000,3466.20000
2011-03-31,86.00000,973.90000,379.60000,185.80000,1717.50000,938.80000,23.80000,206.40000,234.70000,1698.70000,3416.20000,906.30000,533.90000,330.10000,1192.50000,2098.80000,9.30000,1936.30000,-277.70000,1317.40000,3416.20000
2010-12-31,161.50000,852.90000,347.80000,175.30000,1646.20000,918.50000,22.40000,248.40000,169.70000,1673.70000,3319.90000,963.40000,503.00000,318.20000,1167.30000,2130.70000,9.30000,1853.00000,-311.70000,1189.20000,3319.90000
2010-09-30,267.30000,813.70000,366.90000,169.40000,1762.40000,943.20000,22.40000,199.20000,221.90000,1641.40000,3403.80000,834.50000,535.30000,351.90000,1212.20000,2046.70000,9.30000,1915.60000,-290.80000,1357.10000,3403.80000
2010-06-30,162.40000,830.90000,346.00000,160.30000,1658.60000,917.00000,21.40000,184.10000,222.30000,1560.50000,3219.10000,737.20000,562.90000,347.40000,1269.30000,2006.50000,9.30000,1841.80000,-323.80000,1212.60000,3219.10000
2010-03-31,86.70000,892.50000,345.50000,154.10000,1637.90000,937.50000,21.70000,197.70000,213.60000,1595.10000,3233.00000,734.50000,609.90000,309.80000,1311.50000,2046.00000,9.30000,1785.10000,-298.30000,1187.00000,3233.00000
2009-12-31,76.60000,749.60000,350.50000,138.00000,1487.70000,964.50000,22.40000,209.50000,211.40000,1648.50000,3136.20000,709.20000,588.00000,299.40000,1293.90000,2003.10000,9.30000,1716.90000,-279.20000,1133.10000,3136.20000
2009-09-30,59.90000,715.40000,380.60000,145.20000,1435.10000,948.80000,22.20000,212.80000,204.80000,1610.40000,3045.50000,765.20000,541.90000,281.50000,1158.60000,1923.80000,9.30000,1664.20000,-227.30000,1121.70000,3045.50000
2009-06-30,67.00000,701.50000,390.40000,132.80000,1423.70000,948.40000,21.00000,201.90000,194.20000,1604.80000,3028.50000,717.20000,561.20000,269.00000,1210.10000,1927.30000,9.30000,1644.90000,-249.70000,1101.20000,3028.50000
2009-03-31,54.90000,724.80000,409.60000,136.50000,1480.90000,915.60000,20.50000,194.90000,171.20000,1539.10000,3020.00000,722.70000,617.80000,267.40000,1289.60000,2012.30000,9.30000,1584.70000,-291.30000,1007.70000,3020.00000
