,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2017-06-30,3348.70000,1532.90000,293.30000,79.00000,83.30000,5347.00000,8317.00000,1244.70000,1068.90000,736.90000,12506.80000,17853.80000,2433.20000,3366.60000,1910.00000,5910.70000,8343.90000,249.40000,12584.20000,-2217.10000,9509.90000,17853.80000
2017-03-31,3292.50000,1538.30000,322.80000,61.90000,68.80000,5294.10000,8198.20000,1296.30000,1204.80000,730.20000,12577.40000,17871.50000,2602.30000,3300.40000,1897.90000,5849.00000,8451.30000,249.40000,12692.50000,-2393.70000,9420.20000,17871.50000
2016-12-31,655.50000,1063.30000,330.70000,68.60000,570.50000,3548.80000,8030.30000,1254.70000,1187.80000,772.00000,12407.40000,15956.20000,2929.80000,3289.00000,1797.30000,5765.30000,8695.10000,249.40000,10771.70000,-2611.70000,7261.10000,15956.20000
2016-09-30,1293.20000,1684.40000,255.00000,93.90000,64.60000,4317.30000,8259.70000,1283.60000,1233.00000,671.00000,13711.30000,18028.60000,3283.10000,3909.70000,1816.50000,7532.10000,10815.20000,249.40000,10475.50000,-2388.30000,7213.40000,18028.60000
2016-06-30,514.80000,2042.90000,611.10000,80.30000,110.90000,3378.80000,8798.60000,1270.40000,1626.40000,763.70000,13704.70000,17083.50000,3658.90000,3925.60000,1414.20000,6244.40000,9903.30000,249.40000,10268.70000,-2125.70000,7180.20000,17083.50000
2016-03-31,313.10000,1818.20000,649.80000,85.10000,144.60000,3031.20000,8854.10000,1264.30000,1650.50000,719.20000,13779.60000,16810.80000,3839.10000,3573.20000,1462.80000,5918.60000,9757.70000,249.40000,10108.80000,-2046.70000,7053.10000,16810.80000
2015-12-31,279.10000,1646.00000,665.60000,59.20000,129.10000,2779.00000,9619.00000,1262.40000,1606.40000,674.10000,14481.30000,17260.30000,3572.40000,3870.50000,1487.20000,6188.90000,9761.30000,249.40000,10768.70000,-2208.60000,7499.00000,17260.30000
2015-09-30,206.40000,1749.70000,657.80000,67.00000,110.80000,2793.50000,8745.10000,1265.70000,1639.60000,648.60000,14541.00000,17334.50000,3644.40000,3949.10000,1554.00000,6309.00000,9953.40000,249.40000,10580.40000,-2125.90000,7381.10000,17334.50000
2015-06-30,215.30000,1992.70000,681.90000,63.40000,149.00000,3102.30000,9720.80000,1244.20000,1705.30000,523.80000,14569.20000,17671.50000,2918.90000,4690.50000,1022.50000,7021.30000,9940.20000,249.40000,10411.10000,-1578.40000,7731.30000,17671.50000
2015-03-31,195.70000,1951.30000,693.30000,114.90000,159.30000,3114.50000,9485.90000,1223.90000,1708.80000,586.80000,14379.30000,17493.80000,3081.30000,4511.50000,1042.90000,6936.20000,10017.50000,249.40000,10267.20000,-1662.10000,7476.30000,17493.80000
2014-12-31,238.80000,1969.30000,709.70000,76.40000,143.00000,3137.20000,9607.60000,1252.20000,1785.90000,454.90000,14498.20000,17635.40000,3001.90000,4751.30000,1070.70000,7130.20000,10132.10000,249.40000,10152.00000,-1470.60000,7503.30000,17635.40000
2014-09-30,336.60000,2009.00000,706.00000,87.80000,155.40000,3294.80000,9532.10000,1257.90000,1853.10000,426.30000,14484.30000,17779.10000,2963.00000,4824.50000,1187.50000,7294.70000,10257.70000,249.40000,9993.20000,-1241.90000,7521.40000,17779.10000
2014-06-30,337.60000,2038.90000,690.20000,115.60000,157.50000,3339.80000,9579.10000,1256.30000,2278.10000,426.30000,14976.40000,18316.20000,3156.10000,4951.00000,1153.20000,7303.89900,10460.00000,249.40000,10053.50000,-924.50000,7856.20000,18316.20000
2014-03-31,356.90000,2044.90000,665.30000,98.10000,134.70000,3299.90000,9312.30000,1230.50000,2288.10000,392.60000,14663.10000,17963.00000,3110.30000,4993.20000,1161.60000,7324.90000,10435.20000,249.40000,9904.40000,-1034.60000,7527.80000,17963.00000
2013-12-31,387.60000,1977.40000,693.40000,119.70000,152.00000,3330.10000,9152.00000,1212.70000,2343.40000,398.90000,14585.10000,17915.20000,3145.20000,5020.80000,1136.20000,7347.30000,10492.50000,249.40000,9785.40000,-966.90000,7422.70000,17915.20000
