,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,1925.00000,3298.00000,2441.00000,1404.00000,9068.00000,8054.00000,6887.00000,37487.00000,267.00000,54530.00000,63598.00000,17004.00000,13354.00000,2261.00000,20842.00000,37846.00000,26961.00000,-11625.00000,25752.00000,63598.00000
2019-12-31,1291.00000,2927.00000,2546.00000,866.00000,7630.00000,8733.00000,7178.00000,38805.00000,359.00000,56885.00000,64515.00000,15322.00000,14207.00000,2351.00000,21876.00000,37198.00000,26615.00000,-10254.00000,27317.00000,64515.00000
2019-09-30,1537.00000,3175.00000,2742.00000,1176.00000,8630.00000,8316.00000,7040.00000,38107.00000,374.00000,55265.00000,63895.00000,17120.00000,12593.00000,2345.00000,19901.00000,37021.00000,26345.00000,-10717.00000,26874.00000,63895.00000
2019-06-30,1248.00000,2891.00000,2731.00000,966.00000,7836.00000,8550.00000,7095.00000,38644.00000,412.00000,55737.00000,63573.00000,17798.00000,11764.00000,2387.00000,19601.00000,37399.00000,25348.00000,-10541.00000,26174.00000,63573.00000
2019-03-31,1542.00000,3536.00000,2620.00000,841.00000,8539.00000,8520.00000,7004.00000,38644.00000,411.00000,55623.00000,64162.00000,17721.00000,12437.00000,2601.00000,20532.00000,38253.00000,24954.00000,-10498.00000,25909.00000,64162.00000
2018-12-31,1100.00000,3006.00000,2592.00000,906.00000,7604.00000,8482.00000,7123.00000,38727.00000,406.00000,55125.00000,62729.00000,16737.00000,12532.00000,2623.00000,20279.00000,37016.00000,24491.00000,-10630.00000,25713.00000,62729.00000
2018-09-30,1373.00000,3577.00000,2842.00000,930.00000,8722.00000,8403.00000,7006.00000,39036.00000,344.00000,55196.00000,63918.00000,15508.00000,14852.00000,2765.00000,22878.00000,38386.00000,24075.00000,-10642.00000,25532.00000,63918.00000
2018-06-30,1246.00000,3234.00000,2683.00000,1039.00000,8202.00000,8384.00000,6223.00000,39364.00000,373.00000,54772.00000,62974.00000,14832.00000,14857.00000,2819.00000,22855.00000,37687.00000,23305.00000,-10526.00000,25287.00000,62974.00000
2018-03-31,1130.00000,3954.00000,2620.00000,666.00000,8370.00000,8792.00000,6347.00000,40111.00000,422.00000,56133.00000,64503.00000,16798.00000,13180.00000,2589.00000,21155.00000,37953.00000,23315.00000,-9858.00000,26550.00000,64503.00000
2017-12-31,761.00000,3526.00000,2557.00000,676.00000,7520.00000,8677.00000,6193.00000,39724.00000,366.00000,55437.00000,62957.00000,15793.00000,12972.00000,2689.00000,21090.00000,36883.00000,22631.00000,-9997.00000,26074.00000,62957.00000
2017-09-30,844.00000,3913.00000,2781.00000,617.00000,8155.00000,8538.00000,6060.00000,39709.00000,349.00000,55136.00000,63291.00000,16035.00000,12918.00000,1496.00000,21157.00000,37192.00000,22296.00000,-9917.00000,26099.00000,63291.00000
2017-06-30,1397.00000,3308.00000,2710.00000,778.00000,8193.00000,8444.00000,5853.00000,39429.00000,347.00000,54564.00000,62757.00000,15563.00000,13226.00000,1488.00000,21402.00000,36965.00000,21648.00000,-10217.00000,25792.00000,62757.00000
2017-03-31,1307.00000,3864.00000,2603.00000,641.00000,8415.00000,8377.00000,5594.00000,38812.00000,357.00000,53661.00000,62076.00000,15057.00000,12906.00000,1615.00000,21300.00000,36357.00000,21468.00000,-10564.00000,25719.00000,62076.00000
2016-12-31,1741.00000,3470.00000,2469.00000,800.00000,8480.00000,8229.00000,5585.00000,38377.00000,350.00000,53058.00000,61538.00000,14417.00000,13217.00000,1572.00000,21906.00000,36323.00000,21149.00000,-11122.00000,25215.00000,61538.00000
2016-09-30,1686.00000,3914.00000,2776.00000,479.00000,8855.00000,8465.00000,5717.00000,39472.00000,384.00000,54410.00000,63265.00000,13957.00000,13105.00000,1709.00000,21731.00000,35688.00000,21366.00000,-9699.00000,27577.00000,63265.00000
2016-06-30,1755.00000,3919.00000,2713.00000,592.00000,8979.00000,8425.00000,5618.00000,39522.00000,385.00000,54292.00000,63271.00000,12996.00000,13578.00000,2008.00000,22599.00000,35595.00000,21127.00000,-9768.00000,27676.00000,63271.00000
2016-03-31,1338.00000,4325.00000,2756.00000,590.00000,9009.00000,8534.00000,5630.00000,40071.00000,377.00000,54966.00000,63975.00000,13178.00000,13800.00000,1934.00000,22935.00000,36113.00000,20970.00000,-9381.00000,27862.00000,63975.00000
2015-12-31,1870.00000,3846.00000,2609.00000,633.00000,8958.00000,8362.00000,5387.00000,39432.00000,358.00000,53885.00000,62843.00000,10922.00000,14557.00000,1832.00000,23821.00000,34743.00000,20700.00000,-9986.00000,28100.00000,62843.00000
2015-09-30,2039.00000,5918.00000,3029.00000,638.00000,12174.00000,8564.00000,4895.00000,40078.00000,637.00000,54216.00000,66390.00000,13637.00000,13029.00000,1962.00000,22801.00000,36438.00000,21707.00000,-9609.00000,29952.00000,66390.00000
2015-06-30,1958.00000,4249.00000,3000.00000,653.00000,11888.00000,8728.00000,,40732.00000,3720.00000,53230.00000,65118.00000,16788.00000,13090.00000,2370.00000,23596.00000,40384.00000,14725.00000,-8692.00000,24734.00000,65118.00000
2015-03-31,1835.00000,4913.00000,3421.00000,1138.00000,11864.00000,9261.00000,,41790.00000,1240.00000,52342.00000,64206.00000,16466.00000,12822.00000,2003.00000,23128.00000,39594.00000,14582.00000,-9208.00000,24612.00000,64206.00000
2014-12-31,1631.00000,4751.00000,3480.00000,1408.00000,11750.00000,9827.00000,662.00000,43724.00000,755.00000,55021.00000,66771.00000,14007.00000,13821.00000,2140.00000,24911.00000,38918.00000,14529.00000,-7318.00000,27853.00000,66771.00000
2014-09-30,1704.00000,5352.00000,4122.00000,1235.00000,12846.00000,10152.00000,,45509.00000,1395.00000,57121.00000,69967.00000,14615.00000,13988.00000,2390.00000,24396.00000,39011.00000,14298.00000,-4584.00000,30956.00000,69967.00000
2014-06-30,2132.00000,5533.00000,4088.00000,777.00000,13100.00000,10483.00000,,47593.00000,1446.00000,59580.00000,72680.00000,14915.00000,14255.00000,2722.00000,25358.00000,40273.00000,13666.00000,-2760.00000,32407.00000,72680.00000
2014-03-31,2422.00000,5900.00000,4027.00000,836.00000,13702.00000,10242.00000,,47400.00000,1561.00000,59258.00000,72960.00000,15325.00000,14772.00000,2607.00000,25859.00000,41184.00000,13315.00000,-3116.00000,31776.00000,72960.00000
2013-12-31,2622.00000,5403.00000,3743.00000,889.00000,13174.00000,10247.00000,,47591.00000,1449.00000,59341.00000,72515.00000,14354.00000,14482.00000,2491.00000,25629.00000,39983.00000,13419.00000,-2889.00000,32532.00000,72515.00000
2013-09-30,3692.00000,6245.00000,4161.00000,838.00000,15463.00000,10085.00000,,47790.00000,1492.00000,59396.00000,74859.00000,15269.00000,15089.00000,2514.00000,27098.00000,42367.00000,11878.00000,-3318.00000,32492.00000,74859.00000
2013-06-30,2476.00000,5989.00000,3937.00000,858.00000,13738.00000,9703.00000,,47050.00000,1305.00000,58085.00000,71823.00000,13133.00000,14986.00000,2893.00000,27141.00000,40274.00000,11117.00000,-4182.00000,31549.00000,71823.00000
2013-03-31,2759.00000,6265.00000,3849.00000,877.00000,14295.00000,9845.00000,,47782.00000,1346.00000,59003.00000,73298.00000,13847.00000,14970.00000,2985.00000,27433.00000,41280.00000,10756.00000,-3354.00000,32018.00000,73298.00000
2012-12-31,4475.00000,6129.00000,3741.00000,735.00000,15673.00000,10010.00000,,48292.00000,1484.00000,59804.00000,75477.00000,14870.00000,15574.00000,3046.00000,28191.00000,43061.00000,10551.00000,-2666.00000,32416.00000,75477.00000
2012-09-30,3873.00000,7110.00000,6429.00000,1031.00000,19517.00000,14049.00000,,62727.00000,1453.00000,78262.00000,97779.00000,15845.00000,27323.00000,3326.00000,45256.00000,61101.00000,18921.00000,-6559.00000,36678.00000,97779.00000
2012-06-30,4643.00000,6642.00000,6165.00000,1136.00000,19831.00000,13757.00000,,62128.00000,1366.00000,77283.00000,97114.00000,16054.00000,28081.00000,3318.00000,44812.00000,60866.00000,18800.00000,-6684.00000,36248.00000,97114.00000
2012-03-31,1852.00000,7314.00000,6286.00000,1261.00000,17693.00000,14084.00000,,63542.00000,1295.00000,78954.00000,96647.00000,19298.00000,23198.00000,3360.00000,40258.00000,59556.00000,18298.00000,-5242.00000,37091.00000,96647.00000
2011-12-31,1974.00000,6361.00000,5706.00000,1249.00000,16202.00000,13813.00000,,62483.00000,1308.00000,77635.00000,93837.00000,18445.00000,23095.00000,3396.00000,40064.00000,58509.00000,18012.00000,-6637.00000,35328.00000,93837.00000
2011-09-30,1976.00000,6835.00000,6399.00000,1146.00000,17329.00000,13856.00000,,63008.00000,1470.00000,78503.00000,95832.00000,20360.00000,23139.00000,3281.00000,38772.00000,59132.00000,17695.00000,-4864.00000,36700.00000,95832.00000
2011-06-30,2267.00000,6830.00000,6414.00000,1066.00000,17496.00000,14216.00000,,65572.00000,1590.00000,81531.00000,99027.00000,20280.00000,23420.00000,3386.00000,39636.00000,59916.00000,17300.00000,-2004.00000,39111.00000,99027.00000
2011-03-31,2088.00000,7131.00000,6116.00000,1225.00000,17529.00000,14003.00000,,64943.00000,1677.00000,80740.00000,98269.00000,19779.00000,24288.00000,3518.00000,40991.00000,60770.00000,16876.00000,-2744.00000,37499.00000,98269.00000
2010-12-31,2481.00000,6539.00000,5310.00000,993.00000,16221.00000,13792.00000,,63819.00000,1371.00000,79068.00000,95289.00000,15893.00000,26859.00000,3183.00000,43454.00000,59347.00000,16619.00000,-3890.00000,35942.00000,95289.00000
2010-09-30,2288.00000,6013.00000,5735.00000,887.00000,15824.00000,13710.00000,,62240.00000,1651.00000,77796.00000,93620.00000,13626.00000,29571.00000,3115.00000,45012.00000,58638.00000,16621.00000,-4720.00000,34982.00000,93620.00000
2010-06-30,2854.00000,5606.00000,5167.00000,796.00000,15251.00000,13047.00000,,61669.00000,1461.00000,76339.00000,91590.00000,13769.00000,29103.00000,2630.00000,44462.00000,58231.00000,16393.00000,-5959.00000,33359.00000,91590.00000
2010-03-31,3878.00000,6575.00000,5097.00000,826.00000,17215.00000,13896.00000,,62767.00000,1691.00000,78494.00000,95709.00000,15581.00000,29496.00000,3134.00000,45634.00000,61215.00000,15971.00000,-4422.00000,34494.00000,95709.00000
2009-12-31,2101.00000,5197.00000,3775.00000,651.00000,12454.00000,10693.00000,,42193.00000,1259.00000,54260.00000,66714.00000,11491.00000,18024.00000,2138.00000,29251.00000,40742.00000,14636.00000,-3955.00000,25972.00000,66714.00000
2009-09-30,2996.00000,4720.00000,4073.00000,575.00000,13018.00000,10409.00000,,41936.00000,1184.00000,53651.00000,66669.00000,12056.00000,18108.00000,2094.00000,29402.00000,41458.00000,14394.00000,-4355.00000,25211.00000,66669.00000
2009-06-30,1731.00000,4646.00000,4011.00000,618.00000,11688.00000,10224.00000,,41482.00000,1160.00000,52966.00000,64654.00000,10303.00000,18610.00000,2204.00000,29971.00000,40274.00000,14016.00000,-4723.00000,24380.00000,64654.00000
2009-03-31,1184.00000,4472.00000,4050.00000,754.00000,11141.00000,9735.00000,,40256.00000,1148.00000,51212.00000,62353.00000,10315.00000,18385.00000,2071.00000,29583.00000,39898.00000,13661.00000,-6146.00000,22455.00000,62353.00000
