,cash-on-hand,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,1697.79600,2092.08400,7584.73900,173.50700,987.38700,8866.40000,10958.49000,1854.43000,2770.61800,481.76900,3252.38700,5106.81700,2.68200,2596.61300,-0.19500,5851.66800,10958.49000
2020-03-31,1851.25300,2215.10700,7857.66400,178.55300,1021.66300,9208.26800,11423.37000,2719.53200,2755.93200,417.51900,3173.45100,5892.98300,2.68100,2280.45500,-0.22000,5530.39100,11423.37000
2019-12-31,1251.45600,1760.42300,7680.61400,124.99200,979.46090,8955.17400,10715.60000,2197.95000,2765.04000,294.42700,3059.46700,5257.41700,2.70200,2220.57400,-0.24500,5458.18000,10715.60000
2019-09-30,768.64400,1152.53700,7830.05900,128.59200,961.52300,9111.97700,10264.51000,1966.44400,2744.18100,372.29600,3116.47700,5082.92100,2.71000,1948.20200,-0.27000,5181.59200,10264.51000
2019-06-30,659.27400,1003.00600,7802.49200,132.19200,933.74300,9092.53100,10095.54000,1923.00800,2740.32500,362.39700,3102.72200,5025.73000,2.75000,1841.47800,-0.29500,5069.80700,10095.54000
2019-03-31,1080.95300,1407.94800,7506.54300,123.74200,918.22200,8799.38800,10207.34000,1936.82800,3024.41300,312.65600,3337.06900,5273.89700,2.77100,1714.51500,-0.32000,4933.43900,10207.34000
2018-12-31,1133.70000,1595.05400,7253.35300,127.19200,921.79800,8577.92200,10172.98000,2060.92400,3028.06600,266.20400,3294.27000,5355.19400,2.77100,1613.92900,-0.34500,4817.78200,10172.98000
2018-09-30,759.01200,1108.79600,7489.45400,130.64200,918.15910,8946.28400,10055.08000,1968.08400,3005.41800,352.70000,3358.11800,5326.20200,2.82100,1530.08000,-0.37000,4728.87800,10055.08000
2018-06-30,401.91500,771.54900,7499.66500,134.09200,898.88900,9044.02600,9815.57600,1905.72200,3005.69000,377.45200,3383.14200,5288.86400,2.84300,1333.17700,-0.39500,4526.71200,9815.57600
2018-03-31,184.78700,570.24000,7465.02800,137.54200,918.68700,9136.15400,9706.39500,1919.48900,3087.71800,424.53100,3512.24900,5431.73800,2.85900,1087.70100,-0.42400,4274.65700,9706.39500
2017-12-31,306.16800,876.76790,7147.13000,140.99200,876.46400,8809.88100,9686.64900,2187.95200,3006.96700,337.70400,3344.67100,5532.62300,2.86800,980.06100,-0.44500,4154.02600,9686.64900
2017-09-30,197.09700,561.83100,7370.15200,144.44200,955.08500,9409.43800,9971.26900,2209.55900,3109.98400,306.64100,3416.62500,5626.18400,2.94000,1179.44200,-0.46500,4345.08500,9971.26900
2017-06-30,239.85500,604.79400,7090.16400,147.89200,983.24100,9208.08400,9812.87800,1967.99200,3109.99400,290.89000,3400.88400,5368.87600,3.03700,1288.53700,-0.48500,4444.00200,9812.87800
2017-03-31,423.86300,769.24200,7028.33500,151.34200,943.48100,9151.57200,9920.81400,1867.97900,3110.00400,282.68600,3392.69000,5260.66900,3.16100,1516.05900,-0.50500,4660.14500,9920.81400
2016-12-31,723.24800,1262.74400,6770.65500,154.79200,940.60110,8915.45500,10178.20000,2166.78800,3129.29800,222.75100,3352.04900,5518.83700,3.19100,1540.20800,-0.52600,4659.36300,10178.20000
2016-09-30,461.18900,810.20100,6950.24200,158.24200,756.94200,9061.33200,9871.53200,1807.57000,3110.06600,281.86400,3391.93000,5199.50000,3.32400,1548.37500,-0.54800,4672.03200,9871.53200
2016-06-30,255.67100,619.67500,6629.46400,161.37200,819.44900,8887.38100,9507.05600,1799.66700,2603.03300,286.23900,2889.27200,4688.93900,3.43800,1700.20600,-0.56800,4818.11700,9507.05600
2016-03-31,1018.11500,1308.69300,6202.47900,163.18500,824.27010,8534.78700,9843.48000,1745.43800,3067.36300,257.15200,3324.51500,5069.95300,3.46300,1661.76900,-0.58800,4773.52700,9843.48000
2015-12-31,775.43500,1218.15000,5450.05800,110.21500,1016.10400,7971.25600,9189.40600,2112.38500,2074.50500,243.19100,2317.69600,4430.08100,3.49100,1662.64100,-0.60900,4759.32500,9189.40600
2015-09-30,760.09500,1030.75300,5240.93200,113.44000,867.14890,7770.82500,8801.57800,1853.91600,2084.10400,291.95300,2376.05700,4229.97300,3.49200,1466.18900,-0.62700,4571.60500,8801.57800
2015-06-30,477.53500,747.07900,4888.56000,116.66500,788.04300,7410.87700,8157.95600,1702.02800,1583.58000,266.08900,1849.66900,3551.69700,3.54800,1507.10400,-0.64800,4606.25900,8157.95600
2015-03-31,1068.26100,1294.55300,4633.05000,119.89000,705.92900,7138.73200,8433.28500,1646.11500,1820.06700,225.10900,2045.17600,3691.29100,3.65400,1646.57000,-0.66900,4741.99400,8433.28500
2014-12-31,1309.22000,1648.75100,4392.10000,123.11500,684.77600,6920.65900,8569.41000,1754.53100,1818.56100,191.36400,2009.92500,3764.45600,3.69500,1728.95300,-0.69000,4804.95400,8569.41000
2014-09-30,1246.82000,1483.19200,4431.80100,126.34000,651.01800,7131.45300,8614.64500,1698.41700,1817.05400,388.76500,2205.81900,3904.23600,3.73800,1639.34100,-0.71300,4710.40900,8614.64500
2014-06-30,1272.54100,1494.14800,4197.12100,129.59800,644.74300,6973.18800,8467.33600,1613.60700,1815.54800,400.13700,2215.68500,3829.29200,3.76400,1568.99900,-0.73400,4638.04400,8467.33600
2014-03-31,1343.75800,1553.67900,4034.29400,132.87300,595.89700,6797.73200,8351.41100,1498.92400,1814.04100,374.38300,2188.42400,3687.34800,3.79200,1599.57000,-0.75500,4664.06300,8351.41100
2013-12-31,1653.04400,1940.97700,3978.56100,136.14800,591.70300,6793.16600,8734.14300,1686.15000,2058.16800,340.87300,2399.04100,4085.19100,3.81300,1593.91800,-0.79500,4648.95200,8734.14300
2013-09-30,1419.41500,1716.33700,4150.96400,139.42300,578.24200,6977.38500,8693.72200,1774.84500,2056.65700,370.53500,2427.19200,4202.03700,3.83100,1430.63300,-0.71900,4491.68500,8693.72200
2013-06-30,1279.11100,1516.70600,4183.06900,142.69800,609.79800,4935.56400,6452.27100,1674.27200,2082.06200,367.72200,2449.78400,4124.05600,3.88400,-729.81900,-0.79600,2328.21500,6452.27100
2013-03-31,1659.50100,1897.70500,4112.79700,145.97300,584.66600,4843.43600,6741.14100,1630.96500,2511.72900,322.93200,2834.66100,4465.62600,3.87500,-766.22200,-0.94400,2275.51500,6741.14100
2012-12-31,1476.71000,1795.64100,4214.04600,149.24800,575.47400,4938.76800,6734.40900,1735.13200,2509.61300,300.04800,2809.66100,4544.79300,3.86600,-844.14700,-0.99200,2189.61600,6734.40900
2012-09-30,1640.38100,1903.75900,4470.57100,152.52300,613.72700,5236.82100,7140.58000,1694.27300,2999.83700,324.42400,3324.26100,5018.53400,3.86200,-902.88900,-1.13300,2122.04600,7140.58000
2012-06-30,1397.27300,1631.60700,4551.89300,155.79800,613.52700,5321.21800,6952.82500,1554.43300,3093.54800,329.79700,3423.34500,4977.77800,3.83700,-1019.49700,-1.19100,1975.04700,6952.82500
2012-03-31,1301.60400,1485.76800,4720.64800,159.07300,493.95400,5373.67500,6859.44300,1552.93900,3090.94600,286.73000,3377.67600,4930.61500,3.83600,-1061.92800,-1.24900,1928.82800,6859.44300
2011-12-31,1184.93100,1443.00600,4636.46800,162.34800,643.79800,5442.61400,6885.62000,1608.38800,3088.34400,250.27300,3338.61700,4947.00500,3.82600,-1050.14500,-1.30600,1938.61500,6885.62000
2011-09-30,1255.80900,1429.76500,4889.66800,165.62300,743.59800,5798.88900,7228.65400,1670.26100,3335.36300,299.56300,3634.92600,5305.18700,3.82800,-1064.20000,-1.43300,1923.46700,7228.65400
2011-06-30,1203.45700,1352.00600,4905.12300,409.43900,759.03700,6073.59900,7425.60500,1667.04300,3332.26300,376.57200,3708.83500,5375.87800,3.82800,-934.95500,-1.49700,2049.72700,7425.60500
2011-03-31,1426.35300,1570.19900,4767.21600,412.71400,766.50000,5946.43000,7516.62900,1679.48200,3380.98000,356.02700,3737.00700,5416.48900,3.82800,-879.54500,-1.56100,2100.14000,7516.62900
2010-12-31,1507.99100,1684.15500,4781.81300,415.98900,817.41900,6015.22100,7699.37600,1826.40600,3391.66800,346.13500,3737.80300,5564.20900,3.82000,-840.05300,-1.51900,2135.16700,7699.37600
2010-09-30,2656.24400,2810.00600,4975.91100,419.26400,887.45500,6282.63000,9092.63600,2113.01600,4286.38300,396.81400,4683.19700,6796.21300,3.82400,-674.76700,-1.99800,2296.42300,9092.63600
2010-06-30,2775.62700,3019.18800,4883.04900,1077.46200,935.79710,6896.30800,9915.49600,1960.90600,4284.76600,388.03800,4672.80400,6633.71000,3.82700,320.44300,-2.07100,3281.78600,9915.49600
2010-03-31,2612.32900,2782.05200,5022.64200,1081.19100,1023.09900,7126.93200,9908.98400,1966.82000,4283.14900,462.46000,4745.60900,6712.42900,3.82500,244.15600,-2.14700,3196.55500,9908.98400
2009-12-31,1890.61000,2057.42700,4940.35800,1084.46600,1968.97100,7993.79500,10051.22000,2140.27200,4281.53200,434.97800,4716.51000,6856.78200,3.80700,257.14500,-2.24900,3194.44000,10051.22000
2009-09-30,1551.11800,1776.91600,5630.81600,1588.78800,1248.36600,8505.55700,10282.47000,2309.95600,4279.91500,379.19200,4659.10700,6969.06300,3.80400,374.18700,-0.47400,3313.41000,10282.47000
2009-06-30,1636.04000,1726.63500,3677.08500,,999.18900,4676.27400,6402.90900,1088.68000,2974.37300,190.35000,3164.72300,4253.40300,2.58600,737.39500,-1.89200,2149.50600,6402.90900
2009-03-31,1745.79600,1873.69600,3854.04100,,1087.19600,4941.23700,6814.93300,1147.79200,3166.61200,172.74200,3339.35400,4487.14600,2.58600,926.88700,-4.59400,2327.78700,6814.93300
