,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-03-31,4148.00000,813.00000,4961.00000,586.00000,133553.00000,2352.00000,146655.00000,151616.00000,107552.00000,6758.00000,6294.00000,17662.00000,125214.00000,135.00000,34599.00000,4188.00000,26402.00000,151616.00000
2019-12-31,4896.00000,828.00000,5724.00000,581.00000,133967.00000,2368.00000,147044.00000,152768.00000,106554.00000,6569.00000,5316.00000,17255.00000,123809.00000,135.00000,34291.00000,6615.00000,28959.00000,152768.00000
2019-09-30,4216.00000,908.00000,5124.00000,562.00000,136028.00000,2275.00000,149013.00000,154137.00000,107530.00000,6233.00000,5199.00000,17169.00000,124699.00000,135.00000,33710.00000,7251.00000,29438.00000,154137.00000
2019-06-30,3019.00000,883.00000,3902.00000,562.00000,134363.00000,2445.00000,147498.00000,151400.00000,106989.00000,6231.00000,4696.00000,16170.00000,123159.00000,135.00000,33130.00000,6364.00000,28241.00000,151400.00000
2019-03-31,3892.00000,858.00000,4750.00000,559.00000,128274.00000,2204.00000,140929.00000,145679.00000,103680.00000,5900.00000,4868.00000,15950.00000,119630.00000,135.00000,32513.00000,4481.00000,26049.00000,145679.00000
2018-12-31,4337.00000,851.00000,5188.00000,443.00000,122679.00000,2221.00000,135218.00000,140406.00000,103188.00000,5778.00000,3958.00000,13756.00000,116944.00000,135.00000,31788.00000,2151.00000,23462.00000,140406.00000
2018-09-30,3429.00000,784.00000,4213.00000,435.00000,121520.00000,2151.00000,133728.00000,137941.00000,100584.00000,5279.00000,4957.00000,14123.00000,114707.00000,135.00000,31461.00000,1909.00000,23234.00000,137941.00000
2018-06-30,3847.00000,892.00000,4739.00000,448.00000,124843.00000,2216.00000,137247.00000,141986.00000,102310.00000,5315.00000,6492.00000,15876.00000,118186.00000,135.00000,30809.00000,2852.00000,23800.00000,141986.00000
2018-03-31,4080.00000,906.00000,4986.00000,448.00000,129336.00000,2653.00000,142370.00000,147356.00000,105399.00000,5372.00000,7891.00000,17670.00000,123069.00000,135.00000,30183.00000,3685.00000,24287.00000,147356.00000
2017-12-31,3491.00000,827.00000,4318.00000,434.00000,120937.00000,2023.00000,132899.00000,137217.00000,99147.00000,5289.00000,3438.00000,13472.00000,112619.00000,135.00000,29895.00000,4028.00000,24598.00000,137217.00000
2017-09-30,4927.00000,937.00000,5864.00000,439.00000,118292.00000,2075.00000,130219.00000,136083.00000,98713.00000,5248.00000,3950.00000,15393.00000,114106.00000,67.00000,27489.00000,3531.00000,21977.00000,136083.00000
2017-06-30,4264.00000,871.00000,5135.00000,442.00000,118392.00000,2085.00000,130259.00000,135394.00000,98458.00000,5252.00000,4124.00000,15433.00000,113891.00000,67.00000,26942.00000,3401.00000,21503.00000,135394.00000
2017-03-31,4205.00000,618.00000,4823.00000,444.00000,117021.00000,2107.00000,128827.00000,133650.00000,97624.00000,5250.00000,4810.00000,15686.00000,113310.00000,67.00000,26400.00000,2632.00000,20340.00000,133650.00000
2016-12-31,4859.00000,669.00000,5528.00000,433.00000,112256.00000,2609.00000,124291.00000,129819.00000,93726.00000,5360.00000,4864.00000,15611.00000,109337.00000,67.00000,25981.00000,2630.00000,20482.00000,129819.00000
2016-09-30,5270.00000,689.00000,5959.00000,476.00000,124441.00000,3466.00000,138142.00000,144101.00000,105556.00000,5765.00000,3748.00000,15760.00000,121316.00000,67.00000,25404.00000,5364.00000,22785.00000,144101.00000
2016-06-30,3700.00000,758.00000,4458.00000,467.00000,123089.00000,3721.00000,136829.00000,141287.00000,103066.00000,5009.00000,3948.00000,15671.00000,118737.00000,67.00000,24944.00000,5432.00000,22550.00000,141287.00000
2016-03-31,3449.00000,723.00000,4172.00000,443.00000,111621.00000,2601.00000,123594.00000,127766.00000,94128.00000,4984.00000,3527.00000,13617.00000,107745.00000,67.00000,24565.00000,2936.00000,20021.00000,127766.00000
2015-12-31,4350.00000,705.00000,5055.00000,427.00000,102315.00000,1948.00000,113201.00000,118256.00000,87631.00000,4971.00000,3606.00000,12917.00000,100548.00000,67.00000,24007.00000,625.00000,17708.00000,118256.00000
2015-09-30,3520.00000,762.00000,4282.00000,430.00000,102113.00000,2179.00000,113173.00000,117455.00000,87185.00000,5009.00000,3532.00000,13015.00000,100200.00000,67.00000,23451.00000,528.00000,17255.00000,117455.00000
2015-06-30,3103.00000,839.00000,3942.00000,422.00000,100936.00000,2003.00000,111639.00000,115581.00000,84581.00000,5425.00000,3860.00000,13982.00000,98563.00000,67.00000,23052.00000,507.00000,17018.00000,115581.00000
2015-03-31,4363.00000,700.00000,5063.00000,428.00000,105076.00000,2515.00000,116338.00000,121401.00000,85564.00000,6282.00000,5596.00000,17200.00000,102764.00000,67.00000,22648.00000,2332.00000,18637.00000,121401.00000
2014-12-31,4658.00000,842.00000,5500.00000,429.00000,103445.00000,2120.00000,114267.00000,119767.00000,83933.00000,5282.00000,6912.00000,17487.00000,101420.00000,67.00000,22156.00000,1979.00000,18347.00000,119767.00000
2014-09-30,2666.00000,870.00000,3536.00000,449.00000,112795.00000,1760.00000,123717.00000,127253.00000,90200.00000,4558.00000,10173.00000,19200.00000,109400.00000,67.00000,21628.00000,1500.00000,17853.00000,127253.00000
2014-06-30,2252.00000,884.00000,3136.00000,482.00000,113308.00000,1828.00000,124735.00000,127871.00000,95424.00000,4925.00000,5047.00000,14889.00000,110313.00000,67.00000,21089.00000,1606.00000,17558.00000,127871.00000
2014-03-31,1994.00000,732.00000,2726.00000,481.00000,109273.00000,1847.00000,120566.00000,123292.00000,92890.00000,4913.00000,5555.00000,14726.00000,107616.00000,67.00000,20447.00000,307.00000,15676.00000,123292.00000
2013-12-31,2543.00000,1165.00000,3708.00000,481.00000,106714.00000,1606.00000,117599.00000,121307.00000,89402.00000,4897.00000,8670.00000,17285.00000,106687.00000,67.00000,19885.00000,-563.00000,14620.00000,121307.00000
2013-09-30,2749.00000,950.00000,3699.00000,510.00000,104738.00000,1798.00000,116219.00000,119918.00000,93937.00000,4953.00000,3115.00000,11323.00000,105260.00000,67.00000,19380.00000,-461.00000,14658.00000,119918.00000
2013-06-30,2388.00000,889.00000,3277.00000,510.00000,102368.00000,1130.00000,113036.00000,116313.00000,90626.00000,4946.00000,3682.00000,11991.00000,102617.00000,67.00000,18841.00000,-840.00000,13696.00000,116313.00000
2013-03-31,2596.00000,1710.00000,4306.00000,527.00000,105569.00000,926.00000,116232.00000,120538.00000,92951.00000,4283.00000,3970.00000,12052.00000,105003.00000,67.00000,18114.00000,1651.00000,15535.00000,120538.00000
2012-12-31,2041.00000,976.00000,3017.00000,564.00000,117020.00000,835.00000,128077.00000,131094.00000,97720.00000,4352.00000,9186.00000,17396.00000,115116.00000,67.00000,17387.00000,2715.00000,15978.00000,131094.00000
2012-09-30,2985.00000,1005.00000,3990.00000,625.00000,122023.00000,919.00000,133850.00000,137840.00000,105328.00000,4401.00000,8863.00000,16527.00000,121855.00000,66.00000,16969.00000,3087.00000,15985.00000,137840.00000
2012-06-30,2130.00000,747.00000,2877.00000,603.00000,107938.00000,830.00000,119332.00000,122209.00000,99413.00000,3672.00000,2310.00000,8617.00000,108030.00000,66.00000,16108.00000,2171.00000,14179.00000,122209.00000
2012-03-31,2210.00000,744.00000,2954.00000,591.00000,101640.00000,825.00000,112598.00000,115552.00000,93004.00000,3964.00000,2342.00000,8905.00000,101909.00000,66.00000,15779.00000,2000.00000,13643.00000,115552.00000
2011-12-31,2249.00000,680.00000,2929.00000,617.00000,102015.00000,887.00000,113308.00000,116237.00000,94593.00000,3285.00000,3105.00000,8698.00000,103291.00000,66.00000,15148.00000,1965.00000,12946.00000,116237.00000
2011-09-30,1862.00000,1028.00000,2890.00000,626.00000,99712.00000,917.00000,111830.00000,114720.00000,92992.00000,3301.00000,3501.00000,9014.00000,102006.00000,66.00000,15191.00000,1682.00000,12714.00000,114720.00000
2011-06-30,1291.00000,879.00000,2170.00000,611.00000,92432.00000,991.00000,104062.00000,106232.00000,86366.00000,3048.00000,2651.00000,7885.00000,94251.00000,66.00000,14587.00000,1547.00000,11981.00000,106232.00000
2011-03-31,2088.00000,738.00000,2826.00000,604.00000,87099.00000,927.00000,98319.00000,101145.00000,82491.00000,3017.00000,2737.00000,7631.00000,90122.00000,66.00000,14448.00000,715.00000,11023.00000,101145.00000
2010-12-31,2121.00000,661.00000,2782.00000,620.00000,86847.00000,1056.00000,98257.00000,101039.00000,82456.00000,3038.00000,2520.00000,7527.00000,89983.00000,66.00000,14194.00000,862.00000,11056.00000,101039.00000
2010-09-30,2434.00000,640.00000,3074.00000,610.00000,83860.00000,881.00000,94769.00000,97843.00000,78913.00000,3008.00000,2643.00000,7797.00000,86710.00000,66.00000,13758.00000,1294.00000,11133.00000,97843.00000
2010-06-30,2184.00000,659.00000,2843.00000,594.00000,78052.00000,809.00000,88396.00000,91239.00000,73810.00000,2653.00000,2782.00000,7399.00000,81209.00000,66.00000,13340.00000,629.00000,10030.00000,91239.00000
2010-03-31,1611.00000,671.00000,2282.00000,583.00000,73041.00000,750.00000,82896.00000,85178.00000,69504.00000,2584.00000,2474.00000,6687.00000,76191.00000,66.00000,12890.00000,93.00000,8987.00000,85178.00000
2009-12-31,2323.00000,764.00000,3087.00000,593.00000,71518.00000,375.00000,81019.00000,84106.00000,69245.00000,2599.00000,2192.00000,6444.00000,75689.00000,66.00000,12410.00000,29.00000,8417.00000,84106.00000
2009-09-30,1804.00000,849.00000,2653.00000,599.00000,70454.00000,358.00000,79963.00000,82616.00000,69543.00000,2231.00000,1599.00000,5191.00000,74734.00000,66.00000,12290.00000,-368.00000,7882.00000,82616.00000
2009-06-30,1689.00000,840.00000,2529.00000,579.00000,64510.00000,334.00000,73512.00000,76041.00000,64795.00000,1992.00000,2024.00000,4896.00000,69691.00000,66.00000,12058.00000,-1652.00000,6350.00000,76041.00000
2009-03-31,1196.00000,667.00000,1863.00000,570.00000,61132.00000,363.00000,69952.00000,71815.00000,62664.00000,1573.00000,2011.00000,3952.00000,66616.00000,66.00000,11875.00000,-2608.00000,5199.00000,71815.00000
