,cash-on-hand,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-09-30,88.00000,110.97300,11318.00000,,206.52800,11555.59000,11666.56000,167.16000,5226.12500,158.39200,5405.95900,5573.11700,0.00600,-608.49800,-51.40800,6093.44300,11666.56000
2014-06-30,47.53800,114.06000,10982.70000,,219.75600,11234.30000,11348.36000,132.42400,5065.97900,154.21200,5243.75700,5376.18100,0.00600,-575.77200,-53.79400,5972.18200,11348.36000
2014-03-31,48.67100,84.77600,6364.69700,,154.37200,6548.26600,6633.04200,83.47000,2954.29700,33.52200,2987.81900,3071.28900,0.00400,-498.36800,-56.39500,3561.75300,6633.04200
2013-12-31,53.76600,122.02100,4916.43400,4.51300,119.35200,5064.81800,5186.83900,67.18300,3033.52400,83.54500,3117.06900,3184.25200,0.00400,-474.42600,-60.47200,2002.58700,5186.83900
2013-09-30,55.99400,123.62200,4800.69900,,139.16900,4961.98000,5085.60200,83.84400,2920.75600,82.94900,3003.70500,3087.54900,0.00300,-461.00500,-62.58900,1998.05300,5085.60200
2013-06-30,45.38400,155.92800,4763.43800,,116.62400,4903.07000,5058.99800,76.41000,2925.61600,82.57900,3008.19500,3084.60500,0.00300,-484.61500,-62.81300,1974.39300,5058.99800
2013-03-31,55.63400,66.99300,4739.92100,,108.76100,4869.46600,4936.45900,86.46100,2773.53800,87.89600,2861.43400,2947.89500,0.00300,-464.39100,-68.28000,1988.56400,4936.45900
2012-12-31,42.12600,108.28900,4590.35100,,127.71600,4738.93400,4847.22300,64.85800,2818.68300,79.21700,2897.90000,2962.75800,0.00300,-444.46600,-69.26100,1884.46500,4847.22300
2012-09-30,26.87700,77.19300,4257.98800,,178.09000,4457.47900,4534.67200,76.82800,2595.70100,76.70300,2672.40400,2749.23200,0.00300,-448.14200,-76.44900,1785.44000,4534.67200
2012-06-30,27.81000,78.70500,4100.83500,,141.02500,4260.41100,4339.11600,62.63600,2487.74700,74.02900,2561.77600,2624.41200,0.00300,-425.05800,-72.91500,1714.70400,4339.11600
2012-03-31,37.34700,85.40000,3836.17600,,112.77900,3965.97800,4051.37800,62.09200,2342.88300,68.60400,2411.48700,2473.57900,0.00300,-422.91900,-70.56500,1577.79900,4051.37800
2011-12-31,35.46300,101.83200,3820.73000,,96.95700,3935.13200,4036.96400,48.32400,2360.85800,69.70500,2430.56300,2478.88700,0.00300,-408.06600,-72.77100,1558.07700,4036.96400
2011-09-30,33.01700,84.61600,3705.20900,,97.84900,3820.54900,3905.16500,63.00600,2260.21400,71.37300,2331.58700,2394.59300,0.00300,-386.75200,-75.23700,1510.57200,3905.16500
2011-06-30,32.84700,82.80300,3626.14200,,101.11700,3743.05200,3825.85500,49.57700,2254.46100,70.71600,2325.17700,2374.75400,0.00300,-359.66200,-74.91800,1451.10100,3825.85500
2011-03-31,120.78600,169.86100,3583.48800,,97.70000,3696.82500,3866.68600,54.22100,2370.22000,70.45500,2440.67500,2494.89600,0.00300,-338.27300,-77.78500,1371.79000,3866.68600
2010-12-31,35.69400,85.13800,3514.37900,,117.49800,3647.74900,3732.88700,44.75000,2258.74500,70.02900,2328.77400,2373.52400,0.00300,-313.30800,-77.21700,1359.36300,3732.88700
2010-09-30,36.32200,91.92700,3278.66500,,118.77500,3411.82600,3503.75300,57.27400,2062.45100,134.70400,2197.15500,2254.42900,0.00300,-285.69900,-79.73200,1249.32400,3503.75300
2010-06-30,27.79600,83.00500,3109.01900,,118.17200,3241.17700,3324.18200,41.47100,1907.14800,138.44100,2045.58900,2087.06000,0.00300,-260.96600,-68.79100,1237.12200,3324.18200
2010-03-31,40.37900,75.92400,3081.85100,,136.12600,3232.50700,3308.43100,47.74800,1887.65200,102.39100,1990.04300,2037.79100,0.00300,-239.90400,-34.85000,1270.64000,3308.43100
2009-12-31,37.93400,74.23900,3009.21400,,156.19300,3180.39800,3254.63700,38.51400,1847.44200,90.79100,1938.23300,1976.74700,0.00300,-222.95200,-24.20600,1277.89000,3254.63700
2009-09-30,99.07000,144.83200,2956.40800,,148.90400,3120.19000,3265.02200,52.38300,1856.79000,105.06500,1961.85500,2014.23800,0.00300,-199.60000,-38.55100,1250.78400,3265.02200
2009-06-30,79.82600,127.46100,2961.86500,,134.40800,3111.52000,3238.98100,49.18700,1829.42300,88.94600,1918.36900,1967.55600,0.00300,-168.22600,-31.75500,1271.42500,3238.98100
2009-03-31,78.82000,124.96100,2972.94400,,48.55900,3036.95400,3161.91500,48.82400,1811.81600,117.94400,1929.76000,1978.58400,0.00200,-151.61500,-58.94200,1183.33100,3161.91500
