,cash-on-hand,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2018-03-31,15676.00000,15676.00000,474660.00000,319692.00000,814001.00000,829677.00000,412444.00000,18143.00000,337619.00000,365058.00000,777502.00000,6.00000,28898.00000,14761.00000,52175.00000,829677.00000
2017-12-31,14490.00000,14490.00000,473196.00000,325458.00000,817646.00000,832136.00000,406886.00000,17172.00000,343919.00000,370739.00000,777625.00000,6.00000,28671.00000,17074.00000,54511.00000,832136.00000
2017-09-30,14541.00000,14541.00000,468169.00000,319697.00000,806590.00000,821131.00000,403039.00000,17153.00000,337865.00000,367527.00000,770566.00000,6.00000,25060.00000,16598.00000,50565.00000,821131.00000
2017-06-30,16605.00000,16605.00000,461629.00000,315641.00000,795985.00000,812590.00000,400039.00000,17626.00000,334654.00000,363911.00000,763950.00000,6.00000,23146.00000,16362.00000,48640.00000,812590.00000
2017-03-31,13308.00000,13308.00000,454118.00000,311742.00000,784057.00000,797365.00000,393146.00000,17893.00000,328754.00000,357245.00000,750391.00000,6.00000,22983.00000,14643.00000,46974.00000,797365.00000
2016-12-31,14127.00000,14127.00000,447444.00000,304730.00000,769835.00000,783962.00000,387246.00000,18041.00000,322175.00000,350628.00000,737874.00000,6.00000,21946.00000,14621.00000,46088.00000,783962.00000
2016-09-30,24728.00000,24728.00000,469050.00000,309112.00000,795137.00000,819865.00000,399712.00000,18758.00000,329095.00000,363179.00000,762891.00000,6.00000,21969.00000,24925.00000,56974.00000,819865.00000
2016-06-30,24142.00000,24142.00000,455091.00000,301105.00000,772348.00000,796490.00000,386342.00000,18986.00000,320844.00000,354970.00000,741312.00000,6.00000,20451.00000,24667.00000,55178.00000,796490.00000
2016-03-31,22492.00000,22492.00000,435600.00000,298905.00000,750503.00000,772995.00000,375442.00000,19608.00000,316552.00000,348288.00000,723730.00000,6.00000,19843.00000,19066.00000,49265.00000,772995.00000
2015-12-31,17612.00000,17612.00000,420302.00000,302623.00000,739643.00000,757255.00000,362384.00000,19594.00000,324640.00000,352948.00000,715332.00000,6.00000,18931.00000,12285.00000,41923.00000,757255.00000
2015-09-30,20207.00000,20207.00000,420106.00000,298008.00000,734320.00000,754527.00000,360673.00000,20329.00000,321111.00000,351084.00000,711757.00000,6.00000,18515.00000,13463.00000,42770.00000,754527.00000
2015-06-30,17038.00000,17038.00000,415061.00000,314063.00000,745693.00000,762731.00000,355806.00000,20264.00000,335130.00000,364633.00000,720439.00000,6.00000,17314.00000,13404.00000,42292.00000,762731.00000
2015-03-31,19119.00000,19119.00000,424010.00000,319844.00000,759493.00000,778612.00000,358996.00000,19703.00000,342949.00000,374042.00000,733038.00000,6.00000,16173.00000,17752.00000,45574.00000,778612.00000
2014-12-31,14918.00000,14918.00000,423116.00000,312650.00000,751737.00000,766655.00000,357755.00000,19831.00000,336839.00000,366551.00000,724306.00000,6.00000,14888.00000,16050.00000,42349.00000,766655.00000
2014-09-30,17222.00000,17222.00000,419950.00000,310390.00000,746925.00000,764147.00000,359409.00000,22597.00000,331155.00000,362386.00000,721795.00000,6.00000,16616.00000,13501.00000,42352.00000,764147.00000
2014-06-30,12160.00000,12160.00000,422481.00000,314227.00000,753377.00000,765537.00000,357568.00000,23488.00000,334170.00000,366162.00000,723730.00000,6.00000,16357.00000,13077.00000,41807.00000,765537.00000
2014-03-31,12472.00000,12472.00000,411602.00000,306044.00000,734263.00000,746735.00000,352803.00000,22565.00000,325643.00000,355068.00000,707871.00000,6.00000,15517.00000,10798.00000,38864.00000,746735.00000
2013-12-31,11439.00000,11439.00000,401262.00000,302568.00000,720342.00000,731781.00000,346185.00000,23553.00000,320740.00000,349715.00000,695900.00000,6.00000,14531.00000,8681.00000,35881.00000,731781.00000
2013-09-30,12650.00000,12650.00000,401796.00000,292452.00000,710476.00000,723126.00000,349868.00000,23642.00000,309557.00000,338142.00000,688010.00000,6.00000,15335.00000,6899.00000,35116.00000,723126.00000
2013-06-30,13045.00000,13045.00000,396110.00000,281492.00000,692570.00000,705615.00000,343417.00000,23642.00000,297542.00000,326290.00000,669707.00000,6.00000,14486.00000,8449.00000,35908.00000,705615.00000
2013-03-31,14477.00000,14477.00000,410620.00000,284626.00000,709620.00000,724097.00000,351462.00000,25488.00000,298442.00000,331969.00000,683431.00000,6.00000,15203.00000,12418.00000,40666.00000,724097.00000
2012-12-31,18100.00000,18100.00000,408709.00000,268326.00000,691135.00000,709235.00000,352947.00000,24729.00000,283935.00000,317176.00000,670123.00000,6.00000,16066.00000,10214.00000,39112.00000,709235.00000
2012-09-30,13906.00000,13906.00000,380942.00000,263184.00000,657792.00000,671698.00000,321844.00000,23845.00000,277747.00000,310488.00000,632332.00000,6.00000,16896.00000,9650.00000,39366.00000,671698.00000
2012-06-30,14242.00000,14242.00000,369349.00000,250824.00000,633221.00000,647463.00000,311818.00000,24299.00000,264150.00000,297015.00000,608833.00000,6.00000,17524.00000,8290.00000,38630.00000,647463.00000
2012-03-31,14201.00000,14201.00000,357499.00000,252576.00000,623536.00000,637737.00000,305161.00000,24379.00000,265107.00000,297038.00000,602199.00000,6.00000,15339.00000,7226.00000,35538.00000,637737.00000
2011-12-31,14251.00000,14251.00000,359040.00000,234436.00000,605993.00000,620244.00000,307565.00000,24622.00000,246658.00000,277838.00000,585403.00000,6.00000,16629.00000,5245.00000,34841.00000,620244.00000
2011-09-30,15526.00000,15526.00000,355380.00000,224289.00000,595947.00000,611473.00000,306850.00000,23920.00000,234580.00000,266819.00000,573669.00000,6.00000,19332.00000,5292.00000,37804.00000,611473.00000
2011-06-30,13909.00000,13909.00000,338246.00000,243933.00000,599468.00000,613377.00000,293392.00000,24578.00000,253229.00000,284349.00000,577741.00000,6.00000,17811.00000,4014.00000,35636.00000,613377.00000
2011-03-31,10995.00000,10995.00000,331070.00000,239970.00000,588013.00000,599008.00000,289351.00000,24033.00000,246776.00000,276411.00000,565762.00000,6.00000,16978.00000,2564.00000,33246.00000,599008.00000
2010-12-31,12915.00000,12915.00000,286289.00000,224215.00000,526939.00000,539854.00000,242297.00000,23653.00000,234623.00000,264629.00000,506926.00000,6.00000,16381.00000,2978.00000,32928.00000,539854.00000
2010-09-30,11973.00000,11973.00000,289811.00000,210086.00000,514951.00000,526924.00000,241530.00000,22337.00000,221931.00000,251326.00000,492856.00000,6.00000,16794.00000,4729.00000,34068.00000,526924.00000
2010-06-30,11352.00000,11352.00000,275950.00000,194473.00000,484636.00000,495988.00000,233454.00000,22399.00000,204555.00000,232265.00000,465719.00000,6.00000,15555.00000,2200.00000,30269.00000,495988.00000
2010-03-31,9626.00000,9626.00000,268843.00000,198674.00000,482235.00000,491861.00000,230460.00000,21641.00000,208195.00000,233895.00000,464355.00000,6.00000,14478.00000,620.00000,27506.00000,491861.00000
2009-12-31,13164.00000,13164.00000,262874.00000,189587.00000,467039.00000,480203.00000,230495.00000,21037.00000,198928.00000,223979.00000,454474.00000,6.00000,13787.00000,-443.00000,25729.00000,480203.00000
2009-09-30,11971.00000,11971.00000,260652.00000,188717.00000,463496.00000,475467.00000,228003.00000,22759.00000,196451.00000,222617.00000,450620.00000,6.00000,12287.00000,99.00000,24847.00000,475467.00000
2009-06-30,13491.00000,13491.00000,245880.00000,170871.00000,431225.00000,444716.00000,226314.00000,20981.00000,177969.00000,199727.00000,426041.00000,6.00000,11238.00000,-5002.00000,18675.00000,444716.00000
2009-03-31,14336.00000,14336.00000,238762.00000,158494.00000,413193.00000,427529.00000,226365.00000,20662.00000,166223.00000,187658.00000,414023.00000,6.00000,11117.00000,-8575.00000,13506.00000,427529.00000
