,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2013-03-31,1215.23800,14.53600,841.85000,2071.62400,30.56900,57.74600,493.68000,593.43100,2665.05500,384.37700,599.01000,129.57600,728.58600,1112.96300,0.20600,4374.12100,1552.09200,2665.05500
2012-12-31,1341.53000,9.42100,678.13100,2029.08200,29.48100,58.14600,326.88900,575.76000,2604.84200,418.93600,598.98800,106.44100,705.42900,1124.36500,0.20600,4339.08000,1480.47700,2604.84200
2012-09-30,1205.99500,9.97300,700.17600,1916.14400,29.31300,48.92700,470.13200,564.58200,2480.72600,405.29000,598.96700,97.16100,696.12800,1101.41800,0.20600,4278.45300,1379.30800,2480.72600
2012-06-30,743.03000,9.61200,701.16300,1453.80500,27.06100,48.92700,444.51900,537.15500,1990.96000,376.08800,,93.04800,93.04800,469.13600,0.20600,4225.45300,1521.82400,1990.96000
2012-03-31,688.10600,6.02800,635.74600,1329.88000,25.96600,48.92700,428.59300,521.03200,1850.91200,349.82100,,82.85000,82.85000,432.67100,0.20600,4178.61500,1418.24100,1850.91200
2011-12-31,732.68400,6.78900,533.15000,1272.62300,24.93700,48.92700,256.93500,506.86200,1779.48500,337.46700,,67.21900,67.21900,404.68600,0.20600,4158.49200,1374.79900,1779.48500
2011-09-30,688.65100,7.28100,581.21300,1277.14500,24.05200,48.92700,427.69000,522.47100,1799.61600,380.22000,,73.37700,73.37700,453.59700,0.20600,4126.10000,1346.01900,1799.61600
2011-06-30,1110.97000,7.87100,535.17900,1654.02000,24.61100,48.92700,425.09500,521.65500,2175.67500,449.50900,,75.37000,75.37000,524.87900,0.20600,4082.69100,1650.79600,2175.67500
2011-03-31,1325.83600,7.37800,492.24400,1825.45800,19.85000,48.92700,358.69200,450.27000,2275.72800,386.05100,,71.47600,71.47600,457.52700,0.20600,4044.24600,1818.20100,2275.72800
2010-12-31,1370.63600,6.94800,431.32900,1808.91300,20.47300,48.92700,174.44700,451.14800,2260.06100,457.89000,,61.79700,61.79700,519.68700,0.20600,4029.07200,1740.37400,2260.06100
2010-09-30,1251.07000,10.71400,562.31400,1824.09800,19.60000,48.92700,334.42300,425.72100,2249.81900,484.73500,,78.40600,78.40600,563.14100,0.20600,3970.37400,1686.67800,2249.81900
2010-06-30,1510.19500,15.01100,420.70100,1945.90700,19.89600,48.92700,321.72500,413.52800,2359.43500,474.62500,,69.34400,69.34400,543.96900,0.20600,3926.43000,1815.46600,2359.43500
2010-03-31,1550.67700,8.09100,499.90900,2058.67700,19.80400,48.92700,325.16000,417.72000,2476.39700,402.04200,133.37000,72.26100,205.63100,607.67300,0.20600,3855.15400,1868.72400,2476.39700
2009-12-31,1509.78200,7.99500,418.71800,1936.49500,20.66100,48.92700,118.91700,459.27500,2395.77000,375.63200,133.37000,129.50600,262.87600,638.50800,0.20600,3823.06700,1757.26200,2395.77000
2009-09-30,1485.17200,9.01500,478.83900,1973.02600,21.16800,48.92700,274.19800,401.75400,2374.78000,450.10800,133.37000,119.71500,253.08500,703.19300,0.20600,3762.42800,1671.58700,2374.78000
2009-06-30,1364.80700,9.22700,460.57000,1834.60400,22.24600,48.92700,265.31800,402.48100,2237.08500,422.26300,135.37000,130.85000,266.22000,688.48300,0.20600,3690.30100,1548.60200,2237.08500
2009-03-31,1351.67400,9.25100,370.52900,1731.45400,24.20800,48.92700,257.25600,399.69600,2131.15000,370.45800,163.32000,122.40100,285.72100,656.17900,0.20600,3648.87500,1474.97100,2131.15000
