,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2014-06-30,16.20000,404.50000,172.80000,,416.60000,1010.10000,8566.20000,338.60000,1403.80000,10376.50000,11386.60000,1733.20000,2829.90000,892.40000,6114.30000,7847.50000,1.10000,1837.60000,-0.20000,3539.10000,11386.60000
2014-03-31,14.50000,418.30000,151.00000,,352.40000,936.20000,8426.20000,332.90000,1352.90000,10180.60000,11116.80000,1384.20000,2980.60000,874.10000,6199.40000,7583.60000,1.10000,1832.20000,-0.20000,3533.20000,11116.80000
2013-12-31,9.80000,473.30000,211.80000,,179.60000,1011.20000,8326.50000,329.60000,1359.30000,10101.20000,11112.40000,1433.30000,2977.80000,898.80000,6195.90000,7629.20000,1.10000,1780.70000,-0.20000,3483.20000,11112.40000
2013-09-30,17.70000,266.70000,220.50000,,244.00000,880.10000,7685.30000,324.70000,1992.00000,10101.10000,10981.20000,1052.80000,3104.80000,934.60000,6459.90000,7512.70000,1.10000,1767.30000,-0.80000,3468.50000,10981.20000
2013-06-30,11.50000,275.10000,191.20000,,273.30000,893.40000,8027.20000,321.30000,1533.80000,9994.20000,10887.60000,1072.50000,3141.40000,961.10000,6452.80000,7525.30000,1.10000,1661.70000,-0.80000,3362.30000,10887.60000
2013-03-31,53.40000,319.50000,173.70000,,231.30000,870.40000,7913.60000,321.60000,1519.40000,9863.50100,10733.90000,1038.10000,3121.90000,964.50000,6348.10000,7386.20000,1.10000,1648.40000,-0.80000,3347.70000,10733.90000
2012-12-31,21.20000,304.30000,203.90000,40.40000,254.30000,994.30000,7838.00000,319.00000,1528.90000,9791.20000,10785.50000,1020.00000,3136.60000,988.90000,6423.70000,7443.70000,1.10000,1630.70000,-0.80000,3341.80000,10785.50000
2012-09-30,41.10000,377.50000,209.20000,70.80000,240.00000,1028.60000,7384.60000,314.10000,1425.50000,9222.30100,10250.90000,945.50000,2828.10000,1007.00000,6042.60000,6988.10000,1.10000,1612.10000,-0.80000,3262.80000,10250.90000
2012-06-30,30.80000,258.70000,205.80000,72.20000,270.00000,920.40000,7248.00000,308.40000,1380.60000,9013.80000,9934.20000,957.30000,2752.80000,956.80000,5815.60000,6772.90000,1.10000,1511.30000,-0.80000,3161.30000,9934.20000
2012-03-31,30.90000,127.10000,200.10000,91.80000,330.70000,780.60000,7081.30000,303.70000,1380.40000,8847.60100,9628.20000,773.30000,2728.20000,975.00000,5710.50000,6483.80000,1.10000,1495.20000,-0.80000,3144.40000,9628.20000
2011-12-31,11.40000,242.10000,218.10000,77.90000,298.30000,870.60000,7033.30000,300.70000,1391.40000,8817.30000,9687.90000,855.20000,2703.10000,1004.80000,5672.80000,6528.00000,1.10000,1510.20000,-0.80000,3159.90000,9687.90000
2011-09-30,45.70000,392.80000,205.10000,132.10000,171.40000,947.10000,6937.90000,299.20000,1203.70000,8534.20000,9481.30000,774.40000,2703.60000,997.70000,5558.40000,6332.80000,1.10000,1500.20000,-0.60000,3148.50000,9481.30000
2011-06-30,77.10000,249.40000,185.30000,185.70000,180.30000,877.80000,6866.40000,296.10000,1139.00000,8423.40000,9301.20000,760.10000,2703.50000,983.60000,5466.80000,6226.90000,1.10000,1425.10000,-0.60000,3074.30000,9301.20000
2011-03-31,126.10000,333.60000,170.20000,192.10000,155.00000,977.00000,6823.40000,292.20000,1177.00000,8423.50000,9400.50000,778.90000,2703.60000,978.50000,5514.00000,6292.90000,1.10000,1421.10000,-1.40000,3107.60000,9400.50000
2010-12-31,159.30000,333.60000,233.00000,175.50000,191.30000,1092.70000,6730.60000,227.90000,1094.00000,8190.20000,9282.90000,866.70000,2703.40000,835.30000,5276.80000,6143.50000,1.10000,1394.70000,-1.40000,3139.40000,9282.90000
2010-09-30,137.00000,451.40000,240.10000,,339.10000,1167.60000,6556.90000,287.20000,1074.40000,8058.20000,9225.80000,691.90000,2703.80000,972.90000,5460.30000,6152.20000,1.10000,1391.10000,-1.70000,3073.60000,9225.80000
2010-06-30,171.10000,392.80000,217.00000,,373.20000,1154.10000,6424.10000,286.00000,1035.40000,7889.50000,9043.60000,894.10000,2503.60000,1017.00000,5184.50000,6078.60000,1.10000,1285.70000,-2.30000,2965.00000,9043.60000
2010-03-31,140.20000,511.60000,191.00000,,421.70000,1264.50000,6328.40000,285.70000,1041.60000,7810.90000,9075.40000,1255.50000,2204.70000,1034.50000,4859.80000,6115.30000,1.10000,1281.50000,-1.40000,2960.10000,9075.40000
2009-12-31,175.30000,502.60000,238.50000,,473.60000,1390.00000,6192.90000,281.50000,999.30000,7646.00000,9036.00000,1076.60000,2404.50000,1028.20000,4940.90000,6017.50000,1.10000,1281.70000,-1.40000,3018.50000,9036.00000
2009-09-30,176.70000,447.30000,244.50000,,365.90000,1234.40000,5757.20000,275.00000,1310.10000,7521.30000,8755.70000,992.80000,2155.90000,999.90000,4817.30000,5810.10000,1.10000,1269.50000,-1.00000,2945.60000,8755.70000
2009-06-30,246.20000,342.80000,216.20000,,332.70000,1137.90000,5540.70000,267.10000,1202.40000,7197.40000,8335.30000,1146.60000,1648.20000,873.50000,4158.50000,5305.10000,1.10000,1355.20000,-1.40000,3030.20000,8335.30000
2009-03-31,283.70000,426.80000,181.40000,,339.00000,1230.90000,5572.90000,262.60000,962.20000,7008.50000,8239.40000,1052.60000,1648.50000,899.90000,4144.50000,5197.10000,1.10000,1367.40000,-1.50000,3042.30000,8239.40000
