,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2015-09-30,13.00700,520.73300,278.52300,191.85900,1061.97900,11602.69000,,67.79400,13813.04000,14875.02000,1523.36200,3257.34700,2057.64600,8560.33700,10083.70000,2529.01900,2190.38700,-63.99000,4791.31900,14875.02000
2015-06-30,13.55700,471.93400,274.29700,194.12700,1031.75600,11471.20000,,70.50000,13669.73000,14701.48000,1339.85900,3565.85700,2054.45900,8835.98100,10175.84000,2526.94500,1933.25600,-65.60000,4525.64300,14701.48000
2015-03-31,11.66400,337.61400,265.98100,206.66200,935.44200,11324.76000,,172.69200,13500.27000,14435.70000,1373.97600,3281.31900,1671.09300,8508.72100,9882.69600,2523.24700,1942.19400,-66.38200,4553.00700,14435.70000
2014-12-31,7.60400,398.27700,255.98600,189.33600,973.43500,11194.33000,,71.66700,13315.46000,14288.89000,1559.14300,3006.57300,1989.09300,8210.64500,9769.78800,2512.97000,1926.06500,-68.14100,4519.10200,14288.89000
2014-09-30,10.47100,543.75300,263.05600,162.45100,1040.93200,11003.57000,,77.86500,12939.42000,13980.35000,1448.51800,3037.80100,1934.00700,7887.81700,9336.33500,2502.21700,2052.20700,-62.40200,4644.01300,13980.35000
2014-06-30,9.16100,495.06500,269.14500,142.06800,999.07200,11029.04000,,82.96100,12691.25000,13690.32000,1554.70700,2999.51300,1737.48300,7753.74800,9308.45500,2500.06400,1808.23200,-74.21700,4381.86200,13690.32000
2014-03-31,103.42100,336.93400,259.89700,139.04800,897.93000,10955.05000,,82.37900,12552.87000,13450.80000,1394.64300,3045.61400,1678.90000,7678.45300,9073.09600,2497.48500,1801.04700,-74.90200,4377.70100,13450.80000
2013-12-31,9.52600,529.01400,259.71000,154.20700,1043.60900,10888.99000,,84.69000,12465.08000,13508.69000,1618.64400,2796.46500,1735.24600,7549.58200,9168.22600,2491.55800,1785.27300,-78.05300,4340.46000,13508.69000
2013-09-30,135.45700,689.70800,258.34400,179.48700,1350.48600,10529.07000,,86.26500,12472.18000,13822.67000,1446.94300,2820.31500,1714.80400,7954.30000,9401.24300,2489.18000,1886.03800,-89.33500,4421.42800,13822.67000
2013-06-30,27.80300,508.68500,253.43200,171.22300,1066.28900,10472.34000,,96.22200,12496.41000,13562.69000,1537.21800,2820.17200,1726.24900,7856.24100,9393.45900,2486.87100,1659.86800,-104.45700,4169.23500,13562.69000
2013-03-31,25.10900,358.40300,258.81600,153.58300,871.77700,10427.24000,,98.37200,12429.15000,13300.93000,891.51100,3304.45800,1853.82500,8257.08600,9148.60000,2484.34700,1648.52100,-107.93100,4152.33000,13300.93000
2012-12-31,26.20200,371.15300,249.43000,206.75000,1005.72600,10396.39000,,98.58500,12373.89000,13379.62000,1083.54200,3199.08800,1684.75100,8193.78400,9277.32600,2466.92300,1624.10200,-114.00800,4102.28900,13379.62000
2012-09-30,79.47900,497.43700,250.26000,176.18900,1098.85200,10224.51000,,100.87700,12361.43000,13460.29000,949.34800,3338.95100,1664.93700,8325.35400,9274.70200,2456.10700,1721.05000,-119.47500,4185.58400,13460.29000
2012-06-30,11.22800,482.75500,247.39900,118.34400,947.41600,10117.68000,,108.32600,12266.99000,13214.41000,1104.32300,3371.41200,1649.53900,8210.74700,9315.07000,2453.45300,1476.25900,-150.31800,3899.33700,13214.41000
2012-03-31,20.71000,349.12300,240.14000,153.60300,904.80000,10059.21000,,117.53900,12279.11000,13183.91000,1157.89900,3341.19800,1627.16600,8164.58600,9322.48500,2450.29600,1468.86900,-167.77700,3861.42900,13183.91000
2011-12-31,33.58300,412.14000,226.38700,153.78900,956.47000,9962.25800,,113.91000,12154.55000,13111.02000,1342.70500,3019.05400,1624.37500,7837.72800,9180.43200,2444.24700,1534.48300,-152.16300,3930.58600,13111.02000
2011-09-30,564.71200,545.91100,228.52100,144.35900,1591.23500,9801.83900,,164.24800,11559.13000,13150.36000,1783.26800,3046.58700,1484.57000,7364.10000,9147.36800,2441.62100,1579.24000,-121.54400,4002.99500,13150.36000
2011-06-30,92.27400,454.42300,221.21500,155.69800,1036.85300,9656.22200,,174.86900,11437.23000,12474.08000,1831.29400,2761.69500,1471.12700,6927.17600,8758.47000,2438.25600,1323.89200,-142.67500,3715.61000,12474.08000
2011-03-31,114.19300,395.82200,181.56800,142.19000,958.01700,9580.28900,,170.68700,11344.87000,12302.89000,1674.21200,2845.47900,1454.55800,6899.90700,8574.11900,2434.78400,1351.71600,-149.32100,3728.77100,12302.89000
2010-12-31,110.18800,422.00100,202.98900,164.43600,1024.51100,9578.81900,,155.24800,11368.49000,12393.00000,1449.70400,3045.79400,1445.29200,7168.06800,8617.77200,2421.37200,1423.96100,-159.76700,3775.22600,12393.00000
2010-09-30,195.91500,582.38000,196.25400,134.77100,1243.33200,9525.74800,,232.86800,11192.16000,12435.49000,967.80700,3463.30600,1569.64100,7639.45000,8607.25800,2418.66000,1473.68300,-173.26000,3828.22900,12435.49000
2010-06-30,50.50200,440.05200,201.68800,207.32800,1086.78600,9475.12600,,219.09600,11071.41000,12158.20000,1227.10900,3326.52400,1585.64000,7338.08800,8565.19700,2411.59700,1239.86500,-169.18000,3593.00300,12158.20000
2010-03-31,3.52800,315.13900,209.02500,115.00400,720.61100,9485.91300,104.17700,218.43700,11214.31000,11934.92000,1393.72600,3306.47600,1598.09800,7211.19300,8604.91900,2155.97700,1238.94000,-178.25000,3330.00000,11934.92000
2009-12-31,145.37800,432.73800,215.26500,81.36600,928.73700,9404.53800,119.98900,138.94600,11057.59000,11986.32000,1108.94300,3496.52400,1645.42000,7449.37600,8558.31600,2153.29500,1298.21300,-131.58700,3428.00400,11986.32000
2009-09-30,100.82400,703.99510,227.66600,59.69800,1150.82300,9161.70700,150.25300,128.72700,10680.40000,11831.22000,954.43600,3519.93400,1662.53200,7451.62400,8406.06000,2149.46500,1381.54700,-130.53900,3425.16300,11831.22000
2009-06-30,181.57000,568.52100,237.54200,95.83300,1184.82200,9084.02900,199.47000,124.26400,10678.01000,11862.84000,1296.01700,3528.98700,1613.13600,7330.84600,8626.86300,2147.02200,1248.08600,-183.90300,3235.97300,11862.84000
2009-03-31,32.80400,299.29500,229.98500,119.78600,801.56400,8989.42500,213.47800,130.27500,10616.20000,11417.77000,1032.55600,3529.10900,1576.10900,7187.94200,8220.49800,2147.24500,1234.68800,-214.62600,3197.26800,11417.77000
