,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2013-03-31,524.13600,2048.48500,2572.62100,16162.52000,533.95400,17229.45000,19802.07000,11851.67000,818.17400,315.36500,1133.53900,12985.21000,0.67600,5973.37800,466.43600,6816.86600,19802.07000
2012-12-31,537.05000,1965.38200,2502.43200,16169.36000,540.82800,17275.48000,19777.91000,11884.61000,818.16100,341.66900,1159.83000,13044.44000,0.67100,5613.26600,537.04900,6733.46700,19777.91000
2012-09-30,478.55800,1867.85700,2346.41500,16184.02000,579.82100,17321.06000,19667.47000,11577.85000,818.14700,486.10200,1304.24900,12882.10000,0.67000,5579.22400,593.79600,6785.37200,19667.47000
2012-06-30,398.85100,1610.00200,2008.85300,15760.28000,554.40400,16894.40000,18903.25000,11329.13000,818.13400,338.63900,1156.77300,12485.90000,0.66900,5353.19900,438.13900,6417.35100,18903.25000
2012-03-31,472.04700,1664.32800,2136.37500,15770.80000,592.76300,17029.03000,19165.40000,11639.83000,818.12200,376.44700,1194.56900,12834.40000,0.66700,5163.77700,464.20100,6330.99800,19165.40000
2011-12-31,448.65100,1699.51000,2148.16100,15478.92000,555.66200,16745.39000,18893.55000,11744.76000,818.10900,259.31200,1077.42100,12822.18000,0.66500,4884.71400,366.97800,6071.37500,18893.55000
2011-09-30,443.70600,1745.64100,2189.34700,15400.02000,584.79200,16546.24000,18735.59000,11506.92000,818.09700,318.72700,1136.82400,12643.75000,0.66400,4869.45800,402.94600,6091.84100,18735.59000
2011-06-30,411.52300,1860.32300,2271.84600,15569.42000,680.98100,16732.07000,19003.92000,11719.39000,858.08400,273.88100,1131.96500,12851.36000,0.66400,4832.34000,460.40300,6152.55800,19003.92000
2011-03-31,284.14700,1865.32800,2149.47500,15219.42000,916.09300,16642.96000,18792.43000,11667.70000,858.07300,352.49300,1210.56600,12878.26000,0.66200,4727.10900,337.33700,5914.17000,18792.43000
2010-12-31,258.40800,1653.76500,1912.17300,15255.60000,683.55400,16472.03000,18384.20000,11055.86000,868.06000,176.75600,1044.81600,12100.68000,0.66000,5069.04800,332.25800,6283.51700,18384.20000
2010-09-30,201.14000,1691.45500,1892.59500,15432.26000,727.23800,16657.32000,18549.91000,11139.07000,901.04800,228.17800,1129.22600,12268.29000,0.66000,4792.57800,559.59100,6281.62000,18549.91000
2010-06-30,191.45300,1717.00700,1908.46000,15065.04000,692.32400,16298.42000,18206.88000,10943.83000,951.03600,276.41300,1227.44900,12171.28000,0.66000,4644.95200,366.86600,6035.59900,18206.88000
2010-03-31,214.15900,1780.35800,1994.51700,14973.56000,647.31100,16165.57000,18160.09000,11054.84000,818.02600,250.26200,1068.28800,12123.13000,0.66000,4515.83500,300.97700,6036.95500,18160.09000
2009-12-31,247.59800,1760.12500,2007.72300,14830.10000,626.96900,15993.59000,18001.31000,10628.17000,1017.98400,253.43900,1271.42300,11899.59000,0.65800,4566.77100,272.03800,6101.72200,18001.31000
2009-09-30,265.07500,1649.07500,1914.15000,14997.17000,604.44000,16214.74000,18128.89000,10666.68000,1017.93400,359.32700,1377.26100,12043.94000,0.65800,4398.21200,332.56400,6084.95200,18128.89000
2009-06-30,472.30000,1722.46800,2194.76800,13886.56000,547.62300,15132.17000,17326.94000,10512.41000,1017.88600,251.22700,1269.11300,11781.52000,0.65700,4198.69400,-43.88400,5545.41500,17326.94000
2009-03-31,467.24800,1671.59200,2138.84000,13269.55000,581.28300,14586.15000,16724.99000,10445.23000,1017.83800,222.07400,1239.91200,11685.14000,0.65700,3898.34300,-294.63600,5039.85400,16724.99000
