,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2020-06-30,512.32300,55.13600,152.11900,,29.28600,748.86400,251.98000,3.03200,6.57100,47.27600,322.29100,1071.15500,136.78500,49.80100,85.42500,222.21000,605.16500,247.86400,-4.08400,848.94500,1071.15500
2020-03-31,489.26600,54.34100,131.49900,,29.67900,704.78500,236.80700,3.05700,6.57100,42.46300,302.71900,1007.50400,112.49500,44.22300,81.81900,194.31400,581.73600,241.46500,-10.01100,813.19000,1007.50400
2019-12-31,455.39700,52.70400,127.50000,,19.60500,655.20600,228.31500,,6.57100,49.09000,301.16900,956.37500,98.22500,84.65900,84.65900,182.88400,549.51700,229.45000,-5.47600,773.49100,956.37500
2019-09-30,418.74000,58.26100,135.63400,,16.66000,629.29500,217.04300,3.26400,6.57100,43.34300,286.84000,916.13500,105.02600,76.68100,76.68100,181.70700,528.77500,215.69200,-10.03900,734.42800,916.13500
2019-06-30,366.47100,55.39800,143.62200,,19.64500,585.13600,213.83000,3.21500,6.57100,42.67500,282.97700,868.11300,88.12000,75.83900,75.83900,163.95900,503.75900,204.53300,-4.13800,704.15400,868.11300
2019-03-31,359.02400,58.88900,142.54300,,13.62900,574.08500,205.49700,3.29000,6.57100,41.98700,274.12400,848.20900,91.57600,76.38200,76.38200,167.95800,478.91300,202.37800,-1.04000,680.25100,848.20900
2018-12-31,377.28100,55.21400,136.38400,,11.93100,580.81000,150.00100,3.24100,6.57100,35.97900,212.62200,793.43200,80.43900,72.90000,72.90000,153.33900,450.90800,194.72800,-5.54300,640.09300,793.43200
2018-09-30,347.84800,59.88700,136.79000,,12.87600,557.40100,147.49700,5.25700,6.87900,33.27100,205.75600,763.15700,85.50700,67.48600,67.48600,152.99300,435.08500,180.81900,-5.74000,610.16400,763.15700
2018-06-30,313.50300,53.46000,128.90900,,13.97400,509.84600,150.65800,5.24700,7.07500,31.33500,210.10600,719.95200,75.32600,65.60600,65.60600,140.93200,417.86600,162.85900,-1.70500,579.02000,719.95200
2018-03-31,307.25900,48.24100,111.89700,,16.70700,484.10400,153.77000,5.25000,7.27200,31.53100,213.66300,697.76700,73.30100,66.16000,66.16000,139.46100,401.00700,152.25700,5.04200,558.30600,697.76700
2017-12-31,299.09000,38.03700,99.28100,,12.76200,449.17000,144.63600,5.25600,7.52200,30.06800,203.39900,652.56900,65.91700,64.64500,64.64500,130.56200,376.58600,143.60800,1.81300,522.00700,652.56900
2017-09-30,299.59800,50.75700,99.88700,13.56000,,463.80200,100.62900,5.36800,8.03500,26.51800,141.21100,605.01300,66.16800,33.32200,33.32200,99.49000,364.72600,140.45500,0.34200,505.52300,605.01300
2017-06-30,277.67100,41.98200,92.66600,14.89400,,427.21300,100.56200,5.34800,8.54800,25.72500,140.83300,568.04600,62.78600,31.46700,31.46700,94.25300,349.44700,125.72600,-1.38000,473.79300,568.04600
2017-03-31,278.64100,38.11500,78.53500,11.04500,,406.33600,85.61700,5.34200,9.06000,29.80800,130.46800,536.80400,56.00800,29.66800,29.66800,85.67600,334.22200,119.61300,-2.70700,451.12800,536.80400
2016-12-31,268.22400,34.24800,71.46900,9.04300,,382.98400,85.17100,5.35400,9.57300,27.41100,128.14200,511.12600,52.92100,27.08900,27.08900,80.01000,315.96900,119.36200,-4.21500,431.11600,511.12600
2016-09-30,259.06300,33.33500,70.69200,3.72000,,366.81000,82.09700,5.38200,10.08600,29.83700,128.04600,494.85600,55.51600,23.04200,23.04200,78.55800,304.70000,111.53500,0.06300,416.29800,494.85600
2016-06-30,243.86400,31.35100,69.91900,3.98000,,349.11400,74.29300,5.29400,10.59800,28.69800,119.52700,468.64100,52.11100,21.39000,21.39000,73.50100,289.12900,105.88300,0.12800,395.14000,468.64100
2016-03-31,251.50100,28.83600,62.31800,2.90900,,345.56400,66.52700,5.35300,11.11100,17.89400,101.54800,447.11200,45.32300,19.80300,19.80300,65.12600,276.45000,103.36200,2.17400,381.98600,447.11200
2015-12-31,234.96300,30.83000,63.20900,2.92600,,331.92800,65.35900,5.36100,11.62400,16.34100,99.35700,431.28500,43.28300,19.48600,19.48600,62.76900,265.76300,101.28700,1.46600,368.51600,431.28500
2015-09-30,229.66300,30.47500,67.30900,2.52100,,329.96800,60.08800,5.36400,12.13700,11.49100,90.11100,420.07900,48.62000,14.11700,17.34600,65.96600,251.29800,99.73100,3.08400,354.11300,420.07900
2015-06-30,231.03400,26.76500,64.96400,2.55400,,325.31700,62.16300,5.37500,12.64900,11.06600,92.30600,417.62300,46.23400,13.60900,16.62700,62.86100,251.55300,97.02300,6.18600,354.76200,417.62300
2015-03-31,233.75700,25.34300,53.39600,2.72700,,315.22300,64.25600,5.39400,13.01600,10.68900,94.40700,409.63000,45.89200,12.27000,18.28600,64.17800,241.73700,97.61900,6.09600,345.45200,409.63000
2014-12-31,238.71800,25.63000,40.91800,2.64600,,307.91200,62.94200,5.38900,13.38300,8.45700,91.45400,399.36600,36.86100,16.08000,16.08000,52.94100,240.50000,100.11400,5.81100,346.42500,399.36600
2014-09-30,228.66100,24.27400,41.58700,2.78800,,297.31000,63.42800,9.79500,13.74900,7.94000,95.38900,392.69900,36.92800,14.11000,14.11000,51.03800,238.60200,97.39800,5.66100,341.66100,392.69900
2014-06-30,240.87500,21.42000,41.19800,2.50900,,306.29700,64.44700,9.84800,,5.58600,80.35700,386.65400,41.97000,10.05600,10.05600,52.02600,236.51900,92.26900,5.84000,334.62800,386.65400
2014-03-31,228.63500,22.05700,39.82900,2.44400,,293.25700,65.89700,9.84300,,5.15900,81.37500,374.63200,30.63900,9.32600,9.32600,39.96500,237.05900,91.95600,5.65200,334.66700,374.63200
2013-12-31,226.33900,23.73000,39.73700,2.28000,,292.08600,64.83700,9.86000,,1.64400,76.82200,368.90800,38.48900,1.47800,7.02000,45.50900,234.20100,82.93800,6.26000,323.39900,368.90800
2013-09-30,204.34800,21.95700,42.97500,1.65100,,270.95000,67.22100,9.84700,,1.35300,79.09000,350.04000,26.35900,6.35000,6.35000,32.70900,235.99300,75.43900,5.89900,317.33100,350.04000
2013-06-30,189.61900,20.31900,40.26800,1.73100,,251.95200,67.28100,11.69800,,0.99400,80.64200,332.59400,32.61300,6.01900,6.01900,38.63200,220.64800,68.02900,5.28500,293.96200,332.59400
2013-03-31,175.04300,22.66900,34.94900,1.76400,,234.43100,62.87100,11.71500,,1.10500,76.36000,310.79100,27.81000,6.67000,6.67000,34.48000,209.31600,62.53900,4.45600,276.31100,310.79100
2012-12-31,160.62500,19.38300,32.11500,2.17700,,214.30100,59.41200,11.75500,,1.02500,72.86100,287.16200,23.46000,,5.40800,28.86800,194.07900,60.04000,4.17500,258.29400,287.16200
2012-09-30,185.52600,21.56100,32.62300,2.21400,,242.56800,59.88300,11.75600,,1.04300,72.70100,315.26900,24.86400,5.34100,5.34100,30.20500,185.58300,95.45600,4.02500,285.06400,315.26900
2012-06-30,184.65700,21.41500,29.45500,1.97800,,238.15100,59.58400,11.71400,,0.60600,71.92300,310.07400,35.58400,5.24900,5.24900,40.83300,175.62400,89.53500,4.08200,269.24100,310.07400
2012-03-31,180.92800,19.94700,21.54700,2.35200,,225.42000,51.43700,13.66500,,0.63900,65.76000,291.18000,31.46900,4.93000,4.93000,36.39900,167.77300,82.94300,4.06500,254.78100,291.18000
2011-12-31,174.19800,15.09700,20.10400,1.68500,,211.50500,47.79400,13.67500,,0.65400,62.36200,273.86700,26.07000,4.92000,4.92000,30.99000,159.33600,79.94800,3.59300,242.87700,273.86700
2011-09-30,160.83100,16.42000,23.55800,1.99300,,203.12600,47.60800,15.72000,,0.66900,64.03600,267.16200,25.08900,5.02000,5.02000,30.10900,156.16400,77.49500,3.39400,237.05300,267.16200
2011-06-30,163.32600,17.58900,24.71500,1.69200,,207.77400,37.43300,17.22000,,0.69400,55.38600,263.16000,31.00900,5.02100,5.02100,36.03000,152.12900,72.02200,2.97900,227.13000,263.16000
2011-03-31,176.01900,17.64200,23.11700,2.68600,,219.66900,37.32600,17.27000,,0.70600,55.34100,275.01000,26.74000,5.02100,5.02100,31.76100,172.44300,68.54000,2.26600,243.24900,275.01000
2010-12-31,177.71900,18.34700,25.78900,2.31400,,224.37300,37.26200,19.18000,,0.74900,57.23000,281.60300,28.97000,5.73800,5.73800,34.70800,178.26900,66.64700,1.97900,246.89500,281.60300
2010-09-30,185.00600,32.28900,19.45900,2.90400,,239.66600,32.46100,19.41500,,0.71500,52.76600,292.43200,33.41200,5.67100,5.67100,39.08300,188.84000,63.06600,1.44300,253.34900,292.43200
2010-06-30,189.79100,30.32200,14.45800,2.82000,,237.39600,27.25300,19.49500,,0.73100,47.65400,285.05000,29.50500,5.57700,5.57700,35.08200,199.33000,49.84800,0.79000,249.96800,285.05000
2010-03-31,175.58900,24.54100,14.55000,2.49100,,217.17600,21.69600,19.55500,,0.71300,42.13900,259.31500,25.45500,4.97300,4.97300,30.42800,184.86000,43.44000,0.58700,228.88700,259.31500
2009-12-31,165.63100,15.52100,19.61600,2.72600,,203.49900,17.96800,19.44500,,0.73400,38.32200,241.82100,23.92200,4.94200,4.94200,28.86400,175.51800,37.08500,0.35400,212.95700,241.82100
2009-09-30,149.75600,19.49300,20.35800,2.79000,,192.47300,17.01200,19.46500,,0.43800,36.93400,229.40700,23.25900,4.80600,4.80600,28.06500,168.47200,32.43100,0.43900,201.34200,229.40700
2009-06-30,118.78400,12.44800,20.08200,3.32500,7.35000,162.06400,16.32600,37.63500,,0.43700,54.41700,216.48100,31.67000,4.79400,4.79400,36.46400,159.84500,19.86900,0.30300,180.01700,216.48100
2009-03-31,113.44600,13.36700,18.55900,2.79100,,148.23700,13.96700,37.34000,,0.43400,51.76000,199.99700,26.54400,4.78200,4.78200,31.32600,152.23600,16.68300,-0.24800,168.67100,199.99700
