,cash-on-hand,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2013-12-31,1200.40500,,1858.35800,3058.76300,133.60500,2220.19500,2353.80000,5412.56300,2154.20300,500.00000,1424.79900,1924.79900,4079.00200,0.06000,552.48500,3.57500,1333.56100,5412.56300
2013-09-30,1134.98700,30.52200,1683.76900,2849.27800,127.26300,1924.78400,2052.04700,4901.32500,1935.13600,500.00000,1261.81900,1761.81900,3696.95500,0.05900,504.06400,1.57000,1204.37000,4901.32500
2013-06-30,1080.11000,32.06400,1458.14800,2570.32200,127.93100,1782.49800,1910.42900,4480.75100,1670.26400,500.00000,1204.86500,1704.86500,3375.12900,0.05900,472.24200,-1.66400,1105.62200,4480.75100
2013-03-31,1025.87200,57.25400,1473.97400,2557.10000,129.31900,1676.87000,1806.18900,4363.28900,1688.71400,700.00000,1161.65600,1861.65600,3550.37000,0.05600,442.77100,0.29100,812.91900,4363.28900
2012-12-31,748.07800,,1492.71300,2240.79100,131.68100,1595.41800,1727.09900,3967.89000,1675.92600,400.00000,1147.29100,1547.29100,3223.21700,0.05600,440.08200,2.91900,744.67300,3967.89000
2012-09-30,798.35500,33.15200,1393.51100,2225.01800,133.60300,1450.21200,1583.81500,3808.83300,1598.22300,400.00000,1093.77000,1493.77000,3091.99300,0.05600,432.18500,3.00600,716.84000,3808.83300
2012-06-30,813.34300,48.51000,1275.93200,2137.78500,124.64400,1215.86100,1340.50500,3478.29000,1498.84400,400.00000,891.22000,1291.22000,2790.06400,0.05600,424.51000,0.96100,688.22600,3478.29000
2012-03-31,804.52600,53.01300,1201.20200,2058.74100,128.19700,1293.52100,1421.71800,3480.45900,1446.66600,400.00000,970.39100,1370.39100,2817.05700,0.05500,418.34600,1.57700,663.40200,3480.45900
2011-12-31,797.81100,56.00700,977.03900,1830.85700,136.35300,1101.98600,1238.33900,3069.19600,1225.05500,400.00000,801.33100,1201.33100,2426.38600,0.05500,422.93000,0.70600,642.81000,3069.19600
2011-09-30,365.77200,77.14600,747.19500,1190.11300,143.99300,598.70900,771.44510,1961.55800,967.96600,232.40000,372.84000,605.24000,1573.20600,0.05300,387.71100,0.58800,388.35200,1961.55800
2011-06-30,376.40700,59.81100,533.22600,969.44400,136.94800,438.41800,601.24900,1570.69300,726.70900,232.98600,276.96400,509.95000,1236.65900,0.05300,333.09700,0.88400,334.03400,1570.69300
2011-03-31,342.72100,74.59700,304.28400,721.60200,134.80000,211.33400,368.58600,1090.18800,490.31800,233.56400,90.58400,324.14800,814.46600,0.05200,275.08000,0.59000,275.72200,1090.18800
2010-12-31,350.38700,62.21700,224.62700,637.23100,128.57000,216.26600,344.83600,982.06700,388.57900,200.00000,103.32400,303.32400,691.90300,0.05300,237.73900,0.75000,290.16400,982.06700
2010-09-30,256.81300,59.32200,176.11200,492.24700,125.05700,133.76000,278.03600,770.28300,312.10700,234.65900,31.54200,266.20100,578.30800,0.05200,190.64400,1.27900,191.97500,770.28300
2010-06-30,279.08500,33.83700,128.29600,441.21800,123.29200,107.51100,252.75400,693.97200,258.16700,235.18500,23.98000,259.16500,517.33200,0.05200,175.78600,0.80200,176.64000,693.97200
2010-03-31,266.33000,57.64200,55.56600,379.53800,127.16500,122.79900,268.75500,648.29300,243.44700,235.70400,22.40700,258.11100,501.55800,0.05200,146.19600,0.48700,146.73500,648.29300
2009-12-31,320.24200,26.74100,64.03000,411.01300,131.65300,121.11000,268.72100,679.73400,227.43600,236.57200,16.58300,253.15500,480.59100,0.05300,198.81700,0.27300,199.14300,679.73400
2009-09-30,155.46200,22.61800,51.17600,234.96200,122.11900,117.80600,257.16900,492.13100,203.52200,36.94000,19.46700,56.40700,259.92900,0.06400,193.39900,0.55200,232.20200,492.13100
2009-06-30,254.96900,26.10100,55.90000,342.56400,120.34600,111.85800,249.42900,591.99300,211.18600,37.30100,19.13500,56.43600,267.62200,0.06400,163.25800,0.72500,324.37100,591.99300
2009-03-31,286.48900,22.16700,50.68200,364.88000,123.81700,116.87400,263.79800,628.67800,226.71300,37.65600,17.99700,55.65300,282.36600,0.06300,130.81500,-0.44700,346.31200,628.67800
