,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2011-06-30,1848.00000,30.00000,75.00000,343.00000,2354.00000,516.00000,1266.00000,170.00000,2001.00000,4355.00000,1225.00000,,338.00000,380.00000,1605.00000,3.00000,68.00000,240.00000,2750.00000,4355.00000
2011-03-31,2237.00000,335.00000,77.00000,327.00000,3032.00000,513.00000,1254.00000,80.00000,1896.00000,4928.00000,2001.00000,,326.00000,363.00000,2364.00000,3.00000,-153.00000,219.00000,2564.00000,4928.00000
2010-12-31,1971.00000,390.00000,105.00000,226.00000,2714.00000,502.00000,1267.00000,200.00000,2013.00000,4727.00000,2008.00000,,357.00000,361.00000,2369.00000,3.00000,-304.00000,155.00000,2358.00000,4727.00000
2010-09-30,1657.00000,444.00000,155.00000,207.00000,2485.00000,510.00000,1262.00000,189.00000,2009.00000,4494.00000,1568.00000,,286.00000,288.00000,1856.00000,3.00000,18.00000,144.00000,2638.00000,4494.00000
2010-06-30,1730.00000,103.00000,82.00000,270.00000,2228.00000,516.00000,1275.00000,177.00000,2017.00000,4245.00000,1165.00000,,326.00000,328.00000,1493.00000,3.00000,219.00000,113.00000,2752.00000,4245.00000
2010-03-31,1996.00000,206.00000,100.00000,239.00000,2585.00000,537.00000,1297.00000,175.00000,2061.00000,4646.00000,1574.00000,,341.00000,343.00000,1917.00000,3.00000,123.00000,228.00000,2729.00000,4646.00000
2009-12-31,1784.00000,495.00000,144.00000,264.00000,2782.00000,550.00000,1312.00000,221.00000,2157.00000,4939.00000,1871.00000,,420.00000,469.00000,2340.00000,3.00000,93.00000,238.00000,2599.00000,4939.00000
2009-09-30,2012.00000,646.00000,250.00000,245.00000,3227.00000,569.00000,1011.00000,124.00000,1775.00000,5002.00000,1913.00000,,405.00000,433.00000,2346.00000,3.00000,175.00000,297.00000,2656.00000,5002.00000
2009-06-30,2279.00000,375.00000,215.00000,251.00000,3176.00000,341.00000,1022.00000,116.00000,1546.00000,4722.00000,1260.00000,,421.00000,461.00000,1721.00000,3.00000,566.00000,314.00000,3001.00000,4722.00000
2009-03-31,2520.00000,116.00000,217.00000,216.00000,3120.00000,354.00000,1028.00000,115.00000,1558.00000,4678.00000,1136.00000,,366.00000,408.00000,1544.00000,3.00000,800.00000,189.00000,3134.00000,4678.00000
