,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2013-12-31,845.73000,911.11800,1756.84800,14122.23000,307.43600,2631.75400,18340.38000,20097.22000,422.27600,9978.71800,1081.87700,12080.20000,12502.48000,7.46900,-1734.83900,71.53700,7594.74400,20097.22000
2013-09-30,1193.30200,936.00500,2305.69500,14430.02000,275.25000,2835.97600,17969.63000,20275.32000,442.62300,10001.33000,1037.01300,12004.86000,12447.49000,7.44000,-1527.66300,83.32700,7827.83400,20275.32000
2013-06-30,1093.72600,931.29600,2200.72100,14390.16000,289.11000,2976.97700,18132.51000,20333.23000,393.36200,10024.74000,1034.87100,12018.64000,12412.00000,7.45000,-1471.64300,132.89400,7921.22700,20333.23000
2013-03-31,754.20200,921.81200,1901.23500,15211.31000,393.77100,2947.87900,19224.89000,21126.13000,426.62100,10421.18000,1143.57300,12678.90000,13105.52000,7.44700,-1479.29600,120.95300,8020.61000,21126.13000
2012-12-31,1143.57500,953.90900,2322.84300,15165.95000,415.33000,3084.35000,19742.21000,22065.05000,484.74600,11127.23000,1102.20100,13676.16000,14160.91000,7.44000,-1573.27500,-18.94600,7904.14400,22065.05000
2012-09-30,857.67800,937.10800,1926.37100,13954.04000,252.68300,3337.63000,18471.45000,20397.82000,442.64400,9810.57800,965.82900,12266.32000,12708.96000,7.41500,-1319.11800,-160.10700,7688.85400,20397.82000
2012-06-30,584.08900,936.69500,1653.15300,14091.48000,266.38600,3308.58800,18350.61000,20003.77000,431.34600,10218.03000,757.52100,12298.79000,12730.14000,7.40200,-1420.30400,-162.78500,7273.62500,20003.77000
2012-03-31,731.78200,941.20100,1806.12600,14471.77000,304.38500,3299.97100,18463.60000,20269.73000,453.57800,10302.60000,739.73600,12306.62000,12760.19000,7.39600,-1312.67000,67.17400,7509.53700,20269.73000
2011-12-31,704.62100,874.15800,1725.85400,13809.38000,287.84400,3209.01000,18720.63000,20446.49000,423.51200,10076.61000,756.96900,12514.53000,12938.04000,7.37300,-1401.70400,73.72900,7508.44700,20446.49000
2011-09-30,710.16700,870.33700,1750.05400,14476.13000,334.87800,3013.76100,18438.17000,20188.23000,469.02400,10406.55000,766.19700,12356.24000,12825.26000,7.35000,-1330.40500,-59.01900,7362.96900,20188.23000
2011-06-30,746.83500,908.40800,1824.03900,14767.23000,317.25700,3263.91500,18714.82000,20538.86000,436.22900,10540.05000,760.34000,12735.11000,13171.34000,7.34700,-1244.25400,114.47900,7367.52400,20538.86000
2011-03-31,852.63400,900.00500,1906.38700,14822.44000,333.27000,3070.62900,18586.01000,20492.40000,469.44300,10631.40000,766.91800,12778.11000,13247.56000,7.34000,-1208.99300,130.61400,7244.84400,20492.40000
2010-12-31,891.61100,852.63200,1959.84200,14672.66000,346.15700,2664.66800,18557.63000,20517.47000,438.47900,10889.44000,750.24100,13248.59000,13687.07000,7.31700,-1480.87600,73.45300,6830.40500,20517.47000
2010-09-30,994.50000,919.14300,2071.29800,15270.97000,385.33700,2552.67600,18562.83000,20634.13000,507.75500,11110.05000,1093.68100,13638.60000,14146.36000,7.27700,-1604.88900,45.27200,6487.77500,20634.13000
2010-06-30,791.68300,876.53400,1818.25600,15336.11000,,2405.72700,18072.62000,19890.88000,458.62800,10670.22000,834.50100,12793.34000,13251.96000,7.26200,-1581.17600,37.59700,6638.91300,19890.88000
2010-03-31,1111.78900,861.53800,2113.28600,15390.25000,,2589.41900,18306.41000,20419.69000,491.46400,11090.86000,855.45100,13303.85000,13795.31000,7.24700,-1520.69000,29.95300,6624.37900,20419.69000
2009-12-31,869.42900,827.55000,1913.41500,15132.90000,439.54900,2051.01200,18272.06000,20185.47000,475.24200,10685.70000,824.22800,13060.82000,13536.07000,7.21800,-1577.59100,28.44900,6649.40600,20185.47000
2009-09-30,2847.58600,822.17100,3952.88100,15671.64000,,2316.36400,18397.49000,22350.37000,548.40700,12728.01000,875.42300,14834.06000,15382.46000,7.15100,-1278.72700,16.48900,6967.90800,22350.37000
2009-06-30,2376.48200,801.75000,3482.65300,15796.33000,,2138.39900,18349.21000,21831.86000,485.70600,12385.75000,882.24700,14223.98000,14709.68000,7.11300,-1288.90900,-35.85100,7122.17500,21831.86000
2009-03-31,2025.59700,795.35100,3306.08300,15751.34000,,2178.82300,18342.84000,21648.93000,497.93000,12731.83000,931.19500,14590.22000,15088.15000,6.30100,-1069.60700,-46.79700,6560.77900,21648.93000
