,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2012-12-31,184.00000,425.00000,570.00000,636.00000,3596.00000,15348.00000,,425.00000,667.00000,18634.00000,22230.00000,2686.00000,5802.00000,1938.00000,12777.00000,15463.00000,2.00000,1006.00000,-8.00000,6767.00000,22230.00000
2012-09-30,298.00000,605.00000,756.00000,747.00000,2406.00000,17833.00000,,425.00000,772.00000,21092.00000,23498.00000,1546.00000,6781.00000,1971.00000,13926.00000,15472.00000,2.00000,2259.00000,2.00000,8026.00000,23498.00000
2012-06-30,117.00000,486.00000,686.00000,865.00000,2154.00000,17690.00000,,423.00000,776.00000,20826.00000,22980.00000,1603.00000,6678.00000,1910.00000,13677.00000,15280.00000,2.00000,1983.00000,-30.00000,7700.00000,22980.00000
2012-03-31,208.00000,511.00000,625.00000,780.00000,2124.00000,17535.00000,,420.00000,773.00000,20775.00000,22899.00000,1614.00000,6677.00000,1917.00000,13706.00000,15320.00000,2.00000,1869.00000,-35.00000,7579.00000,22899.00000
2011-12-31,255.00000,542.00000,712.00000,766.00000,2295.00000,18127.00000,,418.00000,845.00000,21350.00000,23645.00000,1785.00000,6677.00000,1930.00000,13792.00000,15577.00000,2.00000,2369.00000,-50.00000,8068.00000,23645.00000
2011-09-30,522.00000,722.00000,734.00000,702.00000,2680.00000,17873.00000,,417.00000,843.00000,20676.00000,23356.00000,1848.00000,6682.00000,1903.00000,13356.00000,15204.00000,2.00000,2440.00000,-25.00000,8152.00000,23356.00000
2011-06-30,378.00000,756.00000,654.00000,815.00000,2603.00000,17945.00000,,415.00000,848.00000,20788.00000,23391.00000,1727.00000,7054.00000,1911.00000,13721.00000,15448.00000,2.00000,2248.00000,-21.00000,7943.00000,23391.00000
2011-03-31,573.00000,808.00000,572.00000,762.00000,2715.00000,17888.00000,,418.00000,738.00000,20614.00000,23329.00000,1837.00000,7123.00000,1853.00000,13612.00000,15449.00000,2.00000,2203.00000,-20.00000,7880.00000,23329.00000
2010-12-31,545.00000,727.00000,707.00000,911.00000,2890.00000,17853.00000,,418.00000,750.00000,20621.00000,23511.00000,1888.00000,7313.00000,1794.00000,13739.00000,15627.00000,2.00000,2225.00000,-17.00000,7884.00000,23511.00000
2010-09-30,608.00000,891.00000,746.00000,875.00000,3120.00000,17655.00000,,420.00000,699.00000,20511.00000,23631.00000,1914.00000,7259.00000,1821.00000,13808.00000,15722.00000,2.00000,2266.00000,-10.00000,7909.00000,23631.00000
2010-06-30,506.00000,674.00000,676.00000,974.00000,2830.00000,17747.00000,,944.00000,664.00000,21085.00000,23915.00000,1760.00000,7653.00000,1811.00000,13955.00000,15715.00000,2.00000,2526.00000,-13.00000,8200.00000,23915.00000
2010-03-31,360.00000,819.00000,635.00000,844.00000,2658.00000,17671.00000,,955.00000,670.00000,21030.00000,23688.00000,1640.00000,7743.00000,1775.00000,13938.00000,15578.00000,2.00000,2466.00000,-4.00000,8110.00000,23688.00000
2009-12-31,622.00000,742.00000,782.00000,696.00000,2842.00000,17610.00000,,960.00000,655.00000,20860.00000,23702.00000,1711.00000,7941.00000,1686.00000,13931.00000,15642.00000,2.00000,2455.00000,-13.00000,8060.00000,23702.00000
2009-09-30,563.00000,598.00000,857.00000,762.00000,2780.00000,17272.00000,,969.00000,652.00000,20814.00000,23594.00000,1926.00000,7321.00000,1745.00000,13622.00000,15548.00000,2.00000,2467.00000,-21.00000,8046.00000,23594.00000
2009-06-30,251.00000,787.00000,733.00000,893.00000,2664.00000,17006.00000,,981.00000,674.00000,20526.00000,23190.00000,2545.00000,7321.00000,1725.00000,13291.00000,15836.00000,2.00000,2323.00000,-13.00000,7354.00000,23190.00000
2009-03-31,304.00000,872.00000,657.00000,924.00000,2757.00000,16781.00000,,991.00000,637.00000,20314.00000,23071.00000,2881.00000,6900.00000,1708.00000,12917.00000,15798.00000,2.00000,2241.00000,6.00000,7273.00000,23071.00000
