,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2015-06-30,11349.00000,78642.00000,688.00000,2701.00000,425.00000,2455.00000,6269.00000,84911.00000,49549.00000,24099.00000,24099.00000,73648.00000,5.00000,12400.00000,-160.00000,11263.00000,84911.00000
2015-03-31,11923.00000,77795.00000,678.00000,2778.00000,432.00000,2495.00000,6383.00000,84178.00000,50043.00000,22924.00000,22924.00000,72967.00000,5.00000,11936.00000,-161.00000,11211.00000,84178.00000
2014-12-31,7390.00000,75613.00000,670.00000,3949.00000,433.00000,2461.00000,7513.00000,83126.00000,49448.00000,22544.00000,22544.00000,71992.00000,5.00000,11467.00000,-138.00000,11134.00000,83126.00000
2014-09-30,7485.00000,73207.00000,661.00000,3995.00000,461.00000,2272.00000,7389.00000,80596.00000,48377.00000,20918.00000,20918.00000,69295.00000,5.00000,11182.00000,-70.00000,11301.00000,80596.00000
2014-06-30,7184.00000,71445.00000,665.00000,4070.00000,463.00000,2294.00000,7492.00000,78937.00000,47499.00000,20057.00000,20057.00000,67556.00000,5.00000,10659.00000,-72.00000,11381.00000,78937.00000
2014-03-31,9894.00000,72155.00000,668.00000,3964.00000,466.00000,2331.00000,7429.00000,79584.00000,48381.00000,20182.00000,20182.00000,68563.00000,5.00000,10138.00000,-70.00000,11021.00000,79584.00000
2013-12-31,6736.00000,70859.00000,654.00000,4991.00000,469.00000,2367.00000,8481.00000,79340.00000,48057.00000,20474.00000,20474.00000,68531.00000,5.00000,9611.00000,-68.00000,10809.00000,79340.00000
2013-09-30,5806.00000,66946.00000,639.00000,5014.00000,472.00000,2473.00000,8598.00000,75544.00000,46277.00000,18665.00000,18665.00000,64942.00000,5.00000,9115.00000,-109.00000,10602.00000,75544.00000
2013-06-30,6281.00000,66428.00000,607.00000,4943.00000,475.00000,2491.00000,8516.00000,74944.00000,46463.00000,18033.00000,18033.00000,64496.00000,5.00000,8629.00000,-107.00000,10448.00000,74944.00000
2013-03-31,8549.00000,67299.00000,572.00000,5270.00000,473.00000,2525.00000,8840.00000,76139.00000,46610.00000,19230.00000,19230.00000,65840.00000,6.00000,8136.00000,-84.00000,10299.00000,76139.00000
2012-12-31,2874.00000,63684.00000,538.00000,6232.00000,475.00000,2562.00000,9807.00000,73491.00000,45952.00000,17666.00000,17666.00000,63618.00000,5.00000,7472.00000,-72.00000,9873.00000,73491.00000
2012-11-30,6270.00000,65562.00000,534.00000,6221.00000,476.00000,2490.00000,9721.00000,75283.00000,45776.00000,19729.00000,19729.00000,65505.00000,5.00000,7373.00000,-75.00000,9778.00000,75283.00000
2012-09-30,,,,,,,,0.00000,,,,,,,,,
2012-08-31,6538.95900,64008.80000,519.62100,6467.75700,479.22400,2433.25500,9899.85700,73908.66000,45516.64000,19246.11000,19246.11000,64762.75000,5.52600,6877.99000,-31.32600,9145.91300,73908.66000
2012-06-30,,,,,,,,0.00000,,,,,,,,,
2012-05-31,6914.95000,62103.35000,492.44400,6652.21400,439.92200,2395.47100,9980.05100,72083.41000,44160.64000,19023.91000,19023.91000,63184.55000,5.52300,6303.46600,-41.01600,8898.85800,72083.41000
2012-03-31,,,,,,,,0.00000,,,,,,,,,
2012-02-29,6676.45900,60997.13000,486.52000,6269.77600,441.65300,2290.94000,9488.88900,70486.02000,42903.11000,18753.96000,18753.96000,61657.07000,5.51500,5820.60900,-48.60400,8828.95200,70486.02000
2011-11-30,4135.66300,59267.40000,483.25000,6206.05300,443.43900,2383.79300,9516.53500,68783.94000,42254.55000,18287.18000,18287.18000,60541.73000,5.49700,5243.31800,-51.67900,8242.21100,68783.94000
2011-08-31,4894.75500,56704.15000,465.87100,5952.16800,444.71900,2158.76100,9021.51900,65725.66000,40001.55000,17718.20000,17718.20000,57719.75000,5.49500,4763.18000,-19.97900,8005.91600,65725.66000
2011-05-31,4787.32900,54664.86000,471.11200,5557.41000,446.71700,2297.43000,8772.66900,63437.53000,37975.73000,17938.51000,17938.51000,55914.23000,5.48400,4147.59800,-66.35800,7523.30000,63437.53000
2011-02-28,5847.49900,54477.27000,458.95000,5615.88100,448.71400,2505.79600,9029.34200,63506.61000,37617.27000,18990.17000,18990.17000,56607.45000,5.48000,3580.33800,-106.27900,6899.16500,63506.61000
2010-11-30,6462.49100,51994.79000,460.73200,5450.39500,444.39400,2434.66100,8790.18200,60784.97000,36622.39000,17705.73000,17705.73000,54328.12000,5.47100,3126.48800,-82.54800,6456.84600,60784.97000
2010-08-31,8607.78900,54994.73000,456.94300,1600.74700,446.06000,2559.07100,5062.82100,60057.55000,36237.50000,17708.75000,17708.75000,53946.25000,5.47000,2787.82200,-82.29700,6111.29700,60057.55000
2010-05-31,11020.84000,57114.93000,469.00100,1446.14400,447.72500,2675.87200,5038.74200,62153.68000,37804.29000,18311.13000,18311.13000,56115.41000,5.46200,2538.16400,-73.94000,6038.26700,62153.68000
2010-02-28,16404.32000,62290.48000,482.83300,912.58100,449.39100,2683.66900,4528.47400,66818.95000,37411.70000,22392.20000,22392.20000,59803.90000,5.46000,2362.68500,-74.03800,7015.04800,66818.95000
2009-11-30,13664.03000,35531.21000,499.30300,6385.29700,451.05700,3154.11500,10489.77000,46020.99000,34348.58000,2428.10100,2428.10100,37585.44000,5.44800,3873.26200,-154.81800,8435.54700,46020.99000
2009-08-31,11330.53000,35171.21000,518.10500,3266.53400,452.97700,3289.46100,7527.07700,42698.29000,31863.46000,1795.13400,1795.13400,34312.09000,5.44600,3705.60800,-24.97200,8386.20200,42698.29000
2009-05-31,10122.18000,35764.88000,531.16600,1529.42000,454.89800,3237.91900,5753.40300,41518.29000,32162.36000,1427.04300,1427.04300,34102.65000,4.83100,3296.23400,-52.54200,7415.64000,41518.29000
2009-02-28,8724.20800,35029.57000,544.21900,1302.58000,456.81900,3273.32600,5576.94400,40606.52000,32701.54000,1432.63100,1432.63100,34607.17000,4.82800,3136.97700,-66.07900,5999.35100,40606.52000
