,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2020-04-30,1756.57400,645.15100,127.44300,,2629.18100,168.22100,17.14200,1516.52400,75.73500,2595.08700,5224.26800,1160.04400,1735.04600,1.14500,2254.16900,3414.21300,0.15800,-1867.05000,-1.94800,,1810.05500,5224.26800
2020-01-31,1755.16100,838.74300,129.83900,,2822.81500,156.92800,35.37000,1531.25500,68.09300,2616.65600,5439.47100,1312.29600,1714.63000,0.65300,2127.74600,3440.04200,0.15700,-1561.47100,-5.31200,,1999.42900,5439.47100
2019-10-31,1821.82200,638.05000,103.23800,,2647.64000,125.62600,66.93300,1527.45300,356.04200,2422.15700,5069.79700,1136.64800,1693.95100,0.38100,2107.03200,3243.68000,0.15500,-1538.74300,-3.16100,,1826.11700,5069.79700
2019-07-31,2575.86900,408.90800,83.03300,,3145.42600,94.86900,94.00900,580.80500,292.52800,1342.14400,4487.57000,1027.21500,1673.56900,0.58700,2026.51500,3053.73000,0.15100,-1481.10400,-3.48400,,1433.84000,4487.57000
2019-04-30,2675.44400,285.30000,79.10200,,3114.82200,89.61500,146.15900,587.88500,205.15500,1291.92200,4406.74400,973.56800,1653.47900,0.44500,2007.15000,2980.71800,0.15000,-1380.23200,-3.16500,,1426.02600,4406.74400
2019-01-31,2757.38500,469.65800,73.19700,,3378.46300,158.27600,110.58800,595.01000,37.66900,1121.78000,4500.24300,1045.13800,1634.47400,95.24500,1934.64800,2979.78600,0.14900,-1232.04400,-2.50600,,1520.45700,4500.24300
2018-10-31,2671.49800,303.31600,69.76200,,3108.06800,156.50200,113.74700,602.12600,107.22800,1031.60600,4139.67400,809.39600,1614.94500,95.47400,1908.41100,2717.80700,0.14800,-1234.17000,-4.58300,,1421.86700,4139.67400
2018-07-31,891.58300,247.82700,65.83700,,1262.66600,156.40900,9.75000,609.25300,70.00400,888.85100,2151.51700,741.34600,,96.35900,263.33500,1004.68100,0.14600,-1178.46500,-2.73000,,1146.83600,2151.51700
2018-04-30,950.14700,207.91300,90.07200,,1300.67700,155.67400,9.75000,501.41800,46.00900,749.60500,2050.28200,658.47200,,97.19400,273.27000,931.74200,0.14400,-1074.96600,-1.53800,,1118.54000,2050.28200
2018-01-31,1165.15000,396.41300,70.02100,,1684.03500,160.88000,5.37500,209.52400,41.71100,455.41000,2139.44500,730.94900,,98.38300,277.17500,1008.12400,0.14300,-955.87100,0.15600,,1131.32100,2139.44500
2017-10-31,1058.38900,264.49700,44.54500,,1367.43100,161.24900,5.00000,213.81600,28.28400,408.34900,1775.78000,719.22300,,99.14000,284.85200,1004.07500,0.14100,-1254.81700,-2.07400,,771.70500,1775.78000
2017-07-31,1083.54700,208.08200,49.41200,,1341.04100,161.95400,5.00000,173.25800,22.90100,363.11300,1704.15400,669.02500,,100.16300,267.16700,936.19200,0.14000,-1204.21500,-1.34900,,767.96200,1704.15400
2017-04-30,1087.23200,171.26000,44.86400,,1303.35600,165.35600,5.00000,159.66400,25.21000,355.23000,1658.58600,638.52200,,99.61000,256.33000,894.85200,0.13800,-1120.71500,-3.58900,,763.73400,1658.58600
2017-01-31,1083.44200,238.28100,38.65000,,1360.37300,166.39500,5.00000,162.35500,24.42300,358.17300,1718.54600,667.37300,,99.26000,246.01200,913.38500,0.13700,-1020.78400,-3.01300,,805.16100,1718.54600
2016-10-31,1026.99900,172.48900,29.74300,,1229.23100,159.82300,5.00000,165.06500,15.84500,345.73300,1574.96400,554.14700,,93.01000,206.64600,760.79300,0.13600,-946.57900,-3.01000,,814.17100,1574.96400
2016-07-31,1020.60900,131.26200,26.88200,,1178.75300,151.95300,5.00000,168.05200,13.83300,338.83800,1517.59100,498.44900,,90.47600,190.00100,688.45000,0.13400,-853.08800,-1.77400,,829.14100,1517.59100
2016-04-30,1022.49100,98.60700,30.59900,,1151.69700,144.65500,1.50000,171.14600,14.86600,332.16700,1483.86400,465.13600,,89.78900,185.67800,650.81400,0.13300,-766.49100,-1.23300,,833.05000,1483.86400
2016-01-31,1009.03900,181.66500,26.56500,,1217.26900,134.99500,1.50000,172.80000,10.27500,319.57000,1536.83900,497.76600,,77.27700,179.65900,677.42500,0.13200,-665.59500,-3.77000,,859.41400,1536.83900
2015-10-31,948.53100,125.65700,20.72100,,1094.90900,100.26400,1.50000,176.99900,5.44000,284.20300,1379.11200,402.51000,,69.31500,135.65600,538.16600,0.13000,-586.27200,-2.29800,,840.94600,1379.11200
2015-07-31,855.37400,99.69400,22.31200,,977.38000,77.01300,71.68500,180.16300,6.89900,335.76000,1313.14000,358.14900,,59.31100,117.40400,475.55300,0.12800,-513.29800,-2.16400,,837.58700,1313.14000
2015-04-30,865.14290,81.34100,19.96100,,966.44500,62.31500,177.92300,28.35500,4.95700,273.55000,1239.99500,327.70400,,42.26600,98.19700,425.90100,0.12500,-458.00900,-0.84700,,814.09400,1239.99500
2015-01-31,850.16400,128.41300,21.25600,,999.83300,50.37400,165.08200,29.48600,3.01600,247.95800,1247.79100,346.64800,,33.62000,87.82200,434.47000,0.12300,-386.82300,-0.83700,,813.32100,1247.79100
2014-10-31,796.38800,82.55000,13.49500,,892.43300,43.23600,160.92300,30.61600,2.00000,236.77500,1129.20800,254.90300,,27.26500,76.41100,331.31400,0.12100,-329.79500,-0.20500,,797.89400,1129.20800
2014-07-31,837.61500,69.83800,9.46500,,916.91800,33.85200,96.59000,32.03900,2.21700,164.69800,1081.61600,225.30100,,18.79700,61.51400,286.81500,0.12000,-281.24400,0.04200,,794.80100,1081.61600
2014-04-30,826.99200,52.11300,11.29700,,890.40200,18.00300,91.63800,30.46100,1.12500,141.22700,1031.62900,202.92200,,4.46300,44.93700,247.85900,0.11800,-220.46200,0.09300,,783.77000,1031.62900
2014-01-31,897.45300,83.34800,12.01900,,992.82000,15.50500,,31.36400,0.64200,47.51100,1040.33100,207.85400,,4.40400,47.56900,255.42300,0.11600,-169.70700,0.05800,,784.90800,1040.33100
2013-10-31,351.89500,53.99500,8.66900,,414.55900,14.43700,,10.32800,0.50200,25.26700,439.82600,153.16600,,3.14500,36.57800,189.74400,0.10700,-137.07600,-0.15600,,250.08200,439.82600
2013-07-31,347.11400,40.74600,10.54700,,398.40700,13.85500,,,0.40300,14.25800,412.66500,132.82500,,1.30200,32.02900,164.85400,0.10500,-120.52600,-0.24300,,247.81100,412.66500
2013-04-30,331.25200,37.91600,7.19100,,376.35900,12.69500,,,0.46000,13.15500,389.51400,118.07800,,1.05500,33.45900,151.53700,0.10300,-106.83300,-0.14900,,237.97700,389.51400
2013-01-31,305.93900,63.94800,6.86100,,376.74800,13.20500,,,0.49200,13.69700,390.44500,116.95900,,0.79800,35.94200,152.90100,0.10100,-90.69900,-0.13500,,237.54400,390.44500
2012-10-31,273.32400,40.17800,5.69400,,319.19600,10.75800,,,0.28100,11.03900,330.23500,93.54600,,0.32200,12.32400,105.87000,0.09700,-84.53700,-0.01500,,224.36500,330.23500
2012-07-31,268.27800,33.68100,4.80700,,306.76600,10.31600,,,1.57400,11.89000,318.65600,79.98500,,0.37600,13.89900,93.88400,0.09700,-79.06300,-0.03600,,224.77200,318.65600
2012-04-30,266.07700,23.48000,4.35300,,293.91000,9.70000,,,0.84400,10.54400,304.45400,67.61800,,0.42400,12.89000,80.50800,0.09500,-74.48800,-0.01700,,223.94600,304.45400
2012-01-31,31.59900,34.49500,4.26100,,70.35500,8.91900,,,2.94900,11.86800,82.22300,69.21300,1.30700,0.56100,13.74300,82.95600,0.02300,-54.01800,-0.02400,,-0.73300,82.22300
2011-10-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2011-07-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2011-04-30,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
2011-01-31,19.73700,14.14800,,1.30000,35.19200,5.97700,,0.00000,1.18000,7.15700,38.79100,31.12300,,0.40000,4.21300,35.34500,0.01000,-43.02600,,0.00200,3.44600,38.79000
2010-01-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
