,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2011-04-30,1282.00000,2150.00000,360.00000,,3845.00000,351.00000,1859.00000,84.00000,2338.00000,6183.00000,1805.00000,1848.00000,135.00000,1983.00000,3788.00000,369.00000,-7.00000,2395.00000,6183.00000
2011-01-31,1367.00000,2069.00000,382.00000,,3867.00000,359.00000,1875.00000,71.00000,2356.00000,6223.00000,1748.00000,1849.00000,135.00000,1984.00000,3732.00000,408.00000,-7.00000,2491.00000,6223.00000
2010-10-31,644.00000,2203.00000,324.00000,,3171.00000,361.00000,1904.00000,66.00000,2367.00000,5538.00000,1807.00000,1101.00000,145.00000,1246.00000,3053.00000,410.00000,-37.00000,2485.00000,5538.00000
2010-07-31,604.00000,2032.00000,320.00000,,2956.00000,382.00000,1678.00000,71.00000,2218.00000,5174.00000,1619.00000,1102.00000,173.00000,1275.00000,2894.00000,241.00000,-38.00000,2280.00000,5174.00000
2010-04-30,568.00000,2073.00000,306.00000,,2947.00000,398.00000,1687.00000,72.00000,2243.00000,5190.00000,1692.00000,1103.00000,187.00000,1290.00000,2982.00000,156.00000,-38.00000,2208.00000,5190.00000
2010-01-31,861.00000,2044.00000,288.00000,,3193.00000,389.00000,1540.00000,70.00000,2102.00000,5295.00000,1706.00000,1103.00000,195.00000,1298.00000,3004.00000,239.00000,-44.00000,2291.00000,5295.00000
2009-10-31,991.00000,2156.00000,281.00000,,3428.00000,392.00000,1445.00000,70.00000,1980.00000,5408.00000,1846.00000,1103.00000,180.00000,1283.00000,3129.00000,260.00000,-42.00000,2279.00000,5408.00000
2009-07-31,951.00000,1964.00000,327.00000,,3242.00000,385.00000,1335.00000,59.00000,1862.00000,5104.00000,1653.00000,1103.00000,192.00000,1295.00000,2948.00000,173.00000,-42.00000,2156.00000,5104.00000
2009-04-30,898.00000,2016.00000,346.00000,,3260.00000,357.00000,1331.00000,50.00000,1822.00000,5082.00000,1767.00000,1102.00000,187.00000,1289.00000,3056.00000,85.00000,-43.00000,2026.00000,5082.00000
2009-01-31,936.00000,1889.00000,385.00000,,3217.00000,357.00000,1337.00000,51.00000,1831.00000,5048.00000,1683.00000,1099.00000,182.00000,1281.00000,2964.00000,183.00000,-49.00000,2084.00000,5048.00000
