item,itemLabel
http://www.wikidata.org/entity/Q25344080,SJVN
http://www.wikidata.org/entity/Q5377917,Engineers India Limited
http://www.wikidata.org/entity/Q5535285,Geojit Technologies Pvt Ltd
http://www.wikidata.org/entity/Q5568612,Glenmark Pharmaceuticals
http://www.wikidata.org/entity/Q5629103,HCL Technologies
http://www.wikidata.org/entity/Q5629189,HDFC Life
http://www.wikidata.org/entity/Q5683558,Havells
http://www.wikidata.org/entity/Q6108978,JSW Steel Ltd
http://www.wikidata.org/entity/Q48734497,Dewan Housing Finance Corporation
http://www.wikidata.org/entity/Q7645042,Supreme Industries
http://www.wikidata.org/entity/Q124976,Coal India Limited
http://www.wikidata.org/entity/Q1655008,ITC Limited
http://www.wikidata.org/entity/Q2003797,Bank of Baroda
http://www.wikidata.org/entity/Q2044973,South Indian Bank
http://www.wikidata.org/entity/Q12982969,Jain Irrigation Systems Limited
http://www.wikidata.org/entity/Q13227919,Tata Consultancy Services
http://www.wikidata.org/entity/Q3359908,PVR Cinemas
http://www.wikidata.org/entity/Q24913555,Inox Wind
http://www.wikidata.org/entity/Q28451082,Alembic Pharmaceuticals Ltd
http://www.wikidata.org/entity/Q18128695,Newgen Software Technologies Limited
http://www.wikidata.org/entity/Q29026082,Berger Paints
http://www.wikidata.org/entity/Q19895427,Pricol
http://www.wikidata.org/entity/Q26989,Infosys
http://www.wikidata.org/entity/Q54621493,Blue Dart Express
http://www.wikidata.org/entity/Q39054559,Capital First Ltd.
http://www.wikidata.org/entity/Q60756382,Shiva Texyarn Limited
http://www.wikidata.org/entity/Q71935736,InfoBeans Technologies Limited
http://www.wikidata.org/entity/Q52751473,Divi's Laboratories
http://www.wikidata.org/entity/Q65091087,Parag Milk Foods
http://www.wikidata.org/entity/Q83473736,Adani Green Energy
http://www.wikidata.org/entity/Q107646415,Adani Enterprises
http://www.wikidata.org/entity/Q52825,ABB Group
http://www.wikidata.org/entity/Q106351547,GTPL Hathway Limited
http://www.wikidata.org/entity/Q112122076,Legtex
